GW Pos. Heuristic,ED Sched. Method,Position distr.,Periods distr.,Map size,ED Number,ED Dens. (1/m^2),Max. SF,GW Number,Channels used,ED Unfeas. Instances,Coverage %,GW Avg. UF,Elapsed,Iterations,Exit condition
GA Opt.,None,Uniform,Soft,1000,10000,0.01,12,0,0,0,0.00,0.00,2465,0,Max. iterations
GA Opt.,None,Uniform,Soft,1000,10000,0.01,12,0,0,0,0.00,0.00,2511,0,Max. iterations
GA Opt.,None,Uniform,Soft,1000,10000,0.01,12,0,5,0,100.00,0.32,2781,0,Max. iterations
GA Opt.,None,Uniform,Soft,1000,10000,0.01,12,5,5,0,100.00,0.38,2568,0,Max. iterations
GA Opt.,None,Uniform,Soft,1000,50000,0.05,12,25,11,0,100.00,0.14,51486,0,Max. iterations
GA Opt.,None,Uniform,Soft,100,20000,2.00,12,5,5,0,100.00,0.13,9400,0,Max. iterations
GA Opt.,None,Uniform,Hard,100,25000,2.50,7,51,51,0,100.00,0.15,27745,0,Max. iterations
GA Opt.,None,Uniform,Soft,1000,1000,0.00,12,1,1,0,100.00,0.31,99,0,Max. iterations
GA Opt.,None,Uniform,Soft,1000,1000,0.00,12,1,1,0,100.00,0.31,122,0,Max. iterations
Unknown,None,Uniform,Soft,1000,1000,0.00,12,0,0,0,0.00,0.00,77,0,Max. iterations
Unknown,None,Uniform,Soft,1000,10000,0.01,12,0,0,0,0.00,0.00,16972,0,Max. iterations
Unknown,None,Uniform,Soft,1000,10000,0.01,12,0,0,0,0.00,0.00,8113,0,Max. iterations
Unknown,None,Uniform,Soft,1000,10000,0.01,12,0,0,0,0.00,0.00,8129,0,Max. iterations
Unknown,None,Uniform,Soft,1000,25000,0.03,12,0,0,0,0.00,0.00,77721,0,Max. iterations
Unknown,None,Uniform,Hard,1000,10000,0.01,12,0,0,0,0.00,0.00,20646,0,Max. iterations
Unknown,None,Uniform,Medium,1000,10000,0.01,12,0,0,0,0.00,0.00,11295,0,Max. iterations
Unknown,None,Uniform,Medium,1000,10000,0.01,12,0,0,0,0.00,0.00,9875,0,Max. iterations
Unknown,None,Uniform,Medium,1000,10000,0.01,12,0,0,0,0.00,0.00,9892,0,Max. iterations
Unknown,None,Uniform,Medium,1000,10000,0.01,12,0,0,0,0.00,0.00,10066,0,Max. iterations
Unknown,None,Uniform,Medium,1000,10000,0.01,12,0,0,0,0.00,0.00,8717,0,Max. iterations
Random Comb.,None,Uniform,Hard,1000,10000,0.01,12,97,10,0,100.00,0.04,49773,5000,Max. coverage
GA Opt.,None,Uniform,Hard,1000,10000,0.01,12,62,8,0,100.00,0.07,23728,0,Max. iterations
Springs,None,Uniform,Soft,1000,10000,0.01,12,5,5,0,100.00,0.33,1816,500,Max. coverage
Random Comb.,None,Uniform,Soft,1000,10000,0.01,12,4,4,0,100.00,0.48,2142,500,Max. coverage
Springs,None,Uniform,Soft,1000,10000,0.01,12,5,5,0,100.00,0.42,1816,500,Max. coverage
Springs,None,Uniform,Soft,1000,10000,0.01,12,4,4,0,100.00,0.46,2168,500,Max. coverage
Springs,None,Uniform,Soft,1000,10000,0.01,12,4,4,0,100.00,0.48,2192,500,Max. coverage
Springs,None,Uniform,Soft,1000,10000,0.01,12,6,6,0,100.00,0.31,2582,500,Max. coverage
Springs,None,Uniform,Soft,1000,10000,0.01,12,5,5,0,100.00,0.36,2355,500,Max. coverage
Springs,None,Uniform,Medium,1000,10000,0.01,12,10,10,0,97.21,0.34,4438,500,Max. iterations
Springs,None,Uniform,Medium,1000,10000,0.01,11,11,11,0,100.00,0.22,8013,1000,Max. coverage
Greedy,None,Uniform,Medium,1000,10000,0.01,12,9,0,0,100.00,0.00,12274,0,Max. iterations
Greedy,None,Uniform,Soft,1000,2000,0.00,12,0,0,0,0.00,0.00,248,0,Max. iterations
Greedy,None,Uniform,Soft,1000,10000,0.01,12,0,0,0,0.00,0.00,7821,0,Max. iterations
Greedy,None,Uniform,Soft,1000,5000,0.00,12,0,0,0,0.00,0.00,1638,0,Max. iterations
Greedy,None,Uniform,Soft,1000,1000,0.00,12,0,0,0,0.00,0.00,57,0,Max. iterations
Random Comb.,None,Uniform,Soft,1000,2000,0.00,12,2,2,0,100.00,0.27,85,1000,Max. coverage
GA Opt.,None,Uniform,Soft,1000,2000,0.00,12,2,2,0,100.00,0.27,367,0,Max. iterations
Springs,None,Uniform,Soft,1000,2000,0.00,12,2,2,0,100.00,0.29,85,1000,Max. coverage
Greedy,None,Uniform,Soft,1000,2000,0.00,12,0,0,0,0.00,0.00,243,0,Max. iterations
Random Comb.,None,Uniform,Soft,1000,2000,0.00,12,2,2,0,100.00,0.29,87,1000,Max. coverage
Random Comb.,None,Uniform,Soft,1000,2000,0.00,12,2,2,0,100.00,0.23,84,1000,Max. coverage
Greedy,None,Uniform,Soft,1000,2000,0.00,12,3,3,0,100.00,0.14,322,0,Max. iterations
Greedy,None,Uniform,Soft,1000,10000,0.01,12,5,5,0,100.00,0.30,9845,0,Max. iterations
Greedy,None,Uniform,Soft,100,20000,2.00,12,3,3,0,100.00,0.25,33057,0,Max. iterations
Random Comb.,None,Uniform,Soft,100,50000,5.00,12,5,5,0,100.00,0.69,53101,1000,Max. coverage
Greedy,None,Uniform,Soft,100,25000,2.50,12,4,4,0,100.00,0.23,61448,0,Max. iterations
