GW Pos. Heuristic,ED Sched. Method,Position distr.,Periods distr.,Map size,ED Number,ED Dens. (1/m^2),Max. SF,GW Number,Channels used,ED Unfeas. Instances,Coverage %,GW Avg. UF,Elapsed,Iterations,Exit condition
Random Comb.,None,Uniform,Soft,100,100,0.01,12,1,1,0,100.00,0.00,0,2,Max. coverage
Random Comb.,None,Uniform,Soft,250,625,0.01,12,1,1,0,100.00,0.06,5,2,Max. coverage
Random Comb.,None,Uniform,Soft,500,2500,0.01,12,2,2,0,100.00,0.13,88,3,Max. coverage
Random Comb.,None,Uniform,Soft,750,5625,0.01,12,3,3,0,100.00,0.35,565,103,Max. coverage
Random Comb.,None,Uniform,Soft,1000,10000,0.01,12,4,4,0,100.00,0.48,2029,272,Max. coverage
Random Comb.,None,Uniform,Soft,1500,22500,0.01,12,10,10,0,100.00,0.43,14998,809,Max. coverage
Random Comb.,None,Uniform,Soft,2000,40000,0.01,12,18,15,0,100.00,0.41,75619,1657,Max. coverage
GA Opt.,None,Uniform,Soft,100,100,0.01,12,1,1,0,100.00,0.00,76,1478,Max. iterations
GA Opt.,None,Uniform,Soft,250,625,0.01,12,1,1,0,100.00,0.04,435,1416,Max. iterations
GA Opt.,None,Uniform,Soft,500,2500,0.01,12,1,1,0,100.00,0.40,1733,1508,Max. iterations
GA Opt.,None,Uniform,Soft,750,5625,0.01,12,3,3,0,100.00,0.35,4104,1516,Max. iterations
GA Opt.,None,Uniform,Soft,1000,10000,0.01,12,5,5,0,100.00,0.36,8412,1564,Max. iterations
GA Opt.,None,Uniform,Soft,1500,22500,0.01,12,11,11,0,100.00,0.39,26442,1729,Max. iterations
GA Opt.,None,Uniform,Soft,2000,40000,0.01,12,17,15,0,100.00,0.42,60419,1747,Max. iterations
Springs (Discr.),None,Uniform,Soft,100,100,0.01,12,1,1,0,100.00,0.00,0,2,Max. coverage
Springs (Discr.),None,Uniform,Soft,250,625,0.01,12,1,1,0,100.00,0.07,5,2,Max. coverage
Springs (Discr.),None,Uniform,Soft,500,2500,0.01,12,1,1,0,100.00,0.48,86,2,Max. coverage
Springs (Discr.),None,Uniform,Soft,750,5625,0.01,12,3,3,0,100.00,0.26,521,103,Max. coverage
Springs (Discr.),None,Uniform,Soft,1000,10000,0.01,12,4,4,0,100.00,0.47,1822,203,Max. coverage
Springs (Discr.),None,Uniform,Soft,1500,22500,0.01,12,9,9,0,100.00,0.46,13274,713,Max. coverage
Springs (Discr.),None,Uniform,Soft,2000,40000,0.01,11,15,15,0,100.00,0.49,98091,2732,Max. coverage
Greedy,None,Uniform,Soft,100,100,0.01,12,1,1,0,100.00,0.00,0,1,Max. iterations
Greedy,None,Uniform,Soft,250,625,0.01,12,1,1,0,100.00,0.05,17,1,Max. iterations
Greedy,None,Uniform,Soft,500,2500,0.01,12,2,2,0,100.00,0.14,332,1,Max. iterations
Greedy,None,Uniform,Soft,750,5625,0.01,12,3,3,0,100.00,0.28,1915,1,Max. iterations
Greedy,None,Uniform,Soft,1000,10000,0.01,12,7,7,0,100.00,0.17,8597,1,Max. iterations
Greedy,None,Uniform,Soft,1500,22500,0.01,11,19,14,0,100.00,0.16,144262,2,Max. iterations
Greedy,None,Uniform,Soft,2000,40000,0.01,10,39,10,0,100.00,0.11,1067664,3,Max. iterations
