ID,X,Y,Channel,UF,Connected EDs
10001,1.87,-29.70,0,0.51,5308
10000,3.94,34.02,1,0.45,4692
ID,X,Y,Period,GW ID,Dist. GW,SF
0,34.02,-10.56,3200,10001,37.42,7
1,29.84,41.16,16000,10000,26.87,7
2,-16.48,26.82,8000,10000,21.65,7
3,5.40,-2.26,4000,10001,27.67,7
4,-13.52,1.34,3200,10001,34.65,7
5,41.62,13.57,4000,10000,42.87,7
6,-35.84,10.70,16000,10000,46.11,7
7,-25.71,-36.28,3200,10001,28.35,7
8,-34.33,-9.91,16000,10001,41.26,7
9,-39.12,49.89,16000,10000,45.89,7
10,1.29,33.91,4000,10000,2.65,7
11,-20.40,13.76,4000,10000,31.66,7
12,-0.64,47.28,8000,10000,14.03,7
13,27.14,2.67,3200,10000,38.99,7
14,-9.98,39.15,8000,10000,14.83,7
15,-14.75,30.77,3200,10000,18.97,7
16,-43.02,44.93,4000,10000,48.22,7
17,-41.39,-30.78,4000,10001,43.27,7
18,39.02,-15.11,16000,10001,39.92,7
19,-48.00,-4.23,16000,10001,56.00,7
20,-26.17,47.06,3200,10000,32.82,7
21,35.09,-23.33,4000,10001,33.83,7
22,-12.48,26.02,4000,10000,18.26,7
23,16.77,3.16,16000,10000,33.42,7
24,-6.24,43.18,3200,10000,13.70,7
25,22.10,-21.57,4000,10001,21.80,7
26,14.00,-14.60,4000,10001,19.38,7
27,-33.40,-5.99,3200,10001,42.50,7
28,32.92,-16.97,16000,10001,33.56,7
29,39.34,-14.96,4000,10001,40.27,7
30,45.65,8.86,4000,10000,48.71,7
31,35.87,-6.04,3200,10001,41.42,7
32,-10.16,31.48,4000,10000,14.32,7
33,41.10,-1.75,16000,10001,48.17,7
34,45.03,42.01,16000,10000,41.86,7
35,38.11,14.11,8000,10000,39.54,7
36,11.96,-21.89,3200,10001,12.76,7
37,-19.25,-5.30,16000,10001,32.28,7
38,-31.25,-22.38,4000,10001,33.92,7
39,-8.35,-33.04,3200,10001,10.75,7
40,-39.68,-37.39,8000,10001,42.26,7
41,26.05,48.48,3200,10000,26.42,7
42,18.44,-11.68,4000,10001,24.49,7
43,-13.13,-20.58,16000,10001,17.56,7
44,8.45,-25.56,16000,10001,7.78,7
45,23.21,-37.45,3200,10001,22.71,7
