ID,X,Y,Channel,UF,Connected EDs
1000,34.38,-2.97,0,0.04,373
1001,-15.01,-16.92,1,0.03,262
1003,-27.10,23.65,2,0.03,280
1002,-47.03,-41.72,3,0.01,85
ID,X,Y,Period,GW ID,Dist. GW,SF
0,34.02,-10.56,3200,1000,7.60,7
1,29.84,41.16,16000,1000,44.37,7
2,-16.48,26.82,8000,1003,11.08,7
3,5.40,-2.26,4000,1001,25.13,7
4,-13.52,1.34,3200,1001,18.32,7
5,41.62,13.57,4000,1000,18.06,7
6,-35.84,10.70,16000,1003,15.63,7
7,-25.71,-36.28,3200,1002,22.01,7
8,-34.33,-9.91,16000,1001,20.56,7
9,-39.12,49.89,16000,1003,28.86,7
10,1.29,33.91,4000,1003,30.19,7
11,-20.40,13.76,4000,1003,11.95,7
12,-0.64,47.28,8000,1003,35.47,7
13,27.14,2.67,3200,1000,9.19,7
14,-9.98,39.15,8000,1003,23.10,7
15,-14.75,30.77,3200,1003,14.25,7
16,-43.02,44.93,4000,1003,26.58,7
17,-41.39,-30.78,4000,1002,12.31,7
18,39.02,-15.11,16000,1000,12.99,7
19,-48.00,-4.23,16000,1003,34.84,7
20,-26.17,47.06,3200,1003,23.43,7
21,35.09,-23.33,4000,1000,20.37,7
22,-12.48,26.02,4000,1003,14.81,7
23,16.77,3.16,16000,1000,18.65,7
24,-6.24,43.18,3200,1003,28.58,7
25,22.10,-21.57,4000,1000,22.29,7
26,14.00,-14.60,4000,1000,23.46,7
27,-33.40,-5.99,3200,1001,21.40,7
28,32.92,-16.97,16000,1000,14.07,7
29,39.34,-14.96,4000,1000,12.97,7
30,45.65,8.86,4000,1000,16.34,7
31,35.87,-6.04,3200,1000,3.41,7
32,-10.16,31.48,4000,1003,18.66,7
33,41.10,-1.75,16000,1000,6.83,7
34,45.03,42.01,16000,1000,46.23,7
35,38.11,14.11,8000,1000,17.48,7
36,11.96,-21.89,3200,1001,27.42,7
37,-19.25,-5.30,16000,1001,12.38,7
38,-31.25,-22.38,4000,1001,17.13,7
39,-8.35,-33.04,3200,1001,17.44,7
40,-39.68,-37.39,8000,1002,8.53,7
41,26.05,48.48,3200,1000,52.12,7
42,18.44,-11.68,4000,1000,18.16,7
43,-13.13,-20.58,16000,1001,4.11,7
44,8.45,-25.56,16000,1001,25.00,7
45,23.21,-37.45,3200,1000,36.24,7
46,-33.59,24.51,16000,1003,6.55,7
47,45.01,-44.75,4000,1000,43.10,7
48,-32.38,-25.99,3200,1001,19.59,7
49,23.27,15.66,3200,1000,21.69,7
50,13.95,25.97,16000,1000,35.43,7
51,-36.51,2.02,16000,1003,23.59,7
52,-43.01,-29.53,8000,1002,12.83,7
53,31.97,7.33,3200,1000,10.58,7
54,-44.81,-34.22,3200,1002,7.82,7
55,-29.57,39.00,16000,1003,15.54,7
56,49.78,-44.59,3200,1000,44.38,7
57,-42.77,-49.58,3200,1002,8.95,7
58,9.39,-31.96,16000,1001,28.66,7
59,-10.83,41.30,3200,1003,24.00,7
60,-14.09,5.25,4000,1001,22.19,7
61,-4.74,18.74,16000,1003,22.89,7
62,3.08,25.73,8000,1003,30.25,7
63,49.22,7.70,3200,1000,18.28,7
64,24.78,12.89,16000,1000,18.54,7
65,24.78,33.32,3200,1000,37.55,7
66,37.33,33.10,3200,1000,36.20,7
67,24.38,40.34,3200,1000,44.45,7
68,16.69,-0.27,16000,1000,17.90,7
69,33.00,38.89,16000,1000,41.89,7
70,14.97,-25.20,4000,1000,29.50,7
71,-27.09,20.06,8000,1003,3.59,7
72,-17.12,-26.86,16000,1001,10.16,7
73,13.31,-27.63,4000,1001,30.28,7
74,1.07,47.15,8000,1003,36.68,7
75,4.61,21.93,16000,1003,31.76,7
76,-2.85,9.25,3200,1003,28.20,7
77,-4.91,-16.36,3200,1001,10.12,7
78,-6.55,-49.68,8000,1001,33.83,7
79,9.85,33.32,16000,1003,38.19,7
80,17.55,-1.70,8000,1000,16.88,7
81,-19.50,21.21,16000,1003,7.98,7
82,12.18,-45.91,8000,1001,39.75,7
83,19.60,17.39,4000,1000,25.17,7
84,-15.29,-31.54,4000,1001,14.62,7
85,12.72,23.07,8000,1000,33.88,7
86,24.04,-29.78,3200,1000,28.73,7
87,18.48,15.31,8000,1000,24.24,7
88,3.24,-41.24,8000,1001,30.40,7
89,37.74,18.61,16000,1000,21.85,7
90,-38.87,-13.84,4000,1001,24.06,7
