ID,X,Y,Channel,UF,Connected EDs
1001,22.13,0.22,0,0.36,366
1002,20.48,29.64,1,0.24,248
1000,-35.97,-6.74,2,0.39,386
ID,X,Y,Period,GW ID,Dist. GW,SF
0,34.02,-10.56,320,1001,16.05,7
1,29.84,41.16,1600,1002,14.84,7
2,-16.48,26.82,800,1002,37.07,7
3,5.40,-2.26,400,1001,16.91,7
4,-13.52,1.34,320,1000,23.86,7
5,41.62,13.57,400,1001,23.63,7
6,-35.84,10.70,1600,1000,17.44,7
7,-25.71,-36.28,320,1000,31.26,7
8,-34.33,-9.91,1600,1000,3.56,7
9,-39.12,49.89,1600,1000,56.72,7
10,1.29,33.91,400,1002,19.66,7
11,-20.40,13.76,400,1000,25.74,7
12,-0.64,47.28,800,1002,27.52,7
13,27.14,2.67,320,1001,5.58,7
14,-9.98,39.15,800,1002,31.91,7
15,-14.75,30.77,320,1002,35.25,7
16,-43.02,44.93,400,1000,52.16,7
17,-41.39,-30.78,400,1000,24.64,7
18,39.02,-15.11,1600,1001,22.82,7
19,-48.00,-4.23,1600,1000,12.29,7
20,-26.17,47.06,320,1002,49.80,7
21,35.09,-23.33,400,1001,26.89,7
22,-12.48,26.02,400,1002,33.16,7
23,16.77,3.16,1600,1001,6.11,7
24,-6.24,43.18,320,1002,29.95,7
25,22.10,-21.57,400,1001,21.79,7
26,14.00,-14.60,400,1001,16.90,7
27,-33.40,-5.99,320,1000,2.67,7
28,32.92,-16.97,1600,1001,20.30,7
29,39.34,-14.96,400,1001,22.95,7
30,45.65,8.86,400,1001,25.06,7
31,35.87,-6.04,320,1001,15.10,7
32,-10.16,31.48,400,1002,30.69,7
33,41.10,-1.75,1600,1001,19.07,7
34,45.03,42.01,1600,1002,27.48,7
35,38.11,14.11,800,1001,21.17,7
36,11.96,-21.89,320,1001,24.34,7
37,-19.25,-5.30,1600,1000,16.78,7
38,-31.25,-22.38,400,1000,16.33,7
39,-8.35,-33.04,320,1000,38.13,7
40,-39.68,-37.39,800,1000,30.87,7
41,26.05,48.48,320,1002,19.64,7
42,18.44,-11.68,400,1001,12.46,7
43,-13.13,-20.58,1600,1000,26.70,7
44,8.45,-25.56,1600,1001,29.18,7
45,23.21,-37.45,320,1001,37.69,7
46,-33.59,24.51,1600,1000,31.34,7
47,45.01,-44.75,400,1001,50.46,7
48,-32.38,-25.99,320,1000,19.58,7
49,23.27,15.66,320,1002,14.26,7
50,13.95,25.97,1600,1002,7.50,7
51,-36.51,2.02,1600,1000,8.78,7
52,-43.01,-29.53,800,1000,23.85,7
53,31.97,7.33,320,1001,12.14,7
54,-44.81,-34.22,320,1000,28.86,7
55,-29.57,39.00,1600,1000,46.19,7
56,49.78,-44.59,320,1001,52.66,7
57,-42.77,-49.58,320,1000,43.38,7
58,9.39,-31.96,1600,1001,34.61,7
59,-10.83,41.30,320,1002,33.41,7
60,-14.09,5.25,400,1000,24.95,7
61,-4.74,18.74,1600,1002,27.48,7
62,3.08,25.73,800,1002,17.84,7
63,49.22,7.70,320,1001,28.11,7
64,24.78,12.89,1600,1001,12.94,7
65,24.78,33.32,320,1002,5.66,7
66,37.33,33.10,320,1002,17.20,7
67,24.38,40.34,320,1002,11.38,7
68,16.69,-0.27,1600,1001,5.46,7
69,33.00,38.89,1600,1002,15.57,7
70,14.97,-25.20,400,1001,26.41,7
71,-27.09,20.06,800,1000,28.24,7
72,-17.12,-26.86,1600,1000,27.56,7
73,13.31,-27.63,400,1001,29.22,7
74,1.07,47.15,800,1002,26.14,7
75,4.61,21.93,1600,1002,17.65,7
76,-2.85,9.25,320,1001,26.56,7
77,-4.91,-16.36,320,1001,31.72,7
78,-6.55,-49.68,800,1000,52.05,7
79,9.85,33.32,1600,1002,11.25,7
80,17.55,-1.70,800,1001,4.97,7
81,-19.50,21.21,1600,1000,32.44,7
82,12.18,-45.91,800,1001,47.19,7
83,19.60,17.39,400,1002,12.28,7
84,-15.29,-31.54,400,1000,32.29,7
85,12.72,23.07,800,1002,10.17,7
86,24.04,-29.78,320,1001,30.06,7
87,18.48,15.31,800,1002,14.47,7
88,3.24,-41.24,800,1001,45.55,7
89,37.74,18.61,1600,1002,20.48,7
90,-38.87,-13.84,400,1000,7.67,7
91,9.32,16.66,800,1002,17.13,7
92,27.58,-21.16,800,1001,22.07,7
93,-31.02,48.44,1600,1002,54.83,7
94,32.74,-16.85,1600,1001,20.10,7
95,-6.35,45.86,320,1002,31.35,7
96,26.49,19.91,1600,1002,11.44,7
97,18.58,-11.62,320,1001,12.36,7
98,44.31,41.63,320,1002,26.67,7
99,-29.65,29.37,400,1000,36.66,7
100,-20.27,40.49,320,1002,42.17,7
101,37.40,-0.19,400,1001,15.28,7
102,-33.72,-22.61,320,1000,16.02,7
103,-0.76,-3.63,320,1001,23.21,7
104,-0.40,-20.89,1600,1001,30.88,7
105,18.42,22.76,1600,1002,7.19,7
106,10.31,-0.76,320,1001,11.86,7
107,22.43,-32.18,1600,1001,32.40,7
