ID,X,Y,Channel,UF,Connected EDs
101,-15.07,38.87,0,0.00,24
102,1.37,7.20,1,0.00,51
100,-2.46,-48.40,2,0.00,25
ID,X,Y,Period,GW ID,Dist. GW,SF
0,34.02,-10.56,3200,102,37.17,7
1,29.84,41.16,16000,102,44.32,7
2,-16.48,26.82,8000,101,12.12,7
3,5.40,-2.26,4000,102,10.28,7
4,-13.52,1.34,3200,102,16.00,7
5,41.62,13.57,4000,102,40.75,7
6,-35.84,10.70,16000,101,35.00,7
7,-25.71,-36.28,3200,100,26.22,7
8,-34.33,-9.91,16000,102,39.59,7
9,-39.12,49.89,16000,101,26.46,7
10,1.29,33.91,4000,101,17.10,7
11,-20.40,13.76,4000,102,22.73,7
12,-0.64,47.28,8000,101,16.70,7
13,27.14,2.67,3200,102,26.16,7
14,-9.98,39.15,8000,101,5.10,7
15,-14.75,30.77,3200,101,8.10,7
16,-43.02,44.93,4000,101,28.61,7
17,-41.39,-30.78,4000,100,42.74,7
18,39.02,-15.11,16000,102,43.77,7
19,-48.00,-4.23,16000,102,50.67,7
20,-26.17,47.06,3200,101,13.80,7
21,35.09,-23.33,4000,100,45.15,7
22,-12.48,26.02,4000,101,13.10,7
23,16.77,3.16,16000,102,15.92,7
24,-6.24,43.18,3200,101,9.83,7
25,22.10,-21.57,4000,102,35.46,7
26,14.00,-14.60,4000,102,25.19,7
27,-33.40,-5.99,3200,102,37.19,7
28,32.92,-16.97,16000,102,39.74,7
29,39.34,-14.96,4000,102,43.96,7
30,45.65,8.86,4000,102,44.31,7
31,35.87,-6.04,3200,102,36.95,7
32,-10.16,31.48,4000,101,8.87,7
33,41.10,-1.75,16000,102,40.72,7
34,45.03,42.01,16000,102,55.84,7
35,38.11,14.11,8000,102,37.38,7
36,11.96,-21.89,3200,100,30.17,7
37,-19.25,-5.30,16000,102,24.11,7
38,-31.25,-22.38,4000,100,38.81,7
39,-8.35,-33.04,3200,100,16.45,7
40,-39.68,-37.39,8000,100,38.82,7
41,26.05,48.48,3200,101,42.23,7
42,18.44,-11.68,4000,102,25.46,7
43,-13.13,-20.58,16000,100,29.80,7
44,8.45,-25.56,16000,100,25.31,7
45,23.21,-37.45,3200,100,27.91,7
46,-33.59,24.51,16000,101,23.43,7
47,45.01,-44.75,4000,100,47.61,7
48,-32.38,-25.99,3200,100,37.38,7
49,23.27,15.66,3200,102,23.47,7
50,13.95,25.97,16000,102,22.60,7
51,-36.51,2.02,16000,102,38.23,7
52,-43.01,-29.53,8000,100,44.73,7
53,31.97,7.33,3200,102,30.60,7
54,-44.81,-34.22,3200,100,44.66,7
55,-29.57,39.00,16000,101,14.50,7
56,49.78,-44.59,3200,100,52.38,7
57,-42.77,-49.58,3200,100,40.33,7
58,9.39,-31.96,16000,100,20.26,7
59,-10.83,41.30,3200,101,4.89,7
60,-14.09,5.25,4000,102,15.58,7
61,-4.74,18.74,16000,102,13.06,7
62,3.08,25.73,8000,102,18.61,7
63,49.22,7.70,3200,102,47.86,7
64,24.78,12.89,16000,102,24.09,7
65,24.78,33.32,3200,102,35.08,7
66,37.33,33.10,3200,102,44.32,7
67,24.38,40.34,3200,101,39.48,7
68,16.69,-0.27,16000,102,17.04,7
69,33.00,38.89,16000,102,44.78,7
70,14.97,-25.20,4000,100,29.02,7
71,-27.09,20.06,8000,101,22.32,7
72,-17.12,-26.86,16000,100,26.06,7
73,13.31,-27.63,4000,100,26.07,7
74,1.07,47.15,8000,101,18.14,7
75,4.61,21.93,16000,102,15.08,7
76,-2.85,9.25,3200,102,4.69,7
77,-4.91,-16.36,3200,102,24.38,7
78,-6.55,-49.68,8000,100,4.28,7
79,9.85,33.32,16000,101,25.53,7
80,17.55,-1.70,8000,102,18.47,7
81,-19.50,21.21,16000,101,18.21,7
82,12.18,-45.91,8000,100,14.85,7
83,19.60,17.39,4000,102,20.89,7
84,-15.29,-31.54,4000,100,21.19,7
85,12.72,23.07,8000,102,19.51,7
86,24.04,-29.78,3200,100,32.39,7
87,18.48,15.31,8000,102,18.93,7
88,3.24,-41.24,8000,100,9.16,7
89,37.74,18.61,16000,102,38.12,7
90,-38.87,-13.84,4000,102,45.41,7
91,9.32,16.66,8000,102,12.36,7
92,27.58,-21.16,8000,102,38.62,7
93,-31.02,48.44,16000,101,18.61,7
94,32.74,-16.85,16000,102,39.53,7
95,-6.35,45.86,3200,101,11.18,7
96,26.49,19.91,16000,102,28.15,7
97,18.58,-11.62,3200,102,25.50,7
98,44.31,41.63,3200,102,55.04,7
99,-29.65,29.37,4000,101,17.40,7
