ID,X,Y,Channel,UF,Connected EDs
101,7.23,34.21,0,0.04,51
100,28.29,-28.09,1,0.04,34
102,-42.15,-54.40,2,0.02,15
ID,X,Y,Period,GW ID,Dist. GW,SF
0,34.02,-10.56,320,100,18.44,7
1,29.84,41.16,1600,101,23.66,7
2,-16.48,26.82,800,101,24.83,7
3,5.40,-2.26,400,100,34.52,7
4,-13.52,1.34,320,101,38.87,7
5,41.62,13.57,400,101,40.11,7
6,-35.84,10.70,1600,101,49.07,7
7,-25.71,-36.28,320,102,24.47,7
8,-34.33,-9.91,1600,102,45.18,7
9,-39.12,49.89,1600,101,48.93,7
10,1.29,33.91,400,101,5.94,7
11,-20.40,13.76,400,101,34.38,7
12,-0.64,47.28,800,101,15.25,7
13,27.14,2.67,320,100,30.79,7
14,-9.98,39.15,800,101,17.90,7
15,-14.75,30.77,320,101,22.25,7
16,-43.02,44.93,400,101,51.38,7
17,-41.39,-30.78,400,102,23.63,7
18,39.02,-15.11,1600,100,16.85,7
19,-48.00,-4.23,1600,102,50.51,7
20,-26.17,47.06,320,101,35.79,7
21,35.09,-23.33,400,100,8.30,7
22,-12.48,26.02,400,101,21.34,7
23,16.77,3.16,1600,101,32.49,7
24,-6.24,43.18,320,101,16.18,7
25,22.10,-21.57,400,100,8.99,7
26,14.00,-14.60,400,100,19.66,7
27,-33.40,-5.99,320,102,49.19,7
28,32.92,-16.97,1600,100,12.05,7
29,39.34,-14.96,400,100,17.16,7
30,45.65,8.86,400,100,40.83,7
31,35.87,-6.04,320,100,23.32,7
32,-10.16,31.48,400,101,17.60,7
33,41.10,-1.75,1600,100,29.29,7
34,45.03,42.01,1600,101,38.59,7
35,38.11,14.11,800,101,36.85,7
36,11.96,-21.89,320,100,17.47,7
37,-19.25,-5.30,1600,101,47.56,7
38,-31.25,-22.38,400,102,33.83,7
39,-8.35,-33.04,320,100,36.97,7
40,-39.68,-37.39,800,102,17.19,7
41,26.05,48.48,320,101,23.61,7
42,18.44,-11.68,400,100,19.14,7
43,-13.13,-20.58,1600,100,42.10,7
44,8.45,-25.56,1600,100,20.00,7
45,23.21,-37.45,320,100,10.65,7
46,-33.59,24.51,1600,101,41.96,7
47,45.01,-44.75,400,100,23.60,7
48,-32.38,-25.99,320,102,30.04,7
49,23.27,15.66,320,101,24.53,7
50,13.95,25.97,1600,101,10.63,7
51,-36.51,2.02,1600,101,54.31,7
52,-43.01,-29.53,800,102,24.88,7
53,31.97,7.33,320,100,35.62,7
54,-44.81,-34.22,320,102,20.35,7
55,-29.57,39.00,1600,101,37.10,7
56,49.78,-44.59,320,100,27.10,7
57,-42.77,-49.58,320,102,4.85,7
58,9.39,-31.96,1600,100,19.29,7
59,-10.83,41.30,320,101,19.40,7
60,-14.09,5.25,400,101,35.97,7
61,-4.74,18.74,1600,101,19.56,7
62,3.08,25.73,800,101,9.44,7
63,49.22,7.70,320,100,41.46,7
64,24.78,12.89,1600,101,27.62,7
65,24.78,33.32,320,101,17.58,7
66,37.33,33.10,320,101,30.12,7
67,24.38,40.34,320,101,18.21,7
68,16.69,-0.27,1600,100,30.14,7
69,33.00,38.89,1600,101,26.20,7
70,14.97,-25.20,400,100,13.63,7
71,-27.09,20.06,800,101,37.12,7
72,-17.12,-26.86,1600,102,37.22,7
73,13.31,-27.63,400,100,14.99,7
74,1.07,47.15,800,101,14.32,7
75,4.61,21.93,1600,101,12.56,7
76,-2.85,9.25,320,101,26.92,7
77,-4.91,-16.36,320,100,35.21,7
78,-6.55,-49.68,800,102,35.92,7
79,9.85,33.32,1600,101,2.77,7
80,17.55,-1.70,800,100,28.49,7
81,-19.50,21.21,1600,101,29.73,7
82,12.18,-45.91,800,100,24.02,7
83,19.60,17.39,400,101,20.88,7
84,-15.29,-31.54,400,102,35.27,7
85,12.72,23.07,800,101,12.42,7
86,24.04,-29.78,320,100,4.57,7
87,18.48,15.31,800,101,22.00,7
88,3.24,-41.24,800,100,28.28,7
89,37.74,18.61,1600,101,34.27,7
90,-38.87,-13.84,400,102,40.69,7
91,9.32,16.66,800,101,17.68,7
92,27.58,-21.16,800,100,6.97,7
93,-31.02,48.44,1600,101,40.81,7
94,32.74,-16.85,1600,100,12.09,7
95,-6.35,45.86,320,101,17.89,7
96,26.49,19.91,1600,101,23.99,7
97,18.58,-11.62,320,100,19.12,7
98,44.31,41.63,320,101,37.81,7
99,-29.65,29.37,400,101,37.19,7
