ID,X,Y,Channel,UF,Connected EDs
2002,-32.91,35.70,0,0.08,499
2001,-4.15,-21.77,1,0.12,795
2000,31.64,3.78,2,0.10,706
ID,X,Y,Period,GW ID,Dist. GW,SF
0,34.02,-10.56,3600,2000,14.54,7
1,29.84,41.16,3600,2000,37.43,7
2,-16.48,26.82,3600,2002,18.67,7
3,5.40,-2.26,3600,2001,21.72,7
4,-13.52,1.34,3600,2001,24.94,7
5,41.62,13.57,3600,2000,13.98,7
6,-35.84,10.70,3600,2002,25.17,7
7,-25.71,-36.28,3600,2001,25.99,7
8,-34.33,-9.91,3600,2001,32.43,7
9,-39.12,49.89,3600,2002,15.49,7
10,1.29,33.91,3600,2002,34.25,7
11,-20.40,13.76,3600,2002,25.26,7
12,-0.64,47.28,3600,2002,34.28,7
13,27.14,2.67,3600,2000,4.64,7
14,-9.98,39.15,3600,2002,23.19,7
15,-14.75,30.77,3600,2002,18.81,7
16,-43.02,44.93,3600,2002,13.70,7
17,-41.39,-30.78,3600,2001,38.32,7
18,39.02,-15.11,3600,2000,20.28,7
19,-48.00,-4.23,3600,2002,42.68,7
20,-26.17,47.06,3600,2002,13.21,7
21,35.09,-23.33,3600,2000,27.33,7
22,-12.48,26.02,3600,2002,22.60,7
23,16.77,3.16,3600,2000,14.88,7
24,-6.24,43.18,3600,2002,27.70,7
25,22.10,-21.57,3600,2001,26.24,7
26,14.00,-14.60,3600,2001,19.51,7
27,-33.40,-5.99,3600,2001,33.24,7
28,32.92,-16.97,3600,2000,20.79,7
29,39.34,-14.96,3600,2000,20.26,7
30,45.65,8.86,3600,2000,14.90,7
31,35.87,-6.04,3600,2000,10.70,7
32,-10.16,31.48,3600,2002,23.14,7
33,41.10,-1.75,3600,2000,10.95,7
34,45.03,42.01,3600,2000,40.51,7
35,38.11,14.11,3600,2000,12.18,7
36,11.96,-21.89,3600,2001,16.11,7
37,-19.25,-5.30,3600,2001,22.35,7
38,-31.25,-22.38,3600,2001,27.11,7
39,-8.35,-33.04,3600,2001,12.03,7
40,-39.68,-37.39,3600,2001,38.82,7
41,26.05,48.48,3600,2000,45.04,7
42,18.44,-11.68,3600,2000,20.33,7
43,-13.13,-20.58,3600,2001,9.07,7
44,8.45,-25.56,3600,2001,13.15,7
45,23.21,-37.45,3600,2001,31.54,7
46,-33.59,24.51,3600,2002,11.21,7
47,45.01,-44.75,3600,2000,50.34,7
48,-32.38,-25.99,3600,2001,28.55,7
49,23.27,15.66,3600,2000,14.53,7
50,13.95,25.97,3600,2000,28.38,7
51,-36.51,2.02,3600,2002,33.87,7
52,-43.01,-29.53,3600,2001,39.63,7
53,31.97,7.33,3600,2000,3.56,7
54,-44.81,-34.22,900,2001,42.52,7
55,-29.57,39.00,3600,2002,4.69,7
56,49.78,-44.59,3600,2000,51.66,7
