ID,X,Y,Channel,UF,Connected EDs
201,-2.82,24.80,0,0.01,99
200,1.69,-21.67,1,0.01,101
ID,X,Y,Period,GW ID,Dist. GW,SF
0,34.02,-10.56,3200,200,34.18,7
1,29.84,41.16,16000,201,36.53,7
2,-16.48,26.82,8000,201,13.81,7
3,5.40,-2.26,4000,200,19.76,7
4,-13.52,1.34,3200,201,25.78,7
5,41.62,13.57,4000,201,45.83,7
6,-35.84,10.70,16000,201,35.91,7
7,-25.71,-36.28,3200,200,31.05,7
8,-34.33,-9.91,16000,200,37.90,7
9,-39.12,49.89,16000,201,44.13,7
10,1.29,33.91,4000,201,10.00,7
11,-20.40,13.76,4000,201,20.76,7
12,-0.64,47.28,8000,201,22.59,7
13,27.14,2.67,3200,200,35.21,7
14,-9.98,39.15,8000,201,16.04,7
15,-14.75,30.77,3200,201,13.35,7
16,-43.02,44.93,4000,201,44.97,7
17,-41.39,-30.78,4000,200,44.04,7
18,39.02,-15.11,16000,200,37.90,7
19,-48.00,-4.23,16000,200,52.66,7
20,-26.17,47.06,3200,201,32.27,7
21,35.09,-23.33,4000,200,33.44,7
22,-12.48,26.02,4000,201,9.74,7
23,16.77,3.16,16000,200,29.05,7
24,-6.24,43.18,3200,201,18.70,7
25,22.10,-21.57,4000,200,20.40,7
26,14.00,-14.60,4000,200,14.19,7
27,-33.40,-5.99,3200,200,38.44,7
28,32.92,-16.97,16000,200,31.58,7
29,39.34,-14.96,4000,200,38.24,7
30,45.65,8.86,4000,201,51.02,7
31,35.87,-6.04,3200,200,37.58,7
32,-10.16,31.48,4000,201,9.92,7
33,41.10,-1.75,16000,200,44.15,7
34,45.03,42.01,16000,201,50.85,7
35,38.11,14.11,8000,201,42.30,7
36,11.96,-21.89,3200,200,10.27,7
37,-19.25,-5.30,16000,200,26.58,7
38,-31.25,-22.38,4000,200,32.95,7
39,-8.35,-33.04,3200,200,15.17,7
40,-39.68,-37.39,8000,200,44.26,7
41,26.05,48.48,3200,201,37.34,7
42,18.44,-11.68,4000,200,19.50,7
43,-13.13,-20.58,16000,200,14.87,7
44,8.45,-25.56,16000,200,7.80,7
45,23.21,-37.45,3200,200,26.69,7
46,-33.59,24.51,16000,201,30.77,7
47,45.01,-44.75,4000,200,49.08,7
48,-32.38,-25.99,3200,200,34.34,7
49,23.27,15.66,3200,201,27.64,7
50,13.95,25.97,16000,201,16.80,7
51,-36.51,2.02,16000,201,40.67,7
52,-43.01,-29.53,8000,200,45.39,7
53,31.97,7.33,3200,201,38.92,7
54,-44.81,-34.22,3200,200,48.16,7
55,-29.57,39.00,16000,201,30.29,7
56,49.78,-44.59,3200,200,53.27,7
57,-42.77,-49.58,3200,200,52.50,7
58,9.39,-31.96,16000,200,12.85,7
59,-10.83,41.30,3200,201,18.35,7
60,-14.09,5.25,4000,201,22.56,7
61,-4.74,18.74,16000,201,6.36,7
62,3.08,25.73,8000,201,5.97,7
63,49.22,7.70,3200,201,54.78,7
64,24.78,12.89,16000,201,30.06,7
65,24.78,33.32,3200,201,28.89,7
66,37.33,33.10,3200,201,41.00,7
67,24.38,40.34,3200,201,31.33,7
68,16.69,-0.27,16000,200,26.13,7
69,33.00,38.89,16000,201,38.49,7
70,14.97,-25.20,4000,200,13.74,7
71,-27.09,20.06,8000,201,24.73,7
72,-17.12,-26.86,16000,200,19.52,7
73,13.31,-27.63,4000,200,13.06,7
74,1.07,47.15,8000,201,22.69,7
75,4.61,21.93,16000,201,7.96,7
76,-2.85,9.25,3200,201,15.54,7
77,-4.91,-16.36,3200,200,8.47,7
78,-6.55,-49.68,8000,200,29.20,7
