ID,X,Y,Channel,UF,Connected EDs
201,36.24,27.62,0,0.01,68
200,-4.59,-16.87,1,0.01,87
202,-48.72,5.53,2,0.00,45
ID,X,Y,Period,GW ID,Dist. GW,SF
0,34.02,-10.56,3200,201,38.25,7
1,29.84,41.16,16000,201,14.98,7
2,-16.48,26.82,8000,202,38.64,7
3,5.40,-2.26,4000,200,17.69,7
4,-13.52,1.34,3200,200,20.28,7
5,41.62,13.57,4000,201,15.05,7
6,-35.84,10.70,16000,202,13.88,7
7,-25.71,-36.28,3200,200,28.69,7
8,-34.33,-9.91,16000,202,21.11,7
9,-39.12,49.89,16000,202,45.39,7
10,1.29,33.91,4000,201,35.51,7
11,-20.40,13.76,4000,202,29.50,7
12,-0.64,47.28,8000,201,41.79,7
13,27.14,2.67,3200,201,26.56,7
14,-9.98,39.15,8000,201,47.64,7
15,-14.75,30.77,3200,202,42.32,7
16,-43.02,44.93,4000,202,39.81,7
17,-41.39,-30.78,4000,202,37.04,7
18,39.02,-15.11,16000,201,42.82,7
19,-48.00,-4.23,16000,202,9.79,7
20,-26.17,47.06,3200,202,47.26,7
21,35.09,-23.33,4000,200,40.20,7
22,-12.48,26.02,4000,202,41.64,7
23,16.77,3.16,16000,200,29.28,7
24,-6.24,43.18,3200,201,45.24,7
25,22.10,-21.57,4000,200,27.09,7
26,14.00,-14.60,4000,200,18.72,7
27,-33.40,-5.99,3200,202,19.17,7
28,32.92,-16.97,16000,200,37.51,7
29,39.34,-14.96,4000,201,42.70,7
30,45.65,8.86,4000,201,20.98,7
31,35.87,-6.04,3200,201,33.67,7
32,-10.16,31.48,4000,202,46.48,7
33,41.10,-1.75,16000,201,29.77,7
34,45.03,42.01,16000,201,16.86,7
35,38.11,14.11,8000,201,13.64,7
36,11.96,-21.89,3200,200,17.29,7
37,-19.25,-5.30,16000,200,18.68,7
38,-31.25,-22.38,4000,200,27.22,7
39,-8.35,-33.04,3200,200,16.60,7
40,-39.68,-37.39,8000,200,40.66,7
41,26.05,48.48,3200,201,23.21,7
42,18.44,-11.68,4000,200,23.61,7
43,-13.13,-20.58,16000,200,9.32,7
44,8.45,-25.56,16000,200,15.67,7
45,23.21,-37.45,3200,200,34.59,7
46,-33.59,24.51,16000,202,24.27,7
47,45.01,-44.75,4000,200,56.90,7
48,-32.38,-25.99,3200,200,29.25,7
49,23.27,15.66,3200,201,17.65,7
50,13.95,25.97,16000,201,22.36,7
51,-36.51,2.02,16000,202,12.71,7
52,-43.01,-29.53,8000,202,35.53,7
53,31.97,7.33,3200,201,20.74,7
54,-44.81,-34.22,3200,202,39.95,7
55,-29.57,39.00,16000,202,38.56,7
56,49.78,-44.59,3200,200,61.03,7
57,-42.77,-49.58,3200,200,50.28,7
58,9.39,-31.96,16000,200,20.57,7
59,-10.83,41.30,3200,201,49.02,7
60,-14.09,5.25,4000,200,24.07,7
61,-4.74,18.74,16000,200,35.61,7
62,3.08,25.73,8000,201,33.22,7
63,49.22,7.70,3200,201,23.78,7
64,24.78,12.89,16000,201,18.67,7
65,24.78,33.32,3200,201,12.80,7
66,37.33,33.10,3200,201,5.59,7
67,24.38,40.34,3200,201,17.39,7
68,16.69,-0.27,16000,200,26.98,7
69,33.00,38.89,16000,201,11.73,7
70,14.97,-25.20,4000,200,21.26,7
71,-27.09,20.06,8000,202,26.06,7
72,-17.12,-26.86,16000,200,16.03,7
73,13.31,-27.63,4000,200,20.88,7
74,1.07,47.15,8000,201,40.23,7
75,4.61,21.93,16000,201,32.14,7
76,-2.85,9.25,3200,200,26.18,7
77,-4.91,-16.36,3200,200,0.60,7
78,-6.55,-49.68,8000,200,32.87,7
79,9.85,33.32,16000,201,27.00,7
80,17.55,-1.70,8000,200,26.83,7
81,-19.50,21.21,16000,202,33.16,7
82,12.18,-45.91,8000,200,33.54,7
83,19.60,17.39,4000,201,19.54,7
84,-15.29,-31.54,4000,200,18.16,7
85,12.72,23.07,8000,201,23.96,7
86,24.04,-29.78,3200,200,31.41,7
87,18.48,15.31,8000,201,21.62,7
88,3.24,-41.24,8000,200,25.60,7
89,37.74,18.61,16000,201,9.13,7
90,-38.87,-13.84,4000,202,21.73,7
91,9.32,16.66,8000,201,29.07,7
92,27.58,-21.16,8000,200,32.45,7
93,-31.02,48.44,16000,202,46.41,7
94,32.74,-16.85,16000,200,37.33,7
