ID,X,Y,Channel,UF,Connected EDs
200,25.76,3.75,0,0.02,100
201,-24.08,6.31,1,0.01,100
ID,X,Y,Period,GW ID,Dist. GW,SF
0,34.02,-10.56,3600,200,16.52,7
1,29.84,41.16,3600,200,37.64,7
2,-16.48,26.82,3600,201,21.88,7
3,5.40,-2.26,3600,200,21.23,7
4,-13.52,1.34,3600,201,11.67,7
5,41.62,13.57,3600,200,18.66,7
6,-35.84,10.70,3600,201,12.55,7
7,-25.71,-36.28,3600,201,42.62,7
8,-34.33,-9.91,3600,201,19.18,7
9,-39.12,49.89,3600,201,46.11,7
10,1.29,33.91,3600,201,37.50,7
11,-20.40,13.76,3600,201,8.31,7
12,-0.64,47.28,3600,201,47.20,7
13,27.14,2.67,3600,200,1.74,7
14,-9.98,39.15,3600,201,35.75,7
15,-14.75,30.77,3600,201,26.18,7
16,-43.02,44.93,3600,201,43.02,7
17,-41.39,-30.78,3600,201,40.93,7
18,39.02,-15.11,3600,200,23.06,7
19,-48.00,-4.23,3600,201,26.13,7
20,-26.17,47.06,3600,201,40.81,7
21,35.09,-23.33,3600,200,28.64,7
22,-12.48,26.02,3600,201,22.88,7
23,16.77,3.16,3600,200,9.01,7
24,-6.24,43.18,3600,201,40.97,7
25,22.10,-21.57,3600,200,25.58,7
26,14.00,-14.60,3600,200,21.79,7
27,-33.40,-5.99,3600,201,15.43,7
28,32.92,-16.97,3600,200,21.92,7
29,39.34,-14.96,3600,200,23.12,7
30,45.65,8.86,3600,200,20.53,7
31,35.87,-6.04,3600,200,14.07,7
32,-10.16,31.48,3600,201,28.77,7
33,41.10,-1.75,3600,200,16.29,7
34,45.03,42.01,3600,200,42.84,7
35,38.11,14.11,3600,200,16.12,7
36,11.96,-21.89,3600,200,29.12,7
37,-19.25,-5.30,3600,201,12.57,7
38,-31.25,-22.38,3600,201,29.56,7
39,-8.35,-33.04,3600,201,42.38,7
40,-39.68,-37.39,3600,201,46.40,7
41,26.05,48.48,3600,200,44.73,7
42,18.44,-11.68,3600,200,17.08,7
43,-13.13,-20.58,3600,201,29.04,7
44,8.45,-25.56,3600,200,34.04,7
45,23.21,-37.45,3600,200,41.28,7
46,-33.59,24.51,3600,201,20.53,7
47,45.01,-44.75,3600,200,52.18,7
48,-32.38,-25.99,3600,201,33.35,7
49,23.27,15.66,3600,200,12.17,7
50,13.95,25.97,3600,200,25.17,7
51,-36.51,2.02,3600,201,13.14,7
52,-43.01,-29.53,3600,201,40.53,7
53,31.97,7.33,3600,200,7.17,7
54,-44.81,-34.22,900,201,45.52,7
55,-29.57,39.00,3600,201,33.15,7
56,49.78,-44.59,3600,200,53.98,7
57,-42.77,-49.58,3600,201,58.93,7
58,9.39,-31.96,3600,200,39.28,7
59,-10.83,41.30,3600,201,37.42,7
60,-14.09,5.25,3600,201,10.05,7
61,-4.74,18.74,3600,201,22.99,7
62,3.08,25.73,3600,200,31.58,7
63,49.22,7.70,3600,200,23.79,7
64,24.78,12.89,3600,200,9.20,7
65,24.78,33.32,3600,200,29.59,7
66,37.33,33.10,1800,200,31.55,7
67,24.38,40.34,900,200,36.62,7
68,16.69,-0.27,3600,200,9.92,7
69,33.00,38.89,3600,200,35.89,7
70,14.97,-25.20,3600,200,30.89,7
71,-27.09,20.06,3600,201,14.08,7
72,-17.12,-26.86,3600,201,33.89,7
73,13.31,-27.63,3600,200,33.76,7
74,1.07,47.15,3600,201,47.96,7
75,4.61,21.93,3600,200,27.89,7
76,-2.85,9.25,3600,201,21.44,7
77,-4.91,-16.36,3600,201,29.69,7
78,-6.55,-49.68,3600,201,58.67,7
79,9.85,33.32,3600,200,33.59,7
80,17.55,-1.70,3600,200,9.86,7
81,-19.50,21.21,3600,201,15.59,7
82,12.18,-45.91,3600,200,51.48,7
83,19.60,17.39,3600,200,14.97,7
84,-15.29,-31.54,3600,201,38.85,7
85,12.72,23.07,3600,200,23.32,7
86,24.04,-29.78,3600,200,33.57,7
87,18.48,15.31,3600,200,13.67,7
88,3.24,-41.24,3600,200,50.30,7
89,37.74,18.61,3600,200,19.09,7
90,-38.87,-13.84,3600,201,24.99,7
91,9.32,16.66,3600,200,20.90,7
92,27.58,-21.16,3600,200,24.98,7
93,-31.02,48.44,3600,201,42.70,7
94,32.74,-16.85,3600,200,21.75,7
95,-6.35,45.86,3600,201,43.35,7
96,26.49,19.91,3600,200,16.18,7
97,18.58,-11.62,3600,200,16.96,7
98,44.31,41.63,3600,200,42.18,7
99,-29.65,29.37,3600,201,23.72,7
100,-20.27,40.49,3600,201,34.40,7
101,37.40,-0.19,3600,200,12.28,7
102,-33.72,-22.61,3600,201,30.48,7
103,-0.76,-3.63,3600,201,25.35,7
104,-0.40,-20.89,3600,200,35.94,7
105,18.42,22.76,3600,200,20.38,7
106,10.31,-0.76,3600,200,16.09,7
107,22.43,-32.18,3600,200,36.08,7
108,-0.15,-37.87,3600,200,49.03,7
109,-13.96,-17.52,3600,201,25.89,7
110,40.85,12.21,3600,200,17.30,7
111,31.81,-0.39,3600,200,7.33,7
112,-10.57,15.88,3600,201,16.57,7
113,-24.11,-34.88,3600,201,41.18,7
114,-39.22,14.72,3600,201,17.31,7
115,-21.17,-16.86,3600,201,23.35,7
116,-7.27,43.45,3600,201,40.77,7
117,-23.45,15.87,3600,201,9.59,7
118,-1.26,-34.27,3600,201,46.56,7
119,12.57,1.77,3600,200,13.34,7
120,5.76,-7.38,3600,200,22.89,7
121,-10.56,-25.57,3600,201,34.62,7
122,22.94,13.87,900,200,10.50,7
123,-16.18,39.76,3600,201,34.37,7
124,-8.92,-49.46,3600,201,57.79,7
125,27.44,-20.63,3600,200,24.44,7
126,36.55,22.10,3600,200,21.29,7
127,-5.09,48.65,3600,201,46.41,7
128,-28.91,-2.61,3600,201,10.14,7
129,-40.61,-40.04,3600,201,49.21,7
130,-19.82,15.71,3600,201,10.32,7
131,-36.83,-44.85,3600,201,52.72,7
132,-4.23,28.09,3600,201,29.47,7
133,-5.74,-38.09,3600,201,48.03,7
134,7.86,2.99,3600,200,17.91,7
135,-13.81,-19.57,3600,201,27.84,7
136,-2.34,-33.02,3600,201,44.94,7
137,2.57,11.89,3600,200,24.57,7
138,-26.63,32.98,3600,201,26.80,7
139,-40.12,42.37,3600,201,39.47,7
140,-1.83,-27.45,3600,201,40.44,7
141,-20.92,-14.28,3600,201,20.83,7
142,-15.57,31.49,3600,201,26.58,7
143,-46.37,-24.25,3600,201,37.82,7
144,12.60,33.61,3600,200,32.64,7
145,-27.90,-30.20,3600,201,36.70,7
146,-39.03,17.46,3600,201,18.65,7
147,21.95,-29.96,3600,200,33.93,7
148,-18.43,-6.60,3600,201,14.09,7
149,-11.43,3.28,3600,201,13.01,7
150,5.54,-48.54,3600,200,56.06,7
151,-11.78,-19.46,3600,201,28.55,7
152,-23.96,14.97,3600,201,8.66,7
153,41.96,18.60,3600,200,21.98,7
154,19.78,-18.80,3600,200,23.33,7
155,-49.40,3.30,3600,201,25.49,7
156,11.84,14.27,3600,200,17.45,7
157,-9.93,-13.78,3600,201,24.58,7
158,30.19,17.78,3600,200,14.72,7
159,-46.71,-43.64,3600,201,54.84,7
160,-31.24,11.90,3600,201,9.08,7
161,6.78,-49.89,3600,200,56.89,7
162,-19.48,-23.84,3600,201,30.50,7
163,35.76,-31.88,3600,200,37.01,7
164,16.73,37.90,3600,200,35.33,7
165,-18.68,38.50,3600,201,32.65,7
166,-34.29,0.35,3600,201,11.82,7
167,17.57,40.42,3600,200,37.57,7
168,-10.55,20.61,3600,201,19.69,7
169,4.74,23.90,3600,200,29.12,7
170,-26.69,42.66,3600,201,36.44,7
171,43.34,-0.56,3600,200,18.10,7
172,43.91,29.96,3600,200,31.89,7
173,9.45,15.72,900,200,20.23,7
174,43.59,-17.55,3600,200,27.77,7
175,8.92,13.78,3600,200,19.60,7
176,27.54,29.49,3600,200,25.81,7
177,10.44,-2.94,3600,200,16.72,7
178,29.55,36.51,3600,200,32.98,7
179,16.44,-8.75,3600,200,15.59,7
180,9.69,14.56,3600,200,19.37,7
181,-35.17,7.90,3600,201,11.20,7
182,20.09,1.82,3600,200,5.99,7
183,1.50,-38.74,3600,200,48.92,7
184,1.03,-45.15,3600,200,54.79,7
185,-11.53,13.77,3600,201,14.60,7
186,-35.60,-8.69,3600,201,18.91,7
187,-9.32,-48.25,3600,201,56.52,7
188,7.37,31.29,3600,200,33.12,7
189,-5.33,-2.26,900,201,20.62,7
190,-44.13,-42.57,3600,201,52.83,7
191,9.73,-27.74,3600,200,35.33,7
192,13.02,42.35,3600,200,40.65,7
193,-3.71,-6.14,3600,201,23.87,7
194,45.27,44.89,3600,200,45.53,7
195,26.70,-16.64,3600,200,20.41,7
196,-28.09,-2.24,3600,201,9.44,7
197,-3.38,38.43,3600,201,38.22,7
198,-31.62,-4.20,3600,201,12.93,7
199,26.64,40.48,3600,200,36.74,7
