ID,X,Y,Channel,UF,Connected EDs
200,1.24,23.14,0,0.02,129
201,-3.15,-46.92,1,0.01,71
ID,X,Y,Period,GW ID,Dist. GW,SF
0,34.02,-10.56,3600,200,47.02,7
1,29.84,41.16,3600,200,33.81,7
2,-16.48,26.82,3600,200,18.09,7
3,5.40,-2.26,3600,200,25.74,7
4,-13.52,1.34,3600,200,26.33,7
5,41.62,13.57,3600,200,41.50,7
6,-35.84,10.70,3600,200,39.11,7
7,-25.71,-36.28,3600,201,24.94,7
8,-34.33,-9.91,3600,201,48.39,7
9,-39.12,49.89,3600,200,48.42,7
10,1.29,33.91,3600,200,10.77,7
11,-20.40,13.76,3600,200,23.58,7
12,-0.64,47.28,3600,200,24.21,7
13,27.14,2.67,3600,200,33.01,7
14,-9.98,39.15,3600,200,19.55,7
15,-14.75,30.77,3600,200,17.72,7
16,-43.02,44.93,3600,200,49.33,7
17,-41.39,-30.78,3600,201,41.51,7
18,39.02,-15.11,3600,201,52.83,7
19,-48.00,-4.23,3600,200,56.33,7
20,-26.17,47.06,3600,200,36.38,7
21,35.09,-23.33,3600,201,44.93,7
22,-12.48,26.02,3600,200,14.02,7
23,16.77,3.16,3600,200,25.31,7
24,-6.24,43.18,3600,200,21.39,7
25,22.10,-21.57,3600,201,35.78,7
26,14.00,-14.60,3600,201,36.59,7
27,-33.40,-5.99,3600,200,45.26,7
28,32.92,-16.97,3600,201,46.89,7
29,39.34,-14.96,3600,201,53.17,7
30,45.65,8.86,3600,200,46.65,7
31,35.87,-6.04,3600,200,45.29,7
32,-10.16,31.48,3600,200,14.12,7
33,41.10,-1.75,3600,200,46.99,7
34,45.03,42.01,3600,200,47.68,7
35,38.11,14.11,3600,200,37.96,7
36,11.96,-21.89,3600,201,29.23,7
37,-19.25,-5.30,3600,200,35.05,7
38,-31.25,-22.38,3600,201,37.30,7
39,-8.35,-33.04,3600,201,14.82,7
40,-39.68,-37.39,3600,201,37.75,7
41,26.05,48.48,3600,200,35.46,7
42,18.44,-11.68,3600,200,38.84,7
43,-13.13,-20.58,3600,201,28.16,7
44,8.45,-25.56,3600,201,24.31,7
45,23.21,-37.45,3600,201,28.02,7
46,-33.59,24.51,3600,200,34.85,7
47,45.01,-44.75,3600,201,48.21,7
48,-32.38,-25.99,3600,201,35.94,7
49,23.27,15.66,3600,200,23.27,7
50,13.95,25.97,3600,200,13.02,7
51,-36.51,2.02,3600,200,43.25,7
52,-43.01,-29.53,3600,201,43.48,7
53,31.97,7.33,3600,200,34.56,7
54,-44.81,-34.22,900,201,43.54,7
55,-29.57,39.00,3600,200,34.64,7
56,49.78,-44.59,3600,201,52.99,7
57,-42.77,-49.58,3600,201,39.70,7
58,9.39,-31.96,3600,201,19.52,7
59,-10.83,41.30,3600,200,21.80,7
60,-14.09,5.25,3600,200,23.56,7
61,-4.74,18.74,3600,200,7.43,7
62,3.08,25.73,3600,200,3.18,7
63,49.22,7.70,3600,200,50.41,7
64,24.78,12.89,3600,200,25.68,7
65,24.78,33.32,3600,200,25.65,7
66,37.33,33.10,1800,200,37.44,7
67,24.38,40.34,900,200,28.83,7
68,16.69,-0.27,3600,200,28.05,7
69,33.00,38.89,3600,200,35.46,7
70,14.97,-25.20,3600,201,28.29,7
71,-27.09,20.06,3600,200,28.49,7
72,-17.12,-26.86,3600,201,24.45,7
73,13.31,-27.63,3600,201,25.35,7
74,1.07,47.15,3600,200,24.01,7
75,4.61,21.93,3600,200,3.59,7
76,-2.85,9.25,3600,200,14.48,7
77,-4.91,-16.36,3600,201,30.60,7
78,-6.55,-49.68,3600,201,4.37,7
79,9.85,33.32,3600,200,13.34,7
80,17.55,-1.70,3600,200,29.72,7
81,-19.50,21.21,3600,200,20.83,7
82,12.18,-45.91,3600,201,15.37,7
83,19.60,17.39,3600,200,19.24,7
84,-15.29,-31.54,3600,201,19.59,7
85,12.72,23.07,3600,200,11.48,7
86,24.04,-29.78,3600,201,32.15,7
87,18.48,15.31,3600,200,18.93,7
88,3.24,-41.24,3600,201,8.56,7
89,37.74,18.61,3600,200,36.78,7
90,-38.87,-13.84,3600,201,48.68,7
91,9.32,16.66,3600,200,10.36,7
92,27.58,-21.16,3600,201,40.10,7
93,-31.02,48.44,3600,200,41.00,7
94,32.74,-16.85,3600,201,46.82,7
95,-6.35,45.86,3600,200,23.95,7
96,26.49,19.91,3600,200,25.46,7
97,18.58,-11.62,3600,200,38.84,7
98,44.31,41.63,3600,200,46.87,7
99,-29.65,29.37,3600,200,31.50,7
100,-20.27,40.49,3600,200,27.63,7
101,37.40,-0.19,3600,200,43.03,7
102,-33.72,-22.61,3600,201,39.06,7
103,-0.76,-3.63,3600,200,26.85,7
104,-0.40,-20.89,3600,201,26.17,7
105,18.42,22.76,3600,200,17.19,7
106,10.31,-0.76,3600,200,25.56,7
107,22.43,-32.18,3600,201,29.52,7
108,-0.15,-37.87,3600,201,9.53,7
109,-13.96,-17.52,3600,201,31.32,7
110,40.85,12.21,3600,200,41.09,7
111,31.81,-0.39,3600,200,38.58,7
112,-10.57,15.88,3600,200,13.86,7
113,-24.11,-34.88,3600,201,24.17,7
114,-39.22,14.72,3600,200,41.32,7
115,-21.17,-16.86,3600,201,35.04,7
116,-7.27,43.45,3600,200,22.02,7
117,-23.45,15.87,3600,200,25.74,7
118,-1.26,-34.27,3600,201,12.79,7
119,12.57,1.77,3600,200,24.19,7
120,5.76,-7.38,3600,200,30.85,7
121,-10.56,-25.57,3600,201,22.60,7
122,22.94,13.87,900,200,23.60,7
123,-16.18,39.76,3600,200,24.07,7
124,-8.92,-49.46,3600,201,6.30,7
125,27.44,-20.63,3600,201,40.33,7
126,36.55,22.10,3600,200,35.33,7
127,-5.09,48.65,3600,200,26.28,7
128,-28.91,-2.61,3600,200,39.65,7
129,-40.61,-40.04,3600,201,38.08,7
130,-19.82,15.71,3600,200,22.33,7
131,-36.83,-44.85,3600,201,33.74,7
132,-4.23,28.09,3600,200,7.37,7
133,-5.74,-38.09,3600,201,9.20,7
134,7.86,2.99,3600,200,21.21,7
135,-13.81,-19.57,3600,201,29.35,7
