ID,X,Y,Channel,UF,Connected EDs
201,2.87,19.86,0,0.06,51
200,32.78,3.87,1,0.06,66
202,-18.95,7.99,2,0.09,83
ID,X,Y,Period,GW ID,Dist. GW,SF
0,34.02,-10.56,320,200,14.49,7
1,29.84,41.16,1600,201,34.37,7
2,-16.48,26.82,800,202,18.99,7
3,5.40,-2.26,400,201,22.26,7
4,-13.52,1.34,320,202,8.59,7
5,41.62,13.57,400,200,13.12,7
6,-35.84,10.70,1600,202,17.10,7
7,-25.71,-36.28,320,202,44.78,7
8,-34.33,-9.91,1600,202,23.60,7
9,-39.12,49.89,1600,202,46.50,7
10,1.29,33.91,400,201,14.14,7
11,-20.40,13.76,400,202,5.94,7
12,-0.64,47.28,800,201,27.64,7
13,27.14,2.67,320,200,5.77,7
14,-9.98,39.15,800,201,23.18,7
15,-14.75,30.77,320,201,20.73,7
16,-43.02,44.93,400,202,44.09,7
17,-41.39,-30.78,400,202,44.80,7
18,39.02,-15.11,1600,200,19.98,7
19,-48.00,-4.23,1600,202,31.51,7
20,-26.17,47.06,320,202,39.73,7
21,35.09,-23.33,400,200,27.30,7
22,-12.48,26.02,400,201,16.55,7
23,16.77,3.16,1600,200,16.02,7
24,-6.24,43.18,320,201,25.04,7
25,22.10,-21.57,400,200,27.60,7
26,14.00,-14.60,400,200,26.34,7
27,-33.40,-5.99,320,202,20.11,7
28,32.92,-16.97,1600,200,20.84,7
29,39.34,-14.96,400,200,19.95,7
30,45.65,8.86,400,200,13.80,7
31,35.87,-6.04,320,200,10.39,7
32,-10.16,31.48,400,201,17.46,7
33,41.10,-1.75,1600,200,10.04,7
34,45.03,42.01,1600,200,40.06,7
35,38.11,14.11,800,200,11.54,7
36,11.96,-21.89,320,200,33.13,7
37,-19.25,-5.30,1600,202,13.29,7
38,-31.25,-22.38,400,202,32.76,7
39,-8.35,-33.04,320,202,42.38,7
40,-39.68,-37.39,800,202,49.90,7
41,26.05,48.48,320,201,36.82,7
42,18.44,-11.68,400,200,21.15,7
43,-13.13,-20.58,1600,202,29.16,7
44,8.45,-25.56,1600,200,38.19,7
45,23.21,-37.45,320,200,42.42,7
46,-33.59,24.51,1600,202,22.07,7
47,45.01,-44.75,400,200,50.14,7
48,-32.38,-25.99,320,202,36.54,7
49,23.27,15.66,320,200,15.14,7
50,13.95,25.97,1600,201,12.65,7
51,-36.51,2.02,1600,202,18.55,7
52,-43.01,-29.53,800,202,44.58,7
53,31.97,7.33,320,200,3.55,7
54,-44.81,-34.22,320,202,49.50,7
55,-29.57,39.00,1600,202,32.77,7
56,49.78,-44.59,320,200,51.36,7
57,-42.77,-49.58,320,202,62.31,7
58,9.39,-31.96,1600,200,42.79,7
59,-10.83,41.30,320,201,25.45,7
60,-14.09,5.25,400,202,5.58,7
61,-4.74,18.74,1600,201,7.70,7
62,3.08,25.73,800,201,5.88,7
63,49.22,7.70,320,200,16.88,7
64,24.78,12.89,1600,200,12.05,7
65,24.78,33.32,320,201,25.71,7
66,37.33,33.10,320,200,29.58,7
67,24.38,40.34,320,201,29.70,7
68,16.69,-0.27,1600,200,16.62,7
69,33.00,38.89,1600,200,35.02,7
70,14.97,-25.20,400,200,34.09,7
71,-27.09,20.06,800,202,14.56,7
72,-17.12,-26.86,1600,202,34.90,7
73,13.31,-27.63,400,200,37.04,7
74,1.07,47.15,800,201,27.35,7
75,4.61,21.93,1600,201,2.70,7
76,-2.85,9.25,320,201,12.05,7
77,-4.91,-16.36,320,202,28.11,7
78,-6.55,-49.68,800,202,58.99,7
79,9.85,33.32,1600,201,15.17,7
80,17.55,-1.70,800,200,16.22,7
81,-19.50,21.21,1600,202,13.23,7
82,12.18,-45.91,800,200,53.88,7
83,19.60,17.39,400,201,16.90,7
84,-15.29,-31.54,400,202,39.70,7
85,12.72,23.07,800,201,10.35,7
86,24.04,-29.78,320,200,34.77,7
87,18.48,15.31,800,201,16.25,7
88,3.24,-41.24,800,200,53.92,7
89,37.74,18.61,1600,200,15.55,7
90,-38.87,-13.84,400,202,29.56,7
91,9.32,16.66,800,201,7.20,7
92,27.58,-21.16,800,200,25.57,7
93,-31.02,48.44,1600,202,42.21,7
94,32.74,-16.85,1600,200,20.73,7
95,-6.35,45.86,320,201,27.59,7
96,26.49,19.91,1600,200,17.22,7
97,18.58,-11.62,320,200,21.01,7
98,44.31,41.63,320,200,39.47,7
99,-29.65,29.37,400,202,23.90,7
100,-20.27,40.49,320,201,31.01,7
101,37.40,-0.19,400,200,6.15,7
102,-33.72,-22.61,320,202,33.98,7
103,-0.76,-3.63,320,202,21.59,7
104,-0.40,-20.89,1600,202,34.33,7
105,18.42,22.76,1600,201,15.81,7
106,10.31,-0.76,320,201,21.92,7
107,22.43,-32.18,1600,200,37.51,7
108,-0.15,-37.87,1600,202,49.57,7
109,-13.96,-17.52,320,202,26.00,7
110,40.85,12.21,320,200,11.60,7
111,31.81,-0.39,800,200,4.37,7
112,-10.57,15.88,400,202,11.51,7
113,-24.11,-34.88,1600,202,43.18,7
114,-39.22,14.72,800,202,21.35,7
115,-21.17,-16.86,1600,202,24.95,7
116,-7.27,43.45,400,201,25.68,7
117,-23.45,15.87,320,202,9.08,7
118,-1.26,-34.27,320,202,45.82,7
119,12.57,1.77,1600,200,20.32,7
120,5.76,-7.38,320,201,27.39,7
121,-10.56,-25.57,800,202,34.59,7
122,22.94,13.87,320,200,14.03,7
123,-16.18,39.76,1600,201,27.55,7
124,-8.92,-49.46,320,202,58.32,7
125,27.44,-20.63,1600,200,25.08,7
126,36.55,22.10,1600,200,18.61,7
127,-5.09,48.65,400,201,29.87,7
128,-28.91,-2.61,320,202,14.55,7
129,-40.61,-40.04,800,202,52.69,7
130,-19.82,15.71,320,202,7.77,7
131,-36.83,-44.85,1600,202,55.78,7
132,-4.23,28.09,400,201,10.87,7
133,-5.74,-38.09,400,202,47.94,7
134,7.86,2.99,400,201,17.59,7
135,-13.81,-19.57,320,202,28.04,7
136,-2.34,-33.02,400,202,44.25,7
137,2.57,11.89,400,201,7.97,7
138,-26.63,32.98,1600,202,26.14,7
139,-40.12,42.37,1600,202,40.37,7
140,-1.83,-27.45,320,202,39.36,7
141,-20.92,-14.28,320,202,22.36,7
142,-15.57,31.49,400,201,21.81,7
143,-46.37,-24.25,320,202,42.33,7
144,12.60,33.61,800,201,16.84,7
145,-27.90,-30.20,400,202,39.22,7
146,-39.03,17.46,320,202,22.20,7
147,21.95,-29.96,800,200,35.53,7
148,-18.43,-6.60,1600,202,14.60,7
149,-11.43,3.28,1600,202,8.88,7
150,5.54,-48.54,800,200,59.07,7
151,-11.78,-19.46,400,202,28.37,7
152,-23.96,14.97,400,202,8.58,7
153,41.96,18.60,320,200,17.35,7
154,19.78,-18.80,400,200,26.14,7
155,-49.40,3.30,320,202,30.81,7
156,11.84,14.27,400,201,10.57,7
157,-9.93,-13.78,400,202,23.57,7
158,30.19,17.78,1600,200,14.15,7
159,-46.71,-43.64,400,202,58.63,7
160,-31.24,11.90,400,202,12.89,7
161,6.78,-49.89,1600,200,59.72,7
162,-19.48,-23.84,400,202,31.84,7
163,35.76,-31.88,800,200,35.88,7
164,16.73,37.90,400,201,22.75,7
165,-18.68,38.50,1600,201,28.50,7
166,-34.29,0.35,320,202,17.14,7
167,17.57,40.42,1600,201,25.27,7
168,-10.55,20.61,320,201,13.44,7
169,4.74,23.90,320,201,4.45,7
170,-26.69,42.66,400,202,35.52,7
171,43.34,-0.56,400,200,11.46,7
