ID,X,Y,Channel,UF,Connected EDs
5002,-42.31,18.17,0,0.11,1173
5000,14.33,24.40,1,0.17,1733
5001,0.80,-27.73,2,0.20,2094
ID,X,Y,Period,GW ID,Dist. GW,SF
0,34.02,-10.56,3200,5001,37.39,7
1,29.84,41.16,16000,5000,22.84,7
2,-16.48,26.82,8000,5002,27.24,7
3,5.40,-2.26,4000,5001,25.89,7
4,-13.52,1.34,3200,5001,32.41,7
5,41.62,13.57,4000,5000,29.35,7
6,-35.84,10.70,16000,5002,9.88,7
7,-25.71,-36.28,3200,5001,27.86,7
8,-34.33,-9.91,16000,5002,29.18,7
9,-39.12,49.89,16000,5002,31.89,7
10,1.29,33.91,4000,5000,16.14,7
11,-20.40,13.76,4000,5002,22.35,7
12,-0.64,47.28,8000,5000,27.35,7
13,27.14,2.67,3200,5000,25.21,7
14,-9.98,39.15,8000,5000,28.44,7
15,-14.75,30.77,3200,5000,29.78,7
16,-43.02,44.93,4000,5002,26.78,7
17,-41.39,-30.78,4000,5001,42.31,7
18,39.02,-15.11,16000,5001,40.25,7
19,-48.00,-4.23,16000,5002,23.11,7
20,-26.17,47.06,3200,5002,33.10,7
21,35.09,-23.33,4000,5001,34.57,7
22,-12.48,26.02,4000,5000,26.86,7
23,16.77,3.16,16000,5000,21.38,7
24,-6.24,43.18,3200,5000,27.86,7
25,22.10,-21.57,4000,5001,22.17,7
26,14.00,-14.60,4000,5001,18.62,7
27,-33.40,-5.99,3200,5002,25.74,7
28,32.92,-16.97,16000,5001,33.87,7
29,39.34,-14.96,4000,5001,40.60,7
30,45.65,8.86,4000,5000,34.95,7
31,35.87,-6.04,3200,5000,37.29,7
32,-10.16,31.48,4000,5000,25.49,7
33,41.10,-1.75,16000,5000,37.42,7
34,45.03,42.01,16000,5000,35.39,7
35,38.11,14.11,8000,5000,25.90,7
36,11.96,-21.89,3200,5001,12.59,7
37,-19.25,-5.30,16000,5001,30.10,7
38,-31.25,-22.38,4000,5001,32.49,7
39,-8.35,-33.04,3200,5001,10.58,7
40,-39.68,-37.39,8000,5001,41.62,7
41,26.05,48.48,3200,5000,26.78,7
42,18.44,-11.68,4000,5001,23.85,7
43,-13.13,-20.58,16000,5001,15.66,7
44,8.45,-25.56,16000,5001,7.95,7
45,23.21,-37.45,3200,5001,24.43,7
46,-33.59,24.51,16000,5002,10.78,7
47,45.01,-44.75,4000,5001,47.37,7
48,-32.38,-25.99,3200,5001,33.23,7
