ID,X,Y,Channel,UF,Connected EDs
502,-12.51,-8.21,0,0.03,230
500,-4.01,28.41,1,0.02,132
501,37.66,10.64,2,0.02,138
ID,X,Y,Period,GW ID,Dist. GW,SF
0,34.02,-10.56,3600,501,21.51,7
1,29.84,41.16,3600,501,31.51,7
2,-16.48,26.82,3600,500,12.57,7
3,5.40,-2.26,3600,502,18.87,7
4,-13.52,1.34,3600,502,9.60,7
5,41.62,13.57,3600,501,4.93,7
6,-35.84,10.70,3600,502,30.03,7
7,-25.71,-36.28,3600,502,31.02,7
8,-34.33,-9.91,3600,502,21.89,7
9,-39.12,49.89,3600,500,41.16,7
10,1.29,33.91,3600,500,7.64,7
11,-20.40,13.76,3600,500,21.98,7
12,-0.64,47.28,3600,500,19.17,7
13,27.14,2.67,3600,501,13.20,7
14,-9.98,39.15,3600,500,12.29,7
15,-14.75,30.77,3600,500,11.00,7
16,-43.02,44.93,3600,500,42.37,7
17,-41.39,-30.78,3600,502,36.66,7
18,39.02,-15.11,3600,501,25.79,7
19,-48.00,-4.23,3600,502,35.71,7
20,-26.17,47.06,3600,500,28.97,7
21,35.09,-23.33,3600,501,34.07,7
22,-12.48,26.02,3600,500,8.80,7
23,16.77,3.16,3600,501,22.19,7
24,-6.24,43.18,3600,500,14.94,7
25,22.10,-21.57,3600,501,35.78,7
26,14.00,-14.60,3600,502,27.27,7
27,-33.40,-5.99,3600,502,21.01,7
28,32.92,-16.97,3600,501,28.01,7
29,39.34,-14.96,3600,501,25.66,7
30,45.65,8.86,3600,501,8.18,7
31,35.87,-6.04,3600,501,16.78,7
32,-10.16,31.48,3600,500,6.87,7
33,41.10,-1.75,3600,501,12.86,7
34,45.03,42.01,3600,501,32.22,7
35,38.11,14.11,3600,501,3.50,7
36,11.96,-21.89,3600,502,28.04,7
37,-19.25,-5.30,3600,502,7.34,7
38,-31.25,-22.38,3600,502,23.49,7
39,-8.35,-33.04,3600,502,25.18,7
40,-39.68,-37.39,3600,502,39.88,7
41,26.05,48.48,3600,500,36.14,7
42,18.44,-11.68,3600,501,29.45,7
43,-13.13,-20.58,3600,502,12.39,7
44,8.45,-25.56,3600,502,27.21,7
45,23.21,-37.45,3600,502,46.17,7
46,-33.59,24.51,3600,500,29.84,7
47,45.01,-44.75,3600,501,55.87,7
48,-32.38,-25.99,3600,502,26.67,7
49,23.27,15.66,3600,501,15.24,7
50,13.95,25.97,3600,500,18.12,7
51,-36.51,2.02,3600,502,26.09,7
52,-43.01,-29.53,3600,502,37.22,7
53,31.97,7.33,3600,501,6.59,7
54,-44.81,-34.22,900,502,41.47,7
55,-29.57,39.00,3600,500,27.67,7
56,49.78,-44.59,3600,501,56.55,7
57,-42.77,-49.58,3600,502,51.26,7
58,9.39,-31.96,3600,502,32.31,7
59,-10.83,41.30,3600,500,14.59,7
60,-14.09,5.25,3600,502,13.55,7
61,-4.74,18.74,3600,500,9.70,7
62,3.08,25.73,3600,500,7.58,7
63,49.22,7.70,3600,501,11.93,7
64,24.78,12.89,3600,501,13.08,7
65,24.78,33.32,3600,501,26.09,7
66,37.33,33.10,1800,501,22.47,7
67,24.38,40.34,900,500,30.79,7
68,16.69,-0.27,3600,501,23.64,7
69,33.00,38.89,3600,501,28.64,7
70,14.97,-25.20,3600,502,32.31,7
71,-27.09,20.06,3600,500,24.54,7
72,-17.12,-26.86,3600,502,19.21,7
73,13.31,-27.63,3600,502,32.31,7
74,1.07,47.15,3600,500,19.41,7
75,4.61,21.93,3600,500,10.78,7
76,-2.85,9.25,3600,500,19.19,7
77,-4.91,-16.36,3600,502,11.15,7
78,-6.55,-49.68,3600,502,41.90,7
79,9.85,33.32,3600,500,14.70,7
80,17.55,-1.70,3600,501,23.60,7
81,-19.50,21.21,3600,500,17.09,7
82,12.18,-45.91,3600,502,45.07,7
83,19.60,17.39,3600,501,19.28,7
84,-15.29,-31.54,3600,502,23.50,7
85,12.72,23.07,3600,500,17.55,7
86,24.04,-29.78,3600,502,42.45,7
87,18.48,15.31,3600,501,19.75,7
88,3.24,-41.24,3600,502,36.59,7
89,37.74,18.61,3600,501,7.97,7
90,-38.87,-13.84,3600,502,26.96,7
91,9.32,16.66,3600,500,17.77,7
92,27.58,-21.16,3600,501,33.36,7
93,-31.02,48.44,3600,500,33.63,7
94,32.74,-16.85,3600,501,27.93,7
95,-6.35,45.86,3600,500,17.61,7
96,26.49,19.91,3600,501,14.52,7
97,18.58,-11.62,3600,501,29.32,7
98,44.31,41.63,3600,501,31.69,7
99,-29.65,29.37,3600,500,25.66,7
100,-20.27,40.49,3600,500,20.26,7
101,37.40,-0.19,3600,501,10.83,7
102,-33.72,-22.61,3600,502,25.64,7
103,-0.76,-3.63,3600,502,12.61,7
104,-0.40,-20.89,3600,502,17.54,7
105,18.42,22.76,3600,501,22.74,7
106,10.31,-0.76,3600,502,24.01,7
107,22.43,-32.18,3600,502,42.37,7
108,-0.15,-37.87,3600,502,32.14,7
109,-13.96,-17.52,3600,502,9.42,7
110,40.85,12.21,3600,501,3.55,7
111,31.81,-0.39,3600,501,12.49,7
112,-10.57,15.88,3600,500,14.14,7
113,-24.11,-34.88,3600,502,29.08,7
114,-39.22,14.72,3600,502,35.20,7
115,-21.17,-16.86,3600,502,12.25,7
116,-7.27,43.45,3600,500,15.39,7
117,-23.45,15.87,3600,500,23.14,7
118,-1.26,-34.27,3600,502,28.39,7
119,12.57,1.77,3600,501,26.62,7
120,5.76,-7.38,3600,502,18.29,7
121,-10.56,-25.57,3600,502,17.47,7
122,22.94,13.87,900,501,15.07,7
123,-16.18,39.76,3600,500,16.64,7
124,-8.92,-49.46,3600,502,41.41,7
125,27.44,-20.63,3600,501,32.90,7
126,36.55,22.10,3600,501,11.51,7
127,-5.09,48.65,3600,500,20.27,7
128,-28.91,-2.61,3600,502,17.33,7
129,-40.61,-40.04,3600,502,42.46,7
130,-19.82,15.71,3600,500,20.28,7
131,-36.83,-44.85,3600,502,43.98,7
132,-4.23,28.09,3600,500,0.39,7
133,-5.74,-38.09,3600,502,30.64,7
134,7.86,2.99,3600,502,23.25,7
135,-13.81,-19.57,3600,502,11.44,7
136,-2.34,-33.02,3600,502,26.81,7
137,2.57,11.89,3600,500,17.78,7
138,-26.63,32.98,3600,500,23.09,7
139,-40.12,42.37,3600,500,38.72,7
140,-1.83,-27.45,3600,502,22.01,7
141,-20.92,-14.28,3600,502,10.37,7
142,-15.57,31.49,3600,500,11.97,7
143,-46.37,-24.25,3600,502,37.47,7
144,12.60,33.61,3600,500,17.40,7
145,-27.90,-30.20,3600,502,26.84,7
146,-39.03,17.46,3600,500,36.69,7
147,21.95,-29.96,3600,502,40.75,7
148,-18.43,-6.60,3600,502,6.14,7
149,-11.43,3.28,3600,502,11.54,7
150,5.54,-48.54,3600,502,44.19,7
151,-11.78,-19.46,3600,502,11.28,7
152,-23.96,14.97,3600,500,24.05,7
153,41.96,18.60,3600,501,9.04,7
154,19.78,-18.80,3600,502,33.99,7
155,-49.40,3.30,3600,502,38.64,7
156,11.84,14.27,3600,500,21.24,7
157,-9.93,-13.78,3600,502,6.15,7
158,30.19,17.78,3600,501,10.34,7
159,-46.71,-43.64,3600,502,49.25,7
160,-31.24,11.90,3600,502,27.47,7
161,6.78,-49.89,3600,502,45.93,7
162,-19.48,-23.84,3600,502,17.12,7
163,35.76,-31.88,3600,501,42.57,7
164,16.73,37.90,3600,500,22.81,7
165,-18.68,38.50,3600,500,17.81,7
166,-34.29,0.35,3600,502,23.39,7
167,17.57,40.42,3600,500,24.69,7
168,-10.55,20.61,3600,500,10.18,7
169,4.74,23.90,3600,500,9.84,7
170,-26.69,42.66,3600,500,26.79,7
171,43.34,-0.56,3600,501,12.56,7
172,43.91,29.96,3600,501,20.31,7
173,9.45,15.72,900,500,18.49,7
174,43.59,-17.55,3600,501,28.80,7
175,8.92,13.78,3600,500,19.52,7
176,27.54,29.49,3600,501,21.39,7
177,10.44,-2.94,3600,502,23.54,7
178,29.55,36.51,3600,501,27.11,7
179,16.44,-8.75,3600,501,28.75,7
180,9.69,14.56,3600,500,19.48,7
181,-35.17,7.90,3600,502,27.80,7
182,20.09,1.82,3600,501,19.66,7
183,1.50,-38.74,3600,502,33.59,7
184,1.03,-45.15,3600,502,39.35,7
185,-11.53,13.77,3600,500,16.46,7
186,-35.60,-8.69,3600,502,23.10,7
187,-9.32,-48.25,3600,502,40.17,7
188,7.37,31.29,3600,500,11.74,7
189,-5.33,-2.26,900,502,9.32,7
190,-44.13,-42.57,3600,502,46.70,7
191,9.73,-27.74,3600,502,29.60,7
192,13.02,42.35,3600,500,22.01,7
193,-3.71,-6.14,3600,502,9.03,7
194,45.27,44.89,3600,501,35.08,7
195,26.70,-16.64,3600,501,29.40,7
196,-28.09,-2.24,3600,502,16.68,7
197,-3.38,38.43,3600,500,10.04,7
198,-31.62,-4.20,3600,502,19.53,7
199,26.64,40.48,3600,501,31.81,7
200,26.16,46.35,3600,500,35.10,7
201,-9.76,6.08,3600,502,14.55,7
202,12.22,-30.90,3600,502,33.56,7
203,-13.99,15.39,3600,500,16.41,7
204,-28.93,10.65,3600,502,25.01,7
205,-39.02,-12.64,3600,502,26.88,7
206,14.65,9.27,3600,501,23.05,7
207,9.63,-44.11,3600,502,42.19,7
208,6.36,-25.74,3600,502,25.76,7
209,-15.62,-49.09,3600,502,41.00,7
210,10.14,27.07,3600,500,14.21,7
211,43.33,-32.69,3600,501,43.70,7
212,-1.23,29.52,3600,500,2.99,7
213,46.57,-34.47,3600,501,45.98,7
214,38.22,-13.40,3600,501,24.04,7
215,24.76,-2.42,3600,501,18.36,7
216,44.66,-37.77,3600,501,48.91,7
217,12.32,21.87,3600,500,17.59,7
218,-31.59,-21.77,3600,502,23.41,7
219,-29.70,12.61,3600,502,27.00,7
220,-37.33,-27.24,3600,502,31.28,7
221,-48.61,-33.92,3600,502,44.32,7
222,-3.82,14.85,3600,500,13.55,7
223,-39.91,11.42,3600,502,33.71,7
224,-10.63,-0.36,3600,502,8.07,7
225,-20.68,-25.59,3600,502,19.21,7
226,6.62,-30.93,3600,502,29.70,7
227,-6.82,31.39,3600,500,4.10,7
228,-14.36,49.80,3600,500,23.76,7
229,2.35,-29.91,3600,502,26.30,7
230,19.98,-17.24,3600,501,33.01,7
231,14.67,-15.85,3600,502,28.24,7
232,26.67,30.33,3600,501,22.55,7
233,18.19,40.42,3600,500,25.24,7
234,25.25,-20.21,3600,501,33.25,7
235,-31.09,9.11,3600,502,25.40,7
236,-39.85,-34.27,3600,502,37.78,7
237,-36.38,8.91,3600,502,29.38,7
238,38.96,44.55,3600,501,33.93,7
239,42.52,-3.09,3600,501,14.57,7
240,8.70,-33.12,3600,502,32.72,7
241,-2.36,31.55,3600,500,3.55,7
242,2.65,8.23,3600,500,21.25,7
243,-27.48,-23.58,3600,502,21.46,7
244,3.82,-48.33,3600,502,43.32,7
245,-15.25,-29.43,3600,502,21.40,7
246,-9.90,-19.28,3600,502,11.38,7
247,14.51,-5.67,3600,502,27.14,7
248,20.32,-16.71,3600,501,32.39,7
249,25.92,-24.19,3600,501,36.75,7
250,-48.38,34.51,3600,500,44.79,7
251,10.08,-17.85,3600,502,24.56,7
252,2.68,34.80,3600,500,9.25,7
253,-24.38,-42.68,3600,502,36.46,7
254,38.98,11.14,3600,501,1.41,7
255,32.13,45.90,3600,501,35.69,7
256,-15.60,-14.01,3600,502,6.57,7
257,-47.61,-49.49,3600,502,54.19,7
258,-20.71,20.83,3600,500,18.34,7
259,0.74,-3.25,3600,502,14.15,7
260,-30.90,-1.64,3600,502,19.53,7
261,-45.66,-41.56,3600,502,47.02,7
262,21.14,11.12,3600,501,16.53,7
263,46.16,36.75,3600,501,27.45,7
264,-2.41,25.73,3600,500,3.12,7
265,-49.30,7.86,3600,502,40.15,7
266,24.37,42.26,3600,500,31.58,7
267,28.76,44.64,3600,501,35.15,7
268,-22.51,-26.07,3600,502,20.47,7
269,-40.50,24.67,3600,500,36.68,7
270,-32.67,43.77,3600,500,32.52,7
271,-40.33,48.11,3600,500,41.32,7
272,-15.85,19.25,3600,500,14.97,7
273,-6.56,15.40,3600,500,13.25,7
274,10.05,-37.00,3600,502,36.58,7
275,-12.20,-36.30,3600,502,28.10,7
276,-38.55,38.07,3600,500,35.87,7
277,-28.91,16.83,3600,500,27.46,7
278,-18.77,44.32,3600,500,21.70,7
279,-37.79,-46.17,3600,502,45.61,7
280,-10.07,-28.84,3600,502,20.78,7
281,-33.98,-19.18,3600,502,24.11,7
282,-49.46,14.98,3600,502,43.62,7
283,-3.81,-41.58,3600,502,34.49,7
284,28.59,18.47,3600,501,11.98,7
285,36.72,-43.73,3600,501,54.38,7
286,2.71,-32.29,3600,502,28.49,7
287,-39.05,-11.20,3600,502,26.71,7
288,13.84,20.03,3600,500,19.71,7
289,-9.34,32.24,3600,500,6.57,7
