ID,X,Y,Channel,UF,Connected EDs
501,-2.96,-30.66,0,0.27,256
500,-1.44,27.33,1,0.24,244
ID,X,Y,Period,GW ID,Dist. GW,SF
0,34.02,-10.56,320,501,42.08,7
1,29.84,41.16,1600,500,34.20,7
2,-16.48,26.82,800,500,15.05,7
3,5.40,-2.26,400,501,29.60,7
4,-13.52,1.34,320,500,28.66,7
5,41.62,13.57,400,500,45.20,7
6,-35.84,10.70,1600,500,38.21,7
7,-25.71,-36.28,320,501,23.44,7
8,-34.33,-9.91,1600,501,37.61,7
9,-39.12,49.89,1600,500,43.92,7
10,1.29,33.91,400,500,7.13,7
11,-20.40,13.76,400,500,23.32,7
12,-0.64,47.28,800,500,19.97,7
13,27.14,2.67,320,500,37.74,7
14,-9.98,39.15,800,500,14.59,7
15,-14.75,30.77,320,500,13.76,7
16,-43.02,44.93,400,500,45.16,7
17,-41.39,-30.78,400,501,38.44,7
18,39.02,-15.11,1600,501,44.77,7
19,-48.00,-4.23,1600,501,52.22,7
20,-26.17,47.06,320,500,31.65,7
21,35.09,-23.33,400,501,38.75,7
22,-12.48,26.02,400,500,11.12,7
23,16.77,3.16,1600,500,30.26,7
24,-6.24,43.18,320,500,16.57,7
25,22.10,-21.57,400,501,26.65,7
26,14.00,-14.60,400,501,23.36,7
27,-33.40,-5.99,320,501,39.18,7
28,32.92,-16.97,1600,501,38.40,7
29,39.34,-14.96,400,501,45.11,7
30,45.65,8.86,400,500,50.57,7
31,35.87,-6.04,320,501,45.97,7
32,-10.16,31.48,400,500,9.66,7
33,41.10,-1.75,1600,500,51.52,7
34,45.03,42.01,1600,500,48.73,7
35,38.11,14.11,800,500,41.69,7
36,11.96,-21.89,320,501,17.30,7
37,-19.25,-5.30,1600,501,30.14,7
38,-31.25,-22.38,400,501,29.47,7
39,-8.35,-33.04,320,501,5.89,7
40,-39.68,-37.39,800,501,37.34,7
41,26.05,48.48,320,500,34.68,7
42,18.44,-11.68,400,501,28.60,7
43,-13.13,-20.58,1600,501,14.32,7
44,8.45,-25.56,1600,501,12.50,7
45,23.21,-37.45,320,501,27.04,7
46,-33.59,24.51,1600,500,32.28,7
47,45.01,-44.75,400,501,50.00,7
48,-32.38,-25.99,320,501,29.79,7
49,23.27,15.66,320,500,27.32,7
50,13.95,25.97,1600,500,15.44,7
51,-36.51,2.02,1600,500,43.25,7
52,-43.01,-29.53,800,501,40.07,7
53,31.97,7.33,320,500,38.93,7
54,-44.81,-34.22,320,501,42.00,7
55,-29.57,39.00,1600,500,30.46,7
56,49.78,-44.59,320,501,54.55,7
57,-42.77,-49.58,320,501,44.08,7
58,9.39,-31.96,1600,501,12.42,7
59,-10.83,41.30,320,500,16.84,7
60,-14.09,5.25,400,500,25.45,7
61,-4.74,18.74,1600,500,9.20,7
62,3.08,25.73,800,500,4.79,7
63,49.22,7.70,320,500,54.33,7
64,24.78,12.89,1600,500,29.93,7
65,24.78,33.32,320,500,26.89,7
66,37.33,33.10,320,500,39.19,7
67,24.38,40.34,320,500,28.91,7
68,16.69,-0.27,1600,500,33.02,7
69,33.00,38.89,1600,500,36.33,7
70,14.97,-25.20,400,501,18.74,7
71,-27.09,20.06,800,500,26.66,7
72,-17.12,-26.86,1600,501,14.66,7
73,13.31,-27.63,400,501,16.54,7
74,1.07,47.15,800,500,19.98,7
75,4.61,21.93,1600,500,8.11,7
76,-2.85,9.25,320,500,18.13,7
77,-4.91,-16.36,320,501,14.42,7
78,-6.55,-49.68,800,501,19.36,7
79,9.85,33.32,1600,500,12.78,7
80,17.55,-1.70,800,500,34.69,7
81,-19.50,21.21,1600,500,19.08,7
82,12.18,-45.91,800,501,21.50,7
83,19.60,17.39,400,500,23.26,7
84,-15.29,-31.54,400,501,12.36,7
85,12.72,23.07,800,500,14.78,7
86,24.04,-29.78,320,501,27.02,7
87,18.48,15.31,800,500,23.25,7
