ID,X,Y,Channel,UF,Connected EDs
50,38.99,-2.98,0,0.02,23
51,-24.37,8.20,1,0.03,27
ID,X,Y,Period,GW ID,Dist. GW,SF
0,34.02,-10.56,320,50,9.07,7
1,29.84,41.16,1600,50,45.08,7
2,-16.48,26.82,800,51,20.23,7
3,5.40,-2.26,400,51,31.55,7
4,-13.52,1.34,320,51,12.84,7
5,41.62,13.57,400,50,16.76,7
6,-35.84,10.70,1600,51,11.74,7
7,-25.71,-36.28,320,51,44.50,7
8,-34.33,-9.91,1600,51,20.67,7
9,-39.12,49.89,1600,51,44.22,7
10,1.29,33.91,400,51,36.33,7
11,-20.40,13.76,400,51,6.83,7
12,-0.64,47.28,800,51,45.72,7
13,27.14,2.67,320,50,13.14,7
14,-9.98,39.15,800,51,34.13,7
15,-14.75,30.77,320,51,24.53,7
16,-43.02,44.93,400,51,41.20,7
17,-41.39,-30.78,400,51,42.54,7
18,39.02,-15.11,1600,50,12.13,7
19,-48.00,-4.23,1600,51,26.70,7
20,-26.17,47.06,320,51,38.90,7
21,35.09,-23.33,400,50,20.72,7
22,-12.48,26.02,400,51,21.43,7
23,16.77,3.16,1600,50,23.06,7
24,-6.24,43.18,320,51,39.40,7
25,22.10,-21.57,400,50,25.12,7
26,14.00,-14.60,400,50,27.56,7
27,-33.40,-5.99,320,51,16.82,7
28,32.92,-16.97,1600,50,15.25,7
29,39.34,-14.96,400,50,11.99,7
30,45.65,8.86,400,50,13.59,7
31,35.87,-6.04,320,50,4.38,7
32,-10.16,31.48,400,51,27.27,7
33,41.10,-1.75,1600,50,2.44,7
34,45.03,42.01,1600,50,45.40,7
35,38.11,14.11,800,50,17.11,7
36,11.96,-21.89,320,50,32.99,7
37,-19.25,-5.30,1600,51,14.44,7
38,-31.25,-22.38,400,51,31.34,7
39,-8.35,-33.04,320,51,44.24,7
40,-39.68,-37.39,800,51,48.10,7
41,26.05,48.48,320,50,53.06,7
42,18.44,-11.68,400,50,22.32,7
43,-13.13,-20.58,1600,51,30.90,7
44,8.45,-25.56,1600,50,37.98,7
45,23.21,-37.45,320,50,37.91,7
46,-33.59,24.51,1600,51,18.73,7
47,45.01,-44.75,400,50,42.20,7
48,-32.38,-25.99,320,51,35.12,7
49,23.27,15.66,320,50,24.39,7
