ID,X,Y,Channel,UF,Connected EDs
50000,8.11,351.94,0,0.47,4828
50001,-374.00,-305.22,1,0.46,4688
50002,-337.28,347.93,2,0.47,4923
50003,131.54,-252.92,3,0.44,4665
50004,346.87,43.12,4,0.46,4878
50005,-329.25,12.83,5,0.48,5025
50006,329.28,347.03,6,0.46,4868
50007,365.68,-329.30,7,0.46,4815
50008,6.81,30.39,8,0.37,3867
50009,-110.14,-339.31,9,0.44,4634
50010,-76.78,122.56,10,0.28,2809
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3200,50004,148.89,9
1,298.44,411.65,16000,50006,71.60,8
2,-164.78,268.23,8000,50010,170.18,9
3,53.97,-22.60,4000,50008,70.94,8
4,-135.22,13.40,3200,50010,123.82,8
5,416.20,135.71,4000,50004,115.67,8
6,-358.40,106.97,16000,50005,98.55,8
7,-257.11,-362.77,3200,50001,130.29,9
8,-343.32,-99.06,16000,50005,112.76,8
9,-391.19,498.92,16000,50002,160.33,9
10,12.93,339.11,4000,50000,13.71,7
11,-203.97,137.55,4000,50010,128.07,9
12,-6.42,472.78,8000,50000,121.70,8
13,271.36,26.74,3200,50004,77.26,8
14,-99.77,391.53,8000,50000,114.92,8
15,-147.54,307.72,3200,50000,161.81,9
16,-430.24,449.33,4000,50002,137.56,9
17,-413.94,-307.79,4000,50001,40.02,7
18,390.23,-151.11,16000,50007,179.87,9
19,-479.98,-42.30,16000,50005,160.49,9
20,-261.72,470.63,3200,50002,144.10,9
21,350.92,-233.33,4000,50007,97.09,8
22,-124.79,260.25,4000,50010,145.82,9
23,167.72,31.61,16000,50008,160.92,9
24,-62.36,431.84,3200,50000,106.53,8
25,220.95,-215.71,4000,50003,96.85,8
26,139.98,-145.95,4000,50003,107.30,8
27,-334.03,-59.90,3200,50005,72.88,8
28,329.20,-169.66,16000,50007,163.75,9
29,393.37,-149.64,4000,50007,181.78,9
30,456.47,88.64,4000,50004,118.68,8
31,358.68,-60.44,3200,50004,104.23,8
32,-101.56,314.77,4000,50000,115.80,8
33,410.97,-17.51,16000,50004,88.24,8
34,450.25,420.13,16000,50006,141.34,9
35,381.06,141.08,8000,50004,103.76,8
36,119.60,-218.94,3200,50003,36.01,7
37,-192.54,-52.97,16000,50005,151.72,9
38,-312.47,-223.77,4000,50001,102.09,8
39,-83.50,-330.39,3200,50009,28.10,7
40,-396.83,-373.92,8000,50001,72.39,8
41,260.48,484.75,3200,50006,153.95,9
42,184.45,-116.81,4000,50003,146.03,9
43,-131.34,-205.84,16000,50009,135.14,9
44,84.49,-255.59,16000,50003,47.12,7
45,232.15,-374.53,3200,50007,140.99,9
46,-335.90,245.07,16000,50002,102.87,8
47,450.10,-447.47,4000,50007,145.23,9
48,-323.79,-259.94,3200,50001,67.62,8
49,232.65,156.56,3200,50004,160.98,9
50,139.46,259.73,16000,50000,160.48,9
51,-365.10,20.21,16000,50005,36.60,7
52,-430.09,-295.34,8000,50001,56.96,7
53,319.68,73.32,3200,50004,40.63,7
54,-448.06,-342.19,3200,50001,82.77,8
55,-295.67,389.96,16000,50002,59.14,7
56,497.80,-445.94,3200,50007,176.24,9
57,-427.67,-495.84,3200,50001,198.03,9
58,93.89,-319.63,16000,50003,76.60,8
59,-108.31,413.03,3200,50000,131.47,9
60,-140.90,52.49,4000,50010,94.99,8
61,-47.42,187.39,16000,50010,71.16,8
62,30.81,257.29,8000,50000,97.33,8
63,492.23,76.97,3200,50004,149.25,9
64,247.81,128.91,16000,50004,131.04,9
65,247.80,333.24,3200,50006,82.64,8
66,373.27,331.04,3200,50006,46.81,7
67,243.81,403.37,3200,50006,102.37,8
68,166.88,-2.74,16000,50008,163.47,9
69,330.01,388.95,16000,50006,41.92,7
70,149.71,-251.96,4000,50003,18.20,7
71,-270.86,200.62,8000,50002,161.59,9
72,-171.22,-268.57,16000,50009,93.46,8
73,133.07,-276.34,4000,50003,23.48,7
74,10.69,471.47,8000,50000,119.55,8
75,46.11,219.27,16000,50000,138.01,9
76,-28.52,92.54,3200,50010,56.84,7
77,-49.08,-163.65,3200,50009,185.97,9
78,-65.49,-496.77,8000,50009,163.67,9
79,98.48,333.24,16000,50000,92.29,8
80,175.48,-17.05,8000,50008,175.21,9
81,-195.04,212.09,16000,50010,148.33,9
82,121.82,-459.14,8000,50003,206.45,9
83,195.98,173.94,4000,50004,199.69,9
84,-152.88,-315.38,4000,50009,48.98,7
85,127.16,230.73,8000,50000,169.90,9
86,240.44,-297.79,3200,50003,117.78,8
87,184.76,153.13,8000,50004,195.91,9
88,32.44,-412.36,8000,50009,160.21,9
89,377.38,186.12,16000,50004,146.22,9
90,-388.72,-138.40,4000,50005,162.50,9
91,93.21,166.56,8000,50008,161.27,9
92,275.77,-211.62,8000,50007,148.09,9
93,-310.25,484.36,16000,50002,139.08,9
94,327.39,-168.52,16000,50007,165.27,9
95,-63.50,458.64,3200,50000,128.50,9
96,264.87,199.08,16000,50006,161.37,9
97,185.79,-116.17,3200,50003,147.12,9
98,443.05,416.27,3200,50006,133.18,9
99,-296.45,293.66,4000,50002,67.92,8
100,-202.71,404.93,3200,50002,146.14,9
101,373.98,-1.86,4000,50004,52.52,7
102,-337.24,-226.09,3200,50001,87.26,8
103,-7.60,-36.34,3200,50008,68.26,8
104,-4.02,-208.95,16000,50003,142.51,9
105,184.18,227.55,16000,50006,187.97,9
106,103.11,-7.58,3200,50008,103.52,8
107,224.25,-321.79,16000,50003,115.50,8
108,-1.47,-378.74,16000,50009,115.60,8
109,-139.56,-175.19,3200,50009,166.73,9
110,408.48,122.10,3200,50004,100.17,8
111,318.13,-3.93,8000,50004,55.13,7
112,-105.67,158.83,4000,50010,46.37,7
113,-241.09,-348.77,16000,50009,131.29,9
114,-392.15,147.21,8000,50005,148.37,9
115,-211.73,-168.61,16000,50009,198.64,9
116,-72.67,434.49,4000,50000,115.50,8
117,-234.54,158.75,3200,50010,161.86,9
118,-12.57,-342.73,3200,50009,97.63,8
119,125.67,17.71,16000,50008,119.53,8
120,57.56,-73.80,3200,50008,115.89,8
121,-105.61,-255.67,8000,50009,83.76,8
122,229.36,138.65,3200,50004,151.44,9
123,-161.76,397.56,16000,50000,175.89,9
124,-89.21,-494.59,3200,50009,156.69,9
125,274.39,-206.32,16000,50003,150.26,9
126,365.53,221.01,16000,50006,131.14,9
127,-50.89,486.47,4000,50000,146.90,9
128,-289.12,-26.11,3200,50005,55.91,7
129,-406.08,-400.44,8000,50001,100.47,8
130,-198.24,157.12,3200,50010,126.28,9
131,-368.30,-448.49,16000,50001,143.38,9
132,-42.28,280.87,4000,50000,87.13,8
133,-57.44,-380.89,4000,50009,67.13,8
134,78.63,29.90,4000,50008,71.83,8
135,-138.08,-195.71,3200,50009,146.29,9
136,-23.42,-330.18,4000,50009,87.21,8
137,25.75,118.93,4000,50008,90.54,8
138,-266.34,329.81,16000,50002,73.22,8
139,-401.16,423.73,16000,50002,99.12,8
140,-18.27,-274.51,3200,50009,112.43,8
141,-209.17,-142.81,3200,50005,196.57,9
142,-155.75,314.91,4000,50000,167.99,9
143,-463.67,-242.53,3200,50001,109.41,8
144,125.96,336.10,8000,50000,118.91,8
145,-278.99,-301.98,4000,50001,95.07,8
146,-390.27,174.61,3200,50005,172.90,9
147,219.46,-299.65,8000,50003,99.57,8
148,-184.34,-65.99,16000,50005,164.96,9
149,-114.25,32.85,16000,50010,97.23,8
150,55.40,-485.42,8000,50009,220.80,9
151,-117.83,-194.59,4000,50009,144.92,9
152,-239.56,149.66,4000,50005,163.61,9
153,419.59,185.99,3200,50004,160.31,9
154,197.85,-188.05,4000,50003,92.76,8
155,-494.00,32.96,3200,50005,165.97,9
156,118.45,142.69,4000,50008,158.36,9
157,-99.29,-137.85,4000,50008,198.89,9
158,301.90,177.81,16000,50004,142.00,9
159,-467.11,-436.44,4000,50001,160.89,9
160,-312.38,118.96,4000,50005,107.46,8
161,67.83,-498.87,16000,50009,239.03,9
162,-194.76,-238.43,4000,50009,131.67,9
163,357.56,-318.84,8000,50007,13.24,7
164,167.34,379.01,4000,50000,161.51,9
165,-186.77,385.01,16000,50002,155.01,9
166,-342.86,3.46,3200,50005,16.52,7
167,175.65,404.17,16000,50006,163.91,9
168,-105.48,206.07,3200,50010,88.30,8
169,47.40,238.96,3200,50000,119.62,8
170,-266.88,426.58,4000,50002,105.55,8
171,433.42,-5.59,4000,50004,99.32,8
172,439.13,299.65,3200,50006,119.63,8
173,94.50,157.20,3200,50008,154.18,9
174,435.85,-175.46,3200,50007,169.08,9
175,89.16,137.77,3200,50008,135.33,9
176,275.42,294.91,8000,50006,74.95,8
