ID,X,Y,Channel,UF,Connected EDs
50000,-136.78,357.43,0,0.40,2659
50001,-336.65,15.01,1,0.31,2071
50002,281.07,-498.16,1,0.06,415
50003,-248.90,-414.86,2,0.24,1565
50004,322.37,-424.66,1,0.27,1776
50005,-413.90,266.95,2,0.31,2060
50006,255.55,152.28,3,0.54,3614
50007,-436.45,-408.98,1,0.19,1249
50008,422.40,-214.52,2,0.26,1740
50009,152.76,381.74,1,0.42,2815
50010,101.68,-472.48,1,0.15,989
50011,-218.78,301.01,4,0.32,2096
50012,77.93,-341.67,1,0.30,1974
50013,-4.56,-144.08,5,0.38,2533
50014,-412.01,241.38,5,0.20,1329
50015,93.18,-48.79,6,0.39,2551
50016,98.81,256.53,2,0.27,1764
50017,466.22,-120.12,4,0.31,2090
50018,258.37,-282.68,7,0.31,2086
50019,-34.98,80.74,4,0.31,2056
50020,-207.34,51.12,5,0.27,1837
50021,-152.31,-451.78,1,0.22,1457
50022,-296.60,-88.76,7,0.44,2931
50023,-360.76,-374.20,2,0.26,1702
50024,196.72,291.99,8,0.40,2641
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3600,50017,126.87,9
1,298.44,411.65,3600,50009,148.72,9
2,-164.78,268.23,3600,50011,63.17,8
3,53.97,-22.60,3600,50015,47.15,7
4,-135.22,13.40,3600,50020,81.39,8
5,416.20,135.71,3600,50006,161.49,9
6,-358.40,106.97,3600,50001,94.50,8
7,-257.11,-362.77,3600,50003,52.73,7
8,-343.32,-99.06,3600,50022,47.84,7
9,-391.19,498.92,3600,50005,233.09,9
10,12.93,339.11,3600,50016,119.14,8
11,-203.97,137.55,3600,50020,86.50,8
12,-6.42,472.78,3600,50000,174.07,9
13,271.36,26.74,3600,50006,126.53,9
14,-99.77,391.53,3600,50000,50.33,7
15,-147.54,307.72,3600,50000,50.85,7
16,-430.24,449.33,3600,50005,183.11,9
17,-413.94,-307.79,3600,50023,85.08,8
18,390.23,-151.11,3600,50008,71.10,8
19,-479.98,-42.30,3600,50001,154.36,9
20,-261.72,470.63,3600,50000,168.60,9
21,350.92,-233.33,3600,50008,73.92,8
22,-124.79,260.25,3600,50000,97.91,8
23,167.72,31.61,3600,50015,109.64,8
24,-62.36,431.84,3600,50000,105.24,8
25,220.95,-215.71,3600,50018,76.72,8
26,139.98,-145.95,3600,50015,107.85,8
27,-334.03,-59.90,3600,50022,47.26,7
28,329.20,-169.66,3600,50008,103.43,8
29,393.37,-149.64,3600,50008,71.08,8
30,456.47,88.64,3600,50017,208.99,9
31,358.68,-60.44,3600,50017,123.00,8
32,-101.56,314.77,3600,50000,55.32,7
33,410.97,-17.51,3600,50017,116.54,8
34,450.25,420.13,3600,50024,284.07,10
