GW Pos. Heuristic,ED Sched. Method,Position distr.,Periods distr.,Map size,ED Number,ED Dens. (1/m^2),Max. SF,GW Number,Channels used,ED Unfeas. Instances,Coverage %,GW Avg. UF,Elapsed,Iterations,Exit condition
Random Comb.,None,Uniform,Medium,1000,10000,0.01,12,9,9,0,100.00,0.29,3418,305,Max. coverage
GA Opt.,None,Uniform,Hard,1000,20000,0.02,12,31,12,0,81.36,0.27,16034,504,Max. iterations
GA Opt.,None,Uniform,Hard,1000,20000,0.02,12,86,11,0,99.95,0.10,17319,526,Max. iterations
Random Comb.,None,Uniform,Hard,1000,20000,0.02,12,60,11,0,98.44,0.15,41461,1001,Max. iterations
Springs (Discr.),None,Uniform,Hard,1000,20000,0.02,12,58,9,0,99.42,0.16,51958,1001,Max. iterations
GA Opt.,None,Uniform,Medium,1000,20000,0.02,12,13,13,0,100.00,0.37,12100,241,Max. iterations
GA Opt.,None,Uniform,Medium,1000,20000,0.02,12,12,12,0,100.00,0.36,13799,406,Max. iterations
Random Comb.,None,Uniform,Medium,1000,20000,0.02,12,13,13,0,100.00,0.34,20953,706,Max. coverage
Springs (Discr.),None,Uniform,Medium,1000,20000,0.02,12,11,11,0,100.00,0.39,14827,503,Max. coverage
Springs (Discr.),None,Uniform,Hard,1000,15000,0.01,12,20,10,0,75.98,0.31,25515,1001,Max. iterations
Random Comb.,None,Uniform,Hard,1000,15000,0.01,12,20,12,0,77.98,0.31,22520,1001,Max. iterations
GA Opt.,None,Uniform,Hard,1000,15000,0.01,12,33,11,0,90.87,0.21,11109,526,Max. iterations
GA Opt.,None,Uniform,Hard,1000,15000,0.01,12,64,9,0,99.99,0.10,17445,1021,Max. iterations
Random Comb.,None,Uniform,Hard,1000,15000,0.01,12,44,10,0,95.30,0.16,48744,2001,Max. iterations
Springs (Discr.),None,Uniform,Hard,1000,15000,0.01,12,43,10,0,95.67,0.16,64358,2001,Max. iterations
GA Opt.,None,Uniform,Hard,1000,15000,0.01,12,86,10,0,100.00,0.07,17742,1021,Max. iterations
Random Comb.,None,Uniform,Hard,1000,15000,0.01,12,66,9,0,99.33,0.10,45296,2001,Max. iterations
Springs (Discr.),None,Uniform,Hard,1000,15000,0.01,12,67,13,0,98.63,0.10,73785,2001,Max. iterations
GA Opt.,None,Uniform,Hard,1000,10000,0.01,12,48,9,0,98.42,0.10,10047,998,Max. iterations
GA Opt.,None,Uniform,Medium,1000,10000,0.01,12,8,8,0,100.00,0.34,5255,467,Max. iterations
GA Opt.,None,Uniform,Hard,1000,5000,0.00,12,47,7,0,99.28,0.05,4461,1003,Max. iterations
GA Opt.,None,Uniform,Hard,1000,5000,0.00,12,45,10,0,98.16,0.05,4514,1001,Max. iterations
Random Comb.,None,Uniform,Hard,1000,5000,0.00,12,31,8,0,91.78,0.08,8819,3001,Max. iterations
Springs (Discr.),None,Uniform,Hard,1000,5000,0.00,12,31,9,0,89.66,0.08,13596,3001,Max. iterations
