GW Pos. Heuristic,ED Sched. Method,Position distr.,Periods distr.,Map size,ED Number,ED Dens. (1/m^2),Max. SF,GW Number,Channels used,ED Unfeas. Instances,Coverage %,GW Avg. UF,Elapsed,Iterations,Exit condition
Random Comb.,None,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.08,13,5000,Max. coverage
Random Comb.,None,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.08,12,5000,Max. coverage
Random Comb.,None,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.09,12,5000,Max. coverage
Random Comb.,None,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.09,12,5000,Max. coverage
Random Comb.,None,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.10,12,5000,Max. coverage
Random Comb.,None,Uniform,Medium,100,2000,0.20,12,1,1,0,100.00,0.19,53,5000,Max. coverage
Random Comb.,None,Uniform,Medium,100,2000,0.20,12,1,1,0,100.00,0.17,51,5000,Max. coverage
Random Comb.,None,Uniform,Medium,100,2000,0.20,12,1,1,0,100.00,0.13,50,5000,Max. coverage
Random Comb.,None,Uniform,Medium,100,2000,0.20,12,1,1,0,100.00,0.15,51,5000,Max. coverage
Random Comb.,None,Uniform,Medium,100,2000,0.20,12,1,1,0,100.00,0.17,51,5000,Max. coverage
Random Comb.,None,Uniform,Medium,100,5000,0.50,12,2,2,0,100.00,0.20,321,5000,Max. coverage
Random Comb.,None,Uniform,Medium,100,5000,0.50,12,1,1,0,100.00,0.63,320,5000,Max. coverage
Random Comb.,None,Uniform,Medium,100,5000,0.50,12,1,1,0,100.00,0.63,319,5000,Max. coverage
Random Comb.,None,Uniform,Medium,100,5000,0.50,12,2,2,0,100.00,0.20,362,5000,Max. coverage
Random Comb.,None,Uniform,Medium,100,5000,0.50,12,1,1,0,100.00,0.67,319,5000,Max. coverage
Random Comb.,None,Uniform,Medium,100,10000,1.00,12,2,2,0,100.00,0.66,1292,5000,Max. coverage
Random Comb.,None,Uniform,Medium,100,10000,1.00,12,2,2,0,100.00,0.66,1292,5000,Max. coverage
Random Comb.,None,Uniform,Medium,100,10000,1.00,12,2,2,0,100.00,0.66,1276,5000,Max. coverage
Random Comb.,None,Uniform,Medium,100,10000,1.00,12,2,2,0,100.00,0.66,1284,5000,Max. coverage
Random Comb.,None,Uniform,Medium,100,10000,1.00,12,3,3,0,100.00,0.25,1447,5000,Max. coverage
Random Comb.,None,Uniform,Medium,100,20000,2.00,12,5,5,0,100.00,0.33,7022,5000,Max. coverage
Random Comb.,None,Uniform,Medium,100,20000,2.00,12,5,5,0,100.00,0.33,7081,5000,Max. coverage
Random Comb.,None,Uniform,Medium,100,20000,2.00,12,5,5,0,100.00,0.34,7076,5000,Max. coverage
Random Comb.,None,Uniform,Medium,100,20000,2.00,12,5,5,0,100.00,0.34,7017,5000,Max. coverage
Random Comb.,None,Uniform,Medium,100,20000,2.00,12,5,5,0,100.00,0.33,7031,5000,Max. coverage
Random Comb.,None,Uniform,Medium,1000,1000,0.00,12,4,4,0,100.00,0.08,39,5000,Max. coverage
Random Comb.,None,Uniform,Medium,1000,1000,0.00,12,4,4,0,100.00,0.09,39,5000,Max. coverage
Random Comb.,None,Uniform,Medium,1000,1000,0.00,12,4,4,0,100.00,0.08,45,5000,Max. coverage
Random Comb.,None,Uniform,Medium,1000,1000,0.00,12,4,4,0,100.00,0.08,34,5000,Max. coverage
Random Comb.,None,Uniform,Medium,1000,1000,0.00,12,4,4,0,100.00,0.09,44,5000,Max. coverage
Random Comb.,None,Uniform,Medium,1000,2000,0.00,12,4,4,0,100.00,0.16,116,5000,Max. coverage
Random Comb.,None,Uniform,Medium,1000,2000,0.00,12,5,5,0,100.00,0.11,136,5000,Max. coverage
