GW Pos. Heuristic,ED Sched. Method,Position distr.,Periods distr.,Map size,ED Number,ED Dens. (1/m^2),Max. SF,GW Number,Channels used,ED Unfeas. Instances,Coverage %,GW Avg. UF,Elapsed,Iterations,Exit condition
Random Comb.,None,Uniform,Soft,1000,10000,0.01,12,5,5,0,100.00,0.40,1857,10000,Max. coverage
Random Comb.,None,Uniform,Hard,1000,10000,0.01,9,105,11,0,100.00,0.04,7885,10000,Max. coverage
Random Comb.,None,Uniform,Soft,1000,25000,0.03,12,8,8,0,100.00,0.44,12710,10000,Max. coverage
Random Comb.,None,Uniform,Hard,1000,25000,0.03,9,109,9,0,100.00,0.09,95629,10000,Max. coverage
Random Comb.,None,Uniform,Soft,1000,50000,0.05,12,12,12,0,100.00,0.55,56421,10000,Max. coverage
Random Comb.,None,Uniform,Hard,1000,50000,0.05,8,141,13,0,100.00,0.13,409764,10000,Max. coverage
Random Comb.,None,Uniform,Soft,1000,100000,0.10,9,35,11,0,100.00,0.17,519293,10000,Max. coverage
Random Comb.,None,Uniform,Hard,1000,100000,0.10,7,246,12,0,91.65,0.12,1000196,10000,Timeout
GA Opt.,None,Uniform,Soft,1000,10000,0.01,12,5,5,0,100.00,0.37,8432,0,Max. iterations
GA Opt.,None,Uniform,Hard,1000,10000,0.01,9,72,10,0,100.00,0.06,17179,0,Max. iterations
GA Opt.,None,Uniform,Soft,1000,25000,0.03,12,8,8,0,100.00,0.47,28913,0,Max. iterations
GA Opt.,None,Uniform,Hard,1000,25000,0.03,9,90,10,0,100.00,0.11,60259,0,Max. iterations
GA Opt.,None,Uniform,Soft,1000,50000,0.05,12,32,10,0,100.00,0.10,80624,0,Max. iterations
GA Opt.,None,Uniform,Hard,1000,50000,0.05,9,106,12,0,100.00,0.18,132764,0,Max. iterations
GA Opt.,None,Uniform,Soft,1000,100000,0.10,12,57,14,0,100.00,0.10,253261,0,Max. iterations
GA Opt.,None,Uniform,Hard,1000,100000,0.10,7,351,14,0,99.82,0.09,576691,0,Max. iterations
