ID,X,Y,Channel,UF,Connected EDs
100000,85.98,172.56,0,0.56,5837
100008,156.48,-58.95,1,0.50,5279
100017,292.15,-5.63,2,0.35,3663
100014,90.40,397.87,3,0.57,5986
100001,351.60,226.58,4,0.55,5738
100006,-182.34,3.89,5,0.56,5893
100011,405.87,-5.33,6,0.42,4381
100007,348.01,407.83,7,0.50,5274
100003,-186.40,354.12,8,0.56,5886
100016,89.60,-215.38,9,0.48,5104
100005,-147.89,-205.78,10,0.56,5854
100012,-390.90,169.41,11,0.55,5846
100004,-371.23,406.75,12,0.56,5805
100009,211.13,-380.47,13,0.56,5928
100002,401.94,-312.09,12,0.56,5934
100015,-85.67,-414.84,14,0.56,5904
100010,-428.84,-137.24,15,0.56,5793
100013,-417.82,-361.20,7,0.57,5895
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3200,100017,110.93,8
1,298.44,411.65,16000,100007,49.72,7
2,-164.78,268.23,8000,100003,88.57,8
3,53.97,-22.60,4000,100008,108.76,8
4,-135.22,13.40,3200,100006,48.08,7
5,416.20,135.71,4000,100001,111.49,8
6,-358.40,106.97,16000,100012,70.40,8
7,-257.11,-362.77,3200,100013,160.71,9
8,-343.32,-99.06,16000,100010,93.66,8
9,-391.19,498.92,16000,100004,94.31,8
10,12.93,339.11,4000,100014,97.23,8
11,-203.97,137.55,4000,100006,135.40,9
12,-6.42,472.78,8000,100014,122.42,8
13,271.36,26.74,3200,100017,38.47,7
14,-99.77,391.53,8000,100003,94.36,8
15,-147.54,307.72,3200,100003,60.52,7
16,-430.24,449.33,4000,100004,72.77,8
17,-413.94,-307.79,4000,100013,53.55,7
18,390.23,-151.11,16000,100011,146.62,9
19,-479.98,-42.30,16000,100010,107.84,8
20,-261.72,470.63,3200,100004,126.78,9
21,350.92,-233.33,4000,100002,93.84,8
22,-124.79,260.25,4000,100003,112.29,8
23,167.72,31.61,16000,100008,91.26,8
24,-62.36,431.84,3200,100003,146.37,9
25,220.95,-215.71,4000,100016,131.35,9
26,139.98,-145.95,4000,100016,85.78,8
27,-334.03,-59.90,3200,100010,122.36,8
28,329.20,-169.66,16000,100002,159.93,9
29,393.37,-149.64,4000,100011,144.85,9
30,456.47,88.64,4000,100011,106.72,8
31,358.68,-60.44,3200,100011,72.56,8
32,-101.56,314.77,4000,100003,93.52,8
33,410.97,-17.51,16000,100011,13.21,7
34,450.25,420.13,16000,100007,102.98,8
35,381.06,141.08,8000,100001,90.44,8
36,119.60,-218.94,3200,100016,30.21,7
37,-192.54,-52.97,16000,100006,57.76,7
38,-312.47,-223.77,4000,100010,145.01,9
39,-83.50,-330.39,3200,100015,84.48,8
40,-396.83,-373.92,8000,100013,24.55,7
41,260.48,484.75,3200,100007,116.53,8
42,184.45,-116.81,4000,100008,64.26,8
43,-131.34,-205.84,16000,100005,16.55,7
44,84.49,-255.59,16000,100016,40.53,7
45,232.15,-374.53,3200,100009,21.84,7
46,-335.90,245.07,16000,100012,93.54,8
47,450.10,-447.47,4000,100002,143.69,9
48,-323.79,-259.94,3200,100013,138.18,9
49,232.65,156.56,3200,100001,138.02,9
50,139.46,259.73,16000,100000,102.27,8
51,-365.10,20.21,16000,100012,151.42,9
52,-430.09,-295.34,8000,100013,66.99,8
53,319.68,73.32,3200,100017,83.61,8
54,-448.06,-342.19,3200,100013,35.72,7
55,-295.67,389.96,16000,100004,77.40,8
56,497.80,-445.94,3200,100002,164.63,9
57,-427.67,-495.84,3200,100013,135.00,9
58,93.89,-319.63,16000,100016,104.33,8
59,-108.31,413.03,3200,100003,97.82,8
60,-140.90,52.49,4000,100006,63.86,8
61,-47.42,187.39,16000,100000,134.22,9
62,30.81,257.29,8000,100000,101.11,8
63,492.23,76.97,3200,100011,119.29,8
64,247.81,128.91,16000,100017,141.66,9
65,247.80,333.24,3200,100007,124.92,8
66,373.27,331.04,3200,100007,80.84,8
67,243.81,403.37,3200,100007,104.30,8
68,166.88,-2.74,16000,100008,57.17,7
69,330.01,388.95,16000,100007,26.09,7
70,149.71,-251.96,4000,100016,70.36,8
71,-270.86,200.62,8000,100012,124.03,8
72,-171.22,-268.57,16000,100005,66.99,8
73,133.07,-276.34,4000,100016,74.87,8
74,10.69,471.47,8000,100014,108.50,8
75,46.11,219.27,16000,100000,61.41,7
76,-28.52,92.54,3200,100000,139.69,9
77,-49.08,-163.65,3200,100005,107.41,8
78,-65.49,-496.77,8000,100015,84.37,8
79,98.48,333.24,16000,100014,65.13,8
80,175.48,-17.05,8000,100008,46.01,7
81,-195.04,212.09,16000,100003,142.30,9
82,121.82,-459.14,8000,100009,119.02,8
83,195.98,173.94,4000,100000,110.01,8
84,-152.88,-315.38,4000,100005,109.72,8
85,127.16,230.73,8000,100000,71.27,8
86,240.44,-297.79,3200,100009,87.72,8
87,184.76,153.13,8000,100000,100.67,8
88,32.44,-412.36,8000,100015,118.14,8
89,377.38,186.12,16000,100001,47.98,7
90,-388.72,-138.40,4000,100010,40.13,7
91,93.21,166.56,8000,100000,9.40,7
92,275.77,-211.62,8000,100002,161.29,9
93,-310.25,484.36,16000,100004,98.70,8
94,327.39,-168.52,16000,100002,161.78,9
95,-63.50,458.64,3200,100003,161.33,9
96,264.87,199.08,16000,100001,90.98,8
97,185.79,-116.17,3200,100008,64.28,8
98,443.05,416.27,3200,100007,95.41,8
99,-296.45,293.66,4000,100003,125.57,9
100,-202.71,404.93,3200,100003,53.36,7
101,373.98,-1.86,4000,100011,32.08,7
102,-337.24,-226.09,3200,100010,127.61,9
103,-7.60,-36.34,3200,100008,165.63,9
104,-4.02,-208.95,16000,100016,93.84,8
105,184.18,227.55,16000,100000,112.55,8
106,103.11,-7.58,3200,100008,74.08,8
107,224.25,-321.79,16000,100009,60.12,7
108,-1.47,-378.74,16000,100015,91.61,8
109,-139.56,-175.19,3200,100005,31.70,7
110,408.48,122.10,3200,100001,118.97,8
111,318.13,-3.93,8000,100017,26.03,7
112,-105.67,158.83,4000,100006,172.87,9
113,-241.09,-348.77,16000,100015,168.88,9
114,-392.15,147.21,8000,100012,22.24,7
115,-211.73,-168.61,16000,100005,73.87,8
116,-72.67,434.49,4000,100003,139.26,9
117,-234.54,158.75,3200,100012,156.73,9
118,-12.57,-342.73,3200,100015,102.69,8
119,125.67,17.71,16000,100008,82.63,8
120,57.56,-73.80,3200,100008,100.03,8
121,-105.61,-255.67,8000,100005,65.40,8
122,229.36,138.65,3200,100000,147.34,9
123,-161.76,397.56,16000,100003,49.94,7
124,-89.21,-494.59,3200,100015,79.83,8
125,274.39,-206.32,16000,100002,165.71,9
126,365.53,221.01,16000,100001,15.01,7
127,-50.89,486.47,4000,100014,166.78,9
128,-289.12,-26.11,3200,100006,110.91,8
129,-406.08,-400.44,8000,100013,40.96,7
130,-198.24,157.12,3200,100006,154.05,9
131,-368.30,-448.49,16000,100013,100.36,8
132,-42.28,280.87,4000,100003,161.67,9
133,-57.44,-380.89,4000,100015,44.16,7
134,78.63,29.90,4000,100008,118.13,8
135,-138.08,-195.71,3200,100005,14.05,7
136,-23.42,-330.18,4000,100015,105.09,8
137,25.75,118.93,4000,100000,80.65,8
138,-266.34,329.81,16000,100003,83.56,8
