ID,X,Y,Channel,UF,Connected EDs
100019,72.19,258.51,0,0.52,5422
100014,140.17,292.53,1,0.48,5146
100008,-34.14,-10.70,2,0.55,5735
100005,-123.45,154.73,3,0.56,5837
100009,376.76,85.11,4,0.56,5831
100012,309.90,368.28,5,0.38,3977
100002,38.75,-131.46,6,0.56,5818
100001,333.82,-86.35,7,0.57,5947
100006,491.89,254.36,8,0.27,2822
100011,329.94,489.79,9,0.24,2502
100021,-278.17,387.25,10,0.56,5863
100013,-56.81,-288.39,11,0.47,4869
100015,-362.80,252.14,12,0.44,4591
100010,-384.02,187.69,13,0.39,4097
100020,224.77,-367.76,14,0.48,5021
100007,162.40,-393.72,15,0.29,3087
100017,-443.78,-67.95,16,0.55,5744
100003,-299.01,-309.83,9,0.40,4196
100000,-36.67,-469.07,17,0.28,2971
100004,-320.05,-374.27,8,0.32,3374
100016,433.56,-468.72,10,0.37,3933
100018,-444.50,-324.79,5,0.31,3217
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3200,100001,20.29,7
1,298.44,411.65,16000,100012,44.85,7
2,-164.78,268.23,8000,100005,120.80,8
3,53.97,-22.60,4000,100008,88.91,8
4,-135.22,13.40,3200,100008,103.91,8
5,416.20,135.71,4000,100009,64.15,8
6,-358.40,106.97,16000,100010,84.69,8
7,-257.11,-362.77,3200,100004,63.98,8
8,-343.32,-99.06,16000,100017,105.16,8
9,-391.19,498.92,16000,100021,158.88,9
10,12.93,339.11,4000,100019,100.04,8
11,-203.97,137.55,4000,100005,82.33,8
12,-6.42,472.78,8000,100019,228.23,9
13,271.36,26.74,3200,100009,120.48,8
14,-99.77,391.53,8000,100021,178.45,9
15,-147.54,307.72,3200,100021,152.93,9
16,-430.24,449.33,4000,100021,164.25,9
17,-413.94,-307.79,4000,100018,34.97,7
18,390.23,-151.11,16000,100001,85.89,8
19,-479.98,-42.30,16000,100017,44.37,7
20,-261.72,470.63,3200,100021,84.99,8
21,350.92,-233.33,4000,100001,147.98,9
22,-124.79,260.25,4000,100005,105.53,8
23,167.72,31.61,16000,100001,203.72,9
24,-62.36,431.84,3200,100019,219.42,9
25,220.95,-215.71,4000,100020,152.10,9
26,139.98,-145.95,4000,100002,102.26,8
27,-334.03,-59.90,3200,100017,110.05,8
28,329.20,-169.66,16000,100001,83.44,8
29,393.37,-149.64,4000,100001,86.91,8
30,456.47,88.64,4000,100009,79.78,8
31,358.68,-60.44,3200,100001,35.91,7
32,-101.56,314.77,4000,100005,161.53,9
33,410.97,-17.51,16000,100001,103.40,8
34,450.25,420.13,16000,100011,139.02,9
35,381.06,141.08,8000,100009,56.14,7
36,119.60,-218.94,3200,100002,119.12,8
37,-192.54,-52.97,16000,100008,163.95,9
38,-312.47,-223.77,4000,100003,87.11,8
39,-83.50,-330.39,3200,100013,49.76,7
40,-396.83,-373.92,8000,100018,68.47,8
41,260.48,484.75,3200,100011,69.65,8
42,184.45,-116.81,4000,100002,146.43,9
43,-131.34,-205.84,16000,100013,111.22,8
44,84.49,-255.59,16000,100002,132.28,9
45,232.15,-374.53,3200,100020,10.01,7
46,-335.90,245.07,16000,100015,27.81,7
47,450.10,-447.47,4000,100016,26.93,7
48,-323.79,-259.94,3200,100003,55.71,7
49,232.65,156.56,3200,100009,160.85,9
50,139.46,259.73,16000,100014,32.80,7
51,-365.10,20.21,16000,100017,118.16,8
52,-430.09,-295.34,8000,100018,32.78,7
53,319.68,73.32,3200,100009,58.29,7
54,-448.06,-342.19,3200,100018,17.77,7
55,-295.67,389.96,16000,100021,17.71,7
56,497.80,-445.94,3200,100016,68.16,8
57,-427.67,-495.84,3200,100004,162.36,9
58,93.89,-319.63,16000,100007,100.91,8
59,-108.31,413.03,3200,100021,171.81,9
60,-140.90,52.49,4000,100005,103.72,8
61,-47.42,187.39,16000,100005,82.74,8
62,30.81,257.29,8000,100019,41.40,7
63,492.23,76.97,3200,100009,115.75,8
64,247.81,128.91,16000,100009,136.19,9
65,247.80,333.24,3200,100012,71.30,8
66,373.27,331.04,3200,100012,73.51,8
67,243.81,403.37,3200,100012,74.82,8
68,166.88,-2.74,16000,100002,181.62,9
69,330.01,388.95,16000,100012,28.84,7
70,149.71,-251.96,4000,100020,138.00,9
71,-270.86,200.62,8000,100015,105.39,8
72,-171.22,-268.57,16000,100013,116.12,8
73,133.07,-276.34,4000,100007,120.99,8
74,10.69,471.47,8000,100014,220.87,9
75,46.11,219.27,16000,100019,47.11,7
76,-28.52,92.54,3200,100008,103.39,8
77,-49.08,-163.65,3200,100002,93.54,8
78,-65.49,-496.77,8000,100000,39.97,7
79,98.48,333.24,16000,100014,58.27,7
80,175.48,-17.05,8000,100001,172.84,9
81,-195.04,212.09,16000,100005,91.74,8
82,121.82,-459.14,8000,100007,76.97,8
83,195.98,173.94,4000,100014,131.07,9
