ID,X,Y,Channel,UF,Connected EDs
100003,82.19,164.87,0,0.63,4132
100022,211.22,296.67,1,0.58,3851
100009,164.85,-21.97,2,0.63,4200
100020,-115.66,185.04,3,0.63,4166
100011,127.79,405.37,4,0.64,4275
100008,361.29,193.36,5,0.62,4103
100023,-122.77,18.17,6,0.57,3772
100021,364.65,26.55,7,0.62,4120
100005,-24.85,-99.82,8,0.63,4166
100017,-108.42,409.59,9,0.64,4275
100007,400.54,399.09,10,0.62,4179
100013,173.22,-226.66,11,0.63,4205
100001,396.18,-131.83,12,0.62,4100
100002,-285.76,281.17,13,0.63,4085
100016,-289.95,-19.29,14,0.63,4187
100004,-178.50,-249.86,15,0.63,4170
100019,-426.00,126.05,16,0.63,4135
100024,-65.57,-366.25,17,0.40,2660
100010,42.61,-397.83,18,0.51,3377
100015,244.35,-408.50,19,0.59,3922
100014,411.48,-371.75,20,0.64,4271
100000,-420.23,463.17,12,0.60,4025
100018,-403.88,-181.40,21,0.63,4199
100012,-185.45,-410.00,22,0.49,3263
100006,-403.31,-400.73,10,0.63,4162
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3600,100001,61.83,7
1,298.44,411.65,3600,100007,102.87,8
2,-164.78,268.23,3600,100020,96.61,8
3,53.97,-22.60,3600,100005,110.34,8
4,-135.22,13.40,3600,100023,13.33,7
5,416.20,135.71,3600,100008,79.61,8
6,-358.40,106.97,3600,100019,70.24,8
7,-257.11,-362.77,3600,100012,85.83,8
8,-343.32,-99.06,3600,100016,95.97,8
9,-391.19,498.92,3600,100000,46.06,7
10,12.93,339.11,3600,100011,132.59,9
11,-203.97,137.55,3600,100020,100.26,8
12,-6.42,472.78,3600,100017,119.98,8
13,271.36,26.74,3600,100021,93.29,8
14,-99.77,391.53,3600,100017,20.02,7
15,-147.54,307.72,3600,100017,109.12,8
16,-430.24,449.33,3600,100000,17.08,7
17,-413.94,-307.79,3600,100006,93.55,8
18,390.23,-151.11,3600,100001,20.18,7
19,-479.98,-42.30,3600,100018,158.56,9
20,-261.72,470.63,3600,100000,158.69,9
21,350.92,-233.33,3600,100001,111.14,8
22,-124.79,260.25,3600,100020,75.77,8
23,167.72,31.61,3600,100009,53.66,7
24,-62.36,431.84,3600,100017,51.14,7
25,220.95,-215.71,3600,100013,48.97,7
26,139.98,-145.95,3600,100013,87.29,8
27,-334.03,-59.90,3600,100016,59.93,7
28,329.20,-169.66,3600,100001,76.93,8
29,393.37,-149.64,3600,100001,18.03,7
30,456.47,88.64,3600,100021,110.84,8
31,358.68,-60.44,3600,100001,80.64,8
32,-101.56,314.77,3600,100017,95.07,8
33,410.97,-17.51,3600,100021,63.93,8
34,450.25,420.13,3600,100007,53.98,7
35,381.06,141.08,3600,100008,55.90,7
36,119.60,-218.94,3600,100013,54.18,7
37,-192.54,-52.97,3600,100023,99.64,8
38,-312.47,-223.77,3600,100018,100.75,8
39,-83.50,-330.39,3600,100024,40.09,7
40,-396.83,-373.92,3600,100006,27.58,7
41,260.48,484.75,3600,100011,154.62,9
42,184.45,-116.81,3600,100009,96.84,8
43,-131.34,-205.84,3600,100004,64.52,8
44,84.49,-255.59,3600,100013,93.33,8
45,232.15,-374.53,3600,100015,36.10,7
46,-335.90,245.07,3600,100002,61.78,7
47,450.10,-447.47,3600,100014,85.00,8
48,-323.79,-259.94,3600,100018,112.17,8
49,232.65,156.56,3600,100008,133.80,9
50,139.46,259.73,3600,100022,80.71,8
51,-365.10,20.21,3600,100016,84.90,8
52,-430.09,-295.34,3600,100006,108.74,8
53,319.68,73.32,3600,100021,64.88,8
54,-448.06,-342.19,900,100006,73.69,8
55,-295.67,389.96,3600,100002,109.23,8
56,497.80,-445.94,3600,100014,113.82,8
57,-427.67,-495.84,3600,100006,98.17,8
58,93.89,-319.63,3600,100010,93.51,8
59,-108.31,413.03,3600,100017,3.44,7
60,-140.90,52.49,3600,100023,38.81,7
61,-47.42,187.39,3600,100020,68.28,8
62,30.81,257.29,3600,100003,105.75,8
63,492.23,76.97,3600,100021,137.18,9
64,247.81,128.91,3600,100008,130.51,9
65,247.80,333.24,3600,100022,51.73,7
66,373.27,331.04,1800,100007,73.31,8
67,243.81,403.37,900,100022,111.56,8
68,166.88,-2.74,3600,100009,19.34,7
69,330.01,388.95,3600,100007,71.25,8
70,149.71,-251.96,3600,100013,34.53,7
71,-270.86,200.62,3600,100002,81.92,8
72,-171.22,-268.57,3600,100004,20.07,7
73,133.07,-276.34,3600,100013,63.87,8
74,10.69,471.47,3600,100017,134.22,9
75,46.11,219.27,3600,100003,65.28,8
76,-28.52,92.54,3600,100023,120.06,8
77,-49.08,-163.65,3600,100005,68.27,8
78,-65.49,-496.77,3600,100024,130.52,9
79,98.48,333.24,3600,100011,77.85,8
80,175.48,-17.05,3600,100009,11.72,7
81,-195.04,212.09,3600,100020,83.86,8
82,121.82,-459.14,3600,100010,100.17,8
83,195.98,173.94,3600,100003,114.15,8
84,-152.88,-315.38,3600,100004,70.34,8
85,127.16,230.73,3600,100003,79.75,8
86,240.44,-297.79,3600,100013,97.86,8
87,184.76,153.13,3600,100003,103.24,8
88,32.44,-412.36,3600,100010,17.73,7
89,377.38,186.12,3600,100008,17.64,7
90,-388.72,-138.40,3600,100018,45.59,7
91,93.21,166.56,3600,100003,11.15,7
92,275.77,-211.62,3600,100013,103.64,8
93,-310.25,484.36,3600,100000,112.00,8
94,327.39,-168.52,3600,100001,77.97,8
95,-63.50,458.64,3600,100017,66.50,8
96,264.87,199.08,3600,100008,96.59,8
97,185.79,-116.17,3600,100009,96.49,8
98,443.05,416.27,3600,100007,45.85,7
99,-296.45,293.66,3600,100002,16.44,7
100,-202.71,404.93,3600,100017,94.41,8
101,373.98,-1.86,3600,100021,29.90,7
102,-337.24,-226.09,3600,100018,80.23,8
103,-7.60,-36.34,3600,100005,65.78,8
104,-4.02,-208.95,3600,100005,111.10,8
105,184.18,227.55,3600,100022,74.22,8
106,103.11,-7.58,3600,100009,63.39,8
107,224.25,-321.79,3600,100015,89.01,8
108,-1.47,-378.74,3600,100010,48.04,7
109,-139.56,-175.19,3600,100004,84.22,8
110,408.48,122.10,3600,100008,85.48,8
111,318.13,-3.93,3600,100021,55.62,7
112,-105.67,158.83,3600,100020,28.04,7
113,-241.09,-348.77,3600,100012,82.74,8
114,-392.15,147.21,3600,100019,39.92,7
115,-211.73,-168.61,3600,100004,87.78,8
116,-72.67,434.49,3600,100017,43.56,7
117,-234.54,158.75,3600,100020,121.75,8
