ID,X,Y,Channel,UF,Connected EDs
100018,77.88,69.88,0,0.44,2918
100013,56.28,46.08,1,0.36,2389
100003,166.80,44.31,2,0.47,3099
100006,172.26,301.83,3,0.63,4179
100027,-53.10,-14.93,4,0.63,4152
100002,153.12,-94.84,5,0.63,4188
100022,371.85,71.34,6,0.62,4119
100017,334.10,364.97,7,0.47,3115
100009,280.74,-101.86,8,0.42,2797
100012,291.28,-95.73,9,0.28,1878
100030,-166.22,301.02,10,0.57,3742
100016,-192.42,312.71,11,0.23,1504
100004,265.37,474.52,12,0.48,3186
100024,451.23,348.71,13,0.51,3371
100026,-180.93,426.02,14,0.63,4187
100014,-263.27,6.36,15,0.62,4176
100023,-297.90,242.34,16,0.38,2501
100001,468.20,-93.02,17,0.38,2526
100025,-328.12,257.29,18,0.18,1207
100005,-334.85,318.02,19,0.50,3325
100010,-15.76,-305.76,20,0.63,4166
100015,115.70,-347.99,21,0.63,4148
100029,-240.78,-253.03,22,0.59,3885
100019,-221.99,-302.64,23,0.59,3873
100021,476.86,-290.60,19,0.43,2848
100000,-479.72,267.02,17,0.41,2721
100007,495.26,-319.16,14,0.09,606
100008,-484.31,-40.01,13,0.52,3394
100028,-400.40,-237.79,24,0.63,4231
100011,423.19,-456.62,16,0.57,3791
100020,-414.79,-457.82,7,0.58,3778
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3600,100012,49.90,7
1,298.44,411.65,3600,100017,58.74,7
2,-164.78,268.23,3600,100030,32.82,7
3,53.97,-22.60,3600,100013,68.72,8
4,-135.22,13.40,3600,100027,86.87,8
5,416.20,135.71,3600,100022,78.17,8
6,-358.40,106.97,3600,100014,138.46,9
7,-257.11,-362.77,3600,100019,69.64,8
8,-343.32,-99.06,3600,100014,132.37,9
9,-391.19,498.92,3600,100005,189.48,9
10,12.93,339.11,3600,100006,163.63,9
11,-203.97,137.55,3600,100023,140.73,9
12,-6.42,472.78,3600,100026,180.67,9
13,271.36,26.74,3600,100003,106.02,8
14,-99.77,391.53,3600,100026,88.18,8
15,-147.54,307.72,3600,100030,19.84,7
16,-430.24,449.33,3600,100005,162.30,9
17,-413.94,-307.79,3600,100028,71.30,8
18,390.23,-151.11,3600,100001,97.22,8
19,-479.98,-42.30,3600,100008,4.90,7
20,-261.72,470.63,3600,100026,92.29,8
21,350.92,-233.33,3600,100021,138.34,9
22,-124.79,260.25,3600,100030,58.13,7
23,167.72,31.61,3600,100003,12.74,7
24,-62.36,431.84,3600,100026,118.71,8
25,220.95,-215.71,3600,100009,128.59,9
26,139.98,-145.95,3600,100002,52.77,7
27,-334.03,-59.90,3600,100014,96.94,8
