ID,X,Y,Channel,UF,Connected EDs
10002,-234.01,-317.99,0,0.22,2318
10000,297.51,-306.97,1,0.23,2376
10003,-269.23,177.92,2,0.18,1903
10004,-175.50,366.01,3,0.14,1509
10001,403.50,276.46,4,0.18,1894
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3200,10000,205.82,9
1,298.44,411.65,16000,10001,171.21,9
2,-164.78,268.23,8000,10004,98.36,8
3,53.97,-22.60,4000,10000,374.40,10
4,-135.22,13.40,3200,10003,212.20,9
5,416.20,135.71,4000,10001,141.32,9
6,-358.40,106.97,16000,10003,113.95,8
7,-257.11,-362.77,3200,10002,50.39,7
8,-343.32,-99.06,16000,10002,244.71,9
9,-391.19,498.92,16000,10004,253.36,10
10,12.93,339.11,4000,10004,190.34,9
11,-203.97,137.55,4000,10003,76.74,8
12,-6.42,472.78,8000,10004,199.97,9
13,271.36,26.74,3200,10001,282.52,10
14,-99.77,391.53,8000,10004,79.91,8
15,-147.54,307.72,3200,10004,64.64,8
16,-430.24,449.33,4000,10004,268.02,10
17,-413.94,-307.79,4000,10002,180.23,9
18,390.23,-151.11,16000,10000,181.36,9
19,-479.98,-42.30,16000,10003,304.81,10
20,-261.72,470.63,3200,10004,135.58,9
21,350.92,-233.33,4000,10000,90.96,8
22,-124.79,260.25,4000,10004,117.28,8
23,167.72,31.61,16000,10001,339.92,10
24,-62.36,431.84,3200,10004,130.90,9
25,220.95,-215.71,4000,10000,119.12,8
26,139.98,-145.95,4000,10000,225.26,9
27,-334.03,-59.90,3200,10003,246.49,9
28,329.20,-169.66,16000,10000,140.92,9
29,393.37,-149.64,4000,10000,184.23,9
30,456.47,88.64,4000,10001,195.15,9
31,358.68,-60.44,3200,10000,254.00,10
32,-101.56,314.77,4000,10004,89.96,8
33,410.97,-17.51,16000,10001,294.06,10
34,450.25,420.13,16000,10001,151.09,9
35,381.06,141.08,8000,10001,137.23,9
36,119.60,-218.94,3200,10000,198.50,9
37,-192.54,-52.97,16000,10003,243.29,9
38,-312.47,-223.77,4000,10002,122.61,8
39,-83.50,-330.39,3200,10002,151.02,9
40,-396.83,-373.92,8000,10002,172.16,9
41,260.48,484.75,3200,10001,252.67,10
42,184.45,-116.81,4000,10000,221.23,9
43,-131.34,-205.84,16000,10002,152.05,9
44,84.49,-255.59,16000,10000,219.13,9
45,232.15,-374.53,3200,10000,94.00,8
46,-335.90,245.07,16000,10003,94.62,8
47,450.10,-447.47,4000,10000,207.42,9
48,-323.79,-259.94,3200,10002,106.92,8
49,232.65,156.56,3200,10001,208.72,9
50,139.46,259.73,16000,10001,264.57,10
51,-365.10,20.21,16000,10003,184.56,9
52,-430.09,-295.34,8000,10002,197.39,9
53,319.68,73.32,3200,10001,219.75,9
54,-448.06,-342.19,3200,10002,215.42,9
55,-295.67,389.96,16000,10004,122.53,8
56,497.80,-445.94,3200,10000,243.78,9
57,-427.67,-495.84,3200,10002,262.94,10
58,93.89,-319.63,16000,10000,204.01,9
59,-108.31,413.03,3200,10004,82.01,8
60,-140.90,52.49,4000,10003,179.45,9
61,-47.42,187.39,16000,10004,219.79,9
62,30.81,257.29,8000,10004,233.20,9
63,492.23,76.97,3200,10001,218.33,9
64,247.81,128.91,16000,10001,214.50,9
65,247.80,333.24,3200,10001,165.72,9
66,373.27,331.04,3200,10001,62.39,7
67,243.81,403.37,3200,10001,203.97,9
68,166.88,-2.74,16000,10000,331.09,10
69,330.01,388.95,16000,10001,134.37,9
70,149.71,-251.96,4000,10000,157.71,9
71,-270.86,200.62,8000,10003,22.76,7
72,-171.22,-268.57,16000,10002,79.90,8
73,133.07,-276.34,4000,10000,167.27,9
74,10.69,471.47,8000,10004,213.98,9
75,46.11,219.27,16000,10004,265.78,10
76,-28.52,92.54,3200,10003,255.41,10
77,-49.08,-163.65,3200,10002,240.87,9
78,-65.49,-496.77,8000,10002,245.68,9
79,98.48,333.24,16000,10004,275.93,10
80,175.48,-17.05,8000,10000,314.56,10
81,-195.04,212.09,16000,10003,81.67,8
82,121.82,-459.14,8000,10000,232.43,9
83,195.98,173.94,4000,10001,231.46,9
84,-152.88,-315.38,4000,10002,81.17,8
85,127.16,230.73,8000,10001,280.10,10
86,240.44,-297.79,3200,10000,57.81,7
87,184.76,153.13,8000,10001,251.11,10
88,32.44,-412.36,8000,10002,282.67,10
89,377.38,186.12,16000,10001,94.03,8
90,-388.72,-138.40,4000,10002,237.05,9
91,93.21,166.56,8000,10001,329.17,10
92,275.77,-211.62,8000,10000,97.80,8
93,-310.25,484.36,16000,10004,179.35,9
94,327.39,-168.52,16000,10000,141.64,9
95,-63.50,458.64,3200,10004,145.34,9
96,264.87,199.08,16000,10001,158.76,9
97,185.79,-116.17,3200,10000,221.11,9
98,443.05,416.27,3200,10001,145.30,9
99,-296.45,293.66,4000,10003,118.89,8
100,-202.71,404.93,3200,10004,47.49,7
101,373.98,-1.86,4000,10001,279.88,10
102,-337.24,-226.09,3200,10002,138.22,9
103,-7.60,-36.34,3200,10003,338.17,10
104,-4.02,-208.95,16000,10002,254.53,10
105,184.18,227.55,16000,10001,224.71,9
106,103.11,-7.58,3200,10000,356.97,10
107,224.25,-321.79,16000,10000,74.75,8
108,-1.47,-378.74,16000,10002,240.34,9
109,-139.56,-175.19,3200,10002,171.21,9
110,408.48,122.10,3200,10001,154.44,9
111,318.13,-3.93,8000,10001,293.09,10
112,-105.67,158.83,4000,10003,164.67,9
113,-241.09,-348.77,16000,10002,31.58,7
114,-392.15,147.21,8000,10003,126.70,9
115,-211.73,-168.61,16000,10002,151.03,9
116,-72.67,434.49,4000,10004,123.55,8
117,-234.54,158.75,3200,10003,39.64,7
118,-12.57,-342.73,3200,10002,222.81,9
119,125.67,17.71,16000,10000,367.36,10
120,57.56,-73.80,3200,10000,334.58,10
121,-105.61,-255.67,8000,10002,142.72,9
122,229.36,138.65,3200,10001,222.07,9
123,-161.76,397.56,16000,10004,34.42,7
124,-89.21,-494.59,3200,10002,228.37,9
125,274.39,-206.32,16000,10000,103.27,8
126,365.53,221.01,16000,10001,67.20,8
127,-50.89,486.47,4000,10004,173.31,9
128,-289.12,-26.11,3200,10003,205.00,9
129,-406.08,-400.44,8000,10002,190.81,9
130,-198.24,157.12,3200,10003,73.98,8
131,-368.30,-448.49,16000,10002,187.25,9
132,-42.28,280.87,4000,10004,158.10,9
133,-57.44,-380.89,4000,10002,187.44,9
134,78.63,29.90,4000,10003,378.05,10
135,-138.08,-195.71,3200,10002,155.41,9
136,-23.42,-330.18,4000,10002,210.94,9
137,25.75,118.93,4000,10003,300.82,10
138,-266.34,329.81,16000,10004,97.79,8
139,-401.16,423.73,16000,10004,232.93,9
140,-18.27,-274.51,3200,10002,220.08,9
141,-209.17,-142.81,3200,10002,176.94,9
142,-155.75,314.91,4000,10004,54.78,7
143,-463.67,-242.53,3200,10002,241.74,9
144,125.96,336.10,8000,10001,283.87,10
145,-278.99,-301.98,4000,10002,47.75,7
146,-390.27,174.61,3200,10003,121.08,8
147,219.46,-299.65,8000,10000,78.39,8
148,-184.34,-65.99,16000,10002,256.85,10
149,-114.25,32.85,16000,10003,212.29,9
150,55.40,-485.42,8000,10000,300.77,10
151,-117.83,-194.59,4000,10002,169.48,9
152,-239.56,149.66,4000,10003,40.98,7
153,419.59,185.99,3200,10001,91.89,8
154,197.85,-188.05,4000,10000,155.16,9
155,-494.00,32.96,3200,10003,267.46,10
156,118.45,142.69,4000,10001,314.88,10
157,-99.29,-137.85,4000,10002,224.95,9
158,301.90,177.81,16000,10001,141.61,9
159,-467.11,-436.44,4000,10002,261.47,10
160,-312.38,118.96,4000,10003,73.07,8
161,67.83,-498.87,16000,10000,299.30,10
162,-194.76,-238.43,4000,10002,88.72,8
163,357.56,-318.84,8000,10000,61.20,7
164,167.34,379.01,4000,10001,257.46,10
165,-186.77,385.01,16000,10004,22.10,7
166,-342.86,3.46,3200,10003,189.36,9
167,175.65,404.17,16000,10001,261.19,10
168,-105.48,206.07,3200,10003,166.15,9
169,47.40,238.96,3200,10004,256.56,10
170,-266.88,426.58,4000,10004,109.63,8
171,433.42,-5.59,4000,10001,283.64,10
172,439.13,299.65,3200,10001,42.51,7
173,94.50,157.20,3200,10001,331.22,10
174,435.85,-175.46,3200,10000,190.87,9
175,89.16,137.77,3200,10001,343.58,10
176,275.42,294.91,8000,10001,129.40,9
177,104.38,-29.44,16000,10000,338.12,10
178,295.49,365.09,3200,10001,139.71,9
179,164.41,-87.52,4000,10000,256.66,10
180,96.90,145.60,4000,10001,333.36,10
181,-351.66,79.02,16000,10003,128.75,9
182,200.91,18.15,3200,10001,328.28,10
183,15.05,-387.35,8000,10002,258.53,10
184,10.35,-451.50,3200,10002,278.45,10
185,-115.34,137.66,8000,10003,159.07,9
186,-356.02,-86.92,16000,10002,261.30,10
187,-93.23,-482.54,4000,10002,216.55,9
188,73.72,312.95,4000,10004,254.81,10
189,-53.26,-22.64,3200,10003,294.73,10
190,-441.28,-425.74,4000,10002,233.60,9
191,97.28,-277.40,16000,10000,202.41,9
192,130.24,423.51,4000,10001,310.31,10
193,-37.15,-61.44,3200,10002,323.38,10
194,452.66,448.91,3200,10001,179.32,9
195,267.01,-166.43,4000,10000,143.81,9
196,-280.86,-22.45,3200,10003,200.71,9
197,-33.83,384.32,3200,10004,142.85,9
198,-316.23,-41.96,3200,10003,224.85,9
199,266.45,404.78,8000,10001,187.75,9
200,261.61,463.50,8000,10001,234.77,9
201,-97.62,60.78,4000,10003,207.78,9
202,122.17,-308.97,8000,10000,175.36,9
203,-139.89,153.88,3200,10003,131.55,9
204,-289.31,106.54,3200,10003,74.15,8
205,-390.22,-126.44,16000,10002,247.17,9
206,146.52,92.69,4000,10001,315.92,10
207,96.34,-441.14,4000,10000,241.81,9
208,63.62,-257.37,16000,10000,239.10,9
209,-156.16,-490.93,3200,10002,189.65,9
210,101.43,270.69,3200,10004,292.87,10
211,433.27,-326.94,8000,10000,137.22,9
212,-12.28,295.23,4000,10004,177.90,9
213,465.68,-344.66,8000,10000,172.34,9
214,382.20,-133.97,3200,10000,192.62,9
215,247.64,-24.19,8000,10000,287.14,10
216,446.64,-377.67,3200,10000,165.04,9
217,123.19,218.67,3200,10001,286.20,10
218,-315.93,-217.72,16000,10002,129.49,9
219,-297.02,126.13,16000,10003,58.78,7
220,-373.33,-272.45,3200,10002,146.58,9
221,-486.13,-339.18,16000,10002,253.01,10
222,-38.15,148.55,3200,10003,232.94,9
223,-399.14,114.23,16000,10003,144.69,9
224,-106.25,-3.57,8000,10003,243.93,9
225,-206.82,-255.93,3200,10002,67.75,8
226,66.16,-309.29,16000,10000,231.36,9
227,-68.16,313.90,3200,10004,119.32,8
228,-143.62,497.97,16000,10004,135.76,9
229,23.55,-299.05,4000,10002,258.25,10
230,199.79,-172.38,3200,10000,166.32,9
231,146.71,-158.52,16000,10000,211.61,9
232,266.70,303.33,4000,10001,139.41,9
233,181.92,404.19,8000,10001,255.75,10
234,252.48,-202.07,3200,10000,114.16,8
235,-310.94,91.11,16000,10003,96.31,8
236,-398.55,-342.72,16000,10002,166.39,9
237,-363.83,89.12,16000,10003,129.75,9
238,389.55,445.50,16000,10001,169.62,9
239,425.22,-30.95,8000,10000,304.13,10
