ID,X,Y,Channel,UF,Connected EDs
10004,-27.60,-309.29,0,0.21,1407
10000,-357.97,-176.85,1,0.27,1745
10005,22.98,-3.73,2,0.27,1766
10001,351.47,-224.94,3,0.26,1749
10002,-277.64,403.78,4,0.26,1707
10003,315.74,380.12,5,0.24,1626
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3600,10001,119.86,8
1,298.44,411.65,3600,10003,35.96,7
2,-164.78,268.23,3600,10002,176.38,9
3,53.97,-22.60,3600,10005,36.28,7
4,-135.22,13.40,3600,10005,159.12,9
5,416.20,135.71,3600,10003,264.25,10
6,-358.40,106.97,3600,10000,283.82,10
7,-257.11,-362.77,3600,10000,211.51,9
8,-343.32,-99.06,3600,10000,79.16,8
9,-391.19,498.92,3600,10002,148.14,9
10,12.93,339.11,3600,10002,297.68,10
11,-203.97,137.55,3600,10005,267.33,10
12,-6.42,472.78,3600,10002,279.87,10
13,271.36,26.74,3600,10005,250.24,10
14,-99.77,391.53,3600,10002,178.29,9
15,-147.54,307.72,3600,10002,161.72,9
16,-430.24,449.33,3600,10002,159.25,9
17,-413.94,-307.79,3600,10000,142.40,9
18,390.23,-151.11,3600,10001,83.39,8
19,-479.98,-42.30,3600,10000,181.63,9
20,-261.72,470.63,3600,10002,68.73,8
21,350.92,-233.33,3600,10001,8.41,7
22,-124.79,260.25,3600,10002,209.67,9
23,167.72,31.61,3600,10005,148.99,9
24,-62.36,431.84,3600,10002,217.10,9
25,220.95,-215.71,3600,10001,130.85,9
26,139.98,-145.95,3600,10005,184.16,9
27,-334.03,-59.90,3600,10000,119.38,8
28,329.20,-169.66,3600,10001,59.60,7
29,393.37,-149.64,3600,10001,86.17,8
30,456.47,88.64,3600,10003,323.68,10
31,358.68,-60.44,3600,10001,164.66,9
32,-101.56,314.77,3600,10002,197.30,9
33,410.97,-17.51,3600,10001,215.80,9
34,450.25,420.13,3600,10003,140.34,9
35,381.06,141.08,3600,10003,247.81,9
36,119.60,-218.94,3600,10004,172.71,9
37,-192.54,-52.97,3600,10000,206.67,9
38,-312.47,-223.77,3600,10000,65.36,8
39,-83.50,-330.39,3600,10004,59.75,7
40,-396.83,-373.92,3600,10000,200.87,9
41,260.48,484.75,3600,10003,118.33,8
42,184.45,-116.81,3600,10005,197.13,9
43,-131.34,-205.84,3600,10004,146.50,9
44,84.49,-255.59,3600,10004,124.29,8
45,232.15,-374.53,3600,10001,191.35,9
46,-335.90,245.07,3600,10002,169.06,9
47,450.10,-447.47,3600,10001,243.41,9
48,-323.79,-259.94,3600,10000,89.84,8
49,232.65,156.56,3600,10003,238.50,9
50,139.46,259.73,3600,10003,213.46,9
51,-365.10,20.21,3600,10000,197.19,9
52,-430.09,-295.34,3600,10000,138.72,9
53,319.68,73.32,3600,10001,299.95,10
54,-448.06,-342.19,900,10000,188.30,9
55,-295.67,389.96,3600,10002,22.71,7
56,497.80,-445.94,3600,10001,265.05,10
57,-427.67,-495.84,3600,10000,326.52,10
58,93.89,-319.63,3600,10004,121.93,8
59,-108.31,413.03,3600,10002,169.59,9
60,-140.90,52.49,3600,10005,173.26,9
61,-47.42,187.39,3600,10005,203.67,9
62,30.81,257.29,3600,10005,261.14,10
63,492.23,76.97,3600,10001,333.11,10
64,247.81,128.91,3600,10003,260.23,10
65,247.80,333.24,3600,10003,82.54,8
66,373.27,331.04,1800,10003,75.63,8
67,243.81,403.37,900,10003,75.59,8
68,166.88,-2.74,3600,10005,143.90,9
69,330.01,388.95,3600,10003,16.78,7
70,149.71,-251.96,3600,10004,186.35,9
71,-270.86,200.62,3600,10002,203.27,9
72,-171.22,-268.57,3600,10004,149.28,9
73,133.07,-276.34,3600,10004,164.02,9
74,10.69,471.47,3600,10002,296.17,10
75,46.11,219.27,3600,10005,224.19,9
76,-28.52,92.54,3600,10005,109.17,8
77,-49.08,-163.65,3600,10004,147.21,9
78,-65.49,-496.77,3600,10004,191.27,9
79,98.48,333.24,3600,10003,222.25,9
80,175.48,-17.05,3600,10005,153.07,9
81,-195.04,212.09,3600,10002,208.73,9
82,121.82,-459.14,3600,10004,211.62,9
83,195.98,173.94,3600,10003,238.44,9
84,-152.88,-315.38,3600,10004,125.43,9
85,127.16,230.73,3600,10003,240.58,9
86,240.44,-297.79,3600,10001,132.80,9
87,184.76,153.13,3600,10005,225.33,9
88,32.44,-412.36,3600,10004,119.28,8
89,377.38,186.12,3600,10003,203.56,9
90,-388.72,-138.40,3600,10000,49.24,7
91,93.21,166.56,3600,10005,184.20,9
92,275.77,-211.62,3600,10001,76.87,8
93,-310.25,484.36,3600,10002,86.93,8
94,327.39,-168.52,3600,10001,61.35,7
95,-63.50,458.64,3600,10002,221.06,9
96,264.87,199.08,3600,10003,188.06,9
97,185.79,-116.17,3600,10005,197.86,9
98,443.05,416.27,3600,10003,132.35,9
99,-296.45,293.66,3600,10002,111.71,8
100,-202.71,404.93,3600,10002,74.94,8
101,373.98,-1.86,3600,10001,224.22,9
102,-337.24,-226.09,3600,10000,53.42,7
103,-7.60,-36.34,3600,10005,44.71,7
104,-4.02,-208.95,3600,10004,103.07,8
105,184.18,227.55,3600,10003,201.46,9
106,103.11,-7.58,3600,10005,80.22,8
107,224.25,-321.79,3600,10001,159.89,9
108,-1.47,-378.74,3600,10004,74.21,8
109,-139.56,-175.19,3600,10004,174.69,9
110,408.48,122.10,3600,10003,274.19,10
111,318.13,-3.93,3600,10001,223.52,9
112,-105.67,158.83,3600,10005,207.31,9
113,-241.09,-348.77,3600,10000,207.88,9
114,-392.15,147.21,3600,10002,280.96,10
115,-211.73,-168.61,3600,10000,146.47,9
116,-72.67,434.49,3600,10002,207.26,9
117,-234.54,158.75,3600,10002,248.79,9
118,-12.57,-342.73,3600,10004,36.66,7
119,125.67,17.71,3600,10005,104.90,8
120,57.56,-73.80,3600,10005,78.14,8
121,-105.61,-255.67,3600,10004,94.66,8
122,229.36,138.65,900,10005,250.73,10
123,-161.76,397.56,3600,10002,116.05,8
