ID,X,Y,Channel,UF,Connected EDs
10005,-363.87,-265.73,0,0.16,1047
10008,-9.59,-394.51,1,0.18,1166
10003,-285.74,-77.40,2,0.20,1305
10004,193.64,-91.59,3,0.12,797
10007,167.82,93.34,4,0.18,1162
10006,296.75,-55.28,5,0.11,754
10002,-345.23,313.10,6,0.25,1671
10000,485.50,-299.94,6,0.12,769
10001,300.77,358.20,7,0.20,1329
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3600,10006,66.48,8
1,298.44,411.65,3600,10001,53.49,7
2,-164.78,268.23,3600,10002,185.95,9
3,53.97,-22.60,3600,10004,155.78,9
4,-135.22,13.40,3600,10003,175.79,9
5,416.20,135.71,3600,10006,225.27,9
6,-358.40,106.97,3600,10003,198.17,9
7,-257.11,-362.77,3600,10005,144.27,9
8,-343.32,-99.06,3600,10003,61.52,7
9,-391.19,498.92,3600,10002,191.42,9
10,12.93,339.11,3600,10001,288.47,10
11,-203.97,137.55,3600,10002,225.33,9
12,-6.42,472.78,3600,10001,327.85,10
13,271.36,26.74,3600,10006,85.87,8
14,-99.77,391.53,3600,10002,257.68,10
15,-147.54,307.72,3600,10002,197.76,9
16,-430.24,449.33,3600,10002,160.57,9
17,-413.94,-307.79,3600,10005,65.40,8
18,390.23,-151.11,3600,10006,133.87,9
19,-479.98,-42.30,3600,10003,197.38,9
20,-261.72,470.63,3600,10002,178.29,9
21,350.92,-233.33,3600,10000,150.16,9
22,-124.79,260.25,3600,10002,226.68,9
23,167.72,31.61,3600,10007,61.74,7
24,-62.36,431.84,3600,10002,306.77,10
25,220.95,-215.71,3600,10004,127.09,9
26,139.98,-145.95,3600,10004,76.39,8
27,-334.03,-59.90,3600,10003,51.36,7
28,329.20,-169.66,3600,10006,118.89,8
29,393.37,-149.64,3600,10006,135.05,9
30,456.47,88.64,3600,10006,215.00,9
31,358.68,-60.44,3600,10006,62.14,7
32,-101.56,314.77,3600,10002,243.67,9
33,410.97,-17.51,3600,10006,120.31,8
34,450.25,420.13,3600,10001,161.81,9
35,381.06,141.08,3600,10006,213.70,9
36,119.60,-218.94,3600,10004,147.31,9
37,-192.54,-52.97,3600,10003,96.35,8
38,-312.47,-223.77,3600,10005,66.35,8
39,-83.50,-330.39,3600,10008,97.84,8
40,-396.83,-373.92,3600,10005,113.11,8
41,260.48,484.75,3600,10001,132.81,9
42,184.45,-116.81,3600,10004,26.85,7
43,-131.34,-205.84,3600,10003,200.84,9
44,84.49,-255.59,3600,10008,167.78,9
45,232.15,-374.53,3600,10008,242.56,9
46,-335.90,245.07,3600,10002,68.67,8
47,450.10,-447.47,3600,10000,151.72,9
48,-323.79,-259.94,3600,10005,40.49,7
49,232.65,156.56,3600,10007,90.56,8
50,139.46,259.73,3600,10007,168.79,9
51,-365.10,20.21,3600,10003,125.80,9
52,-430.09,-295.34,3600,10005,72.55,8
53,319.68,73.32,3600,10006,130.63,9
54,-448.06,-342.19,900,10005,113.73,8
55,-295.67,389.96,3600,10002,91.44,8
56,497.80,-445.94,3600,10000,146.52,9
57,-427.67,-495.84,3600,10005,238.79,9
58,93.89,-319.63,3600,10008,127.73,9
59,-108.31,413.03,3600,10002,257.13,10
60,-140.90,52.49,3600,10003,194.54,9
61,-47.42,187.39,3600,10007,234.89,9
62,30.81,257.29,3600,10007,213.66,9
63,492.23,76.97,3600,10006,236.02,9
64,247.81,128.91,3600,10007,87.54,8
65,247.80,333.24,3600,10001,58.55,7
66,373.27,331.04,1800,10001,77.43,8
67,243.81,403.37,900,10001,72.69,8
68,166.88,-2.74,3600,10004,92.79,8
69,330.01,388.95,3600,10001,42.43,7
70,149.71,-251.96,3600,10004,166.28,9
