ID,X,Y,Channel,UF,Connected EDs
10026,-235.84,-451.27,0,0.26,271
10022,-238.48,-258.20,1,0.28,296
10019,-81.90,-318.17,2,0.19,205
10033,-70.47,-477.61,3,0.11,110
10015,-28.30,-408.59,4,0.11,99
10037,-19.47,-372.15,5,0.12,113
10025,-433.12,-414.08,6,0.26,279
10031,-411.85,-255.90,7,0.30,310
10030,-77.51,-151.94,8,0.28,295
10018,-261.64,-113.03,9,0.25,266
10017,86.49,-247.31,6,0.29,315
10006,-111.28,-4.72,10,0.23,244
10013,-256.88,12.30,3,0.30,310
10009,162.19,-438.47,7,0.28,298
10024,-473.68,-65.74,4,0.20,212
10027,96.54,-58.42,11,0.31,321
10005,11.58,58.06,7,0.26,277
10000,272.26,-279.29,1,0.32,334
10035,-454.80,85.55,2,0.22,236
10016,268.22,-91.62,3,0.34,363
10014,-127.02,216.35,5,0.37,375
10012,-289.45,242.44,1,0.34,364
10004,399.81,-431.91,8,0.31,320
10032,240.32,104.81,2,0.31,321
10011,-487.52,227.85,6,0.16,152
10003,439.19,-242.29,9,0.29,312
10028,116.93,215.32,4,0.28,303
10020,5.72,332.67,6,0.24,250
10001,443.48,-23.63,5,0.29,297
10008,-72.18,408.64,8,0.21,224
10036,260.80,278.10,1,0.18,191
10002,-231.62,434.54,9,0.26,281
10034,-408.47,413.28,7,0.29,308
10010,395.04,165.23,8,0.25,267
10007,89.57,453.37,3,0.20,197
10021,237.98,411.40,10,0.22,244
10023,418.90,314.62,9,0.23,227
10029,413.03,453.53,0,0.20,213
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,320,10016,73.31,8
1,298.44,411.65,1600,10021,60.46,7
2,-164.78,268.23,800,10014,64.16,8
3,53.97,-22.60,400,10027,55.63,7
4,-135.22,13.40,320,10006,30.03,7
5,416.20,135.71,400,10010,36.31,7
6,-358.40,106.97,1600,10035,98.75,8
7,-257.11,-362.77,320,10026,91.02,8
8,-343.32,-99.06,1600,10018,82.87,8
9,-391.19,498.92,1600,10034,87.37,8
10,12.93,339.11,400,10020,9.67,7
11,-203.97,137.55,400,10014,110.13,8
12,-6.42,472.78,800,10008,91.86,8
13,271.36,26.74,320,10032,84.01,8
14,-99.77,391.53,800,10008,32.47,7
15,-147.54,307.72,320,10014,93.65,8
16,-430.24,449.33,400,10034,42.12,7
17,-413.94,-307.79,400,10031,51.93,7
18,390.23,-151.11,1600,10003,103.49,8
19,-479.98,-42.30,1600,10024,24.28,7
20,-261.72,470.63,320,10002,46.99,7
21,350.92,-233.33,400,10003,88.72,8
22,-124.79,260.25,400,10014,43.95,7
23,167.72,31.61,1600,10032,103.10,8
24,-62.36,431.84,320,10008,25.19,7
25,220.95,-215.71,400,10000,81.70,8
26,139.98,-145.95,400,10027,97.72,8
27,-334.03,-59.90,320,10018,89.79,8
28,329.20,-169.66,1600,10016,99.04,8
29,393.37,-149.64,400,10003,103.35,8
30,456.47,88.64,400,10010,98.18,8
31,358.68,-60.44,320,10001,92.45,8
32,-101.56,314.77,400,10008,98.36,8
33,410.97,-17.51,1600,10001,33.08,7
34,450.25,420.13,1600,10029,50.01,7
35,381.06,141.08,800,10010,27.90,7
36,119.60,-218.94,320,10017,43.60,7
37,-192.54,-52.97,1600,10018,91.56,8
38,-312.47,-223.77,400,10022,81.60,8
39,-83.50,-330.39,320,10019,12.33,7
40,-396.83,-373.92,800,10025,54.12,7
41,260.48,484.75,320,10021,76.72,8
42,184.45,-116.81,400,10016,87.49,8
43,-131.34,-205.84,1600,10030,76.17,8
44,84.49,-255.59,1600,10017,8.51,7
45,232.15,-374.53,320,10009,94.78,8
46,-335.90,245.07,1600,10012,46.52,7
47,450.10,-447.47,400,10004,52.65,7
48,-323.79,-259.94,320,10022,85.32,8
49,232.65,156.56,320,10032,52.32,7
50,139.46,259.73,1600,10028,49.80,7
51,-365.10,20.21,1600,10013,108.51,8
52,-430.09,-295.34,800,10031,43.46,7
53,319.68,73.32,320,10032,85.37,8
54,-448.06,-342.19,320,10025,73.42,8
55,-295.67,389.96,1600,10002,78.04,8
56,497.80,-445.94,320,10004,98.99,8
57,-427.67,-495.84,320,10025,81.94,8
58,93.89,-319.63,1600,10017,72.69,8
59,-108.31,413.03,320,10008,36.40,7
60,-140.90,52.49,400,10006,64.42,8
61,-47.42,187.39,1600,10014,84.71,8
62,30.81,257.29,800,10020,79.44,8
63,492.23,76.97,320,10001,111.79,8
64,247.81,128.91,1600,10032,25.24,7
65,247.80,333.24,320,10036,56.65,7
66,373.27,331.04,320,10023,48.49,7
67,243.81,403.37,320,10021,9.93,7
68,166.88,-2.74,1600,10027,89.71,8
69,330.01,388.95,1600,10021,94.73,8
70,149.71,-251.96,400,10017,63.39,8
71,-270.86,200.62,800,10012,45.76,7
72,-171.22,-268.57,1600,10022,68.06,8
73,133.07,-276.34,400,10017,54.89,7
74,10.69,471.47,800,10007,80.93,8
75,46.11,219.27,1600,10028,70.93,8
76,-28.52,92.54,320,10005,52.89,7
77,-49.08,-163.65,320,10030,30.75,7
78,-65.49,-496.77,800,10033,19.80,7
79,98.48,333.24,1600,10020,92.76,8
80,175.48,-17.05,800,10027,89.12,8
81,-195.04,212.09,1600,10014,68.15,8
82,121.82,-459.14,800,10009,45.35,7
83,195.98,173.94,400,10032,82.12,8
84,-152.88,-315.38,400,10019,71.04,8
85,127.16,230.73,800,10028,18.50,7
86,240.44,-297.79,320,10000,36.80,7
87,184.76,153.13,800,10032,73.64,8
88,32.44,-412.36,800,10015,60.86,7
89,377.38,186.12,1600,10010,27.36,7
90,-388.72,-138.40,400,10024,111.79,8
91,93.21,166.56,800,10028,54.22,7
92,275.77,-211.62,800,10000,67.76,8
93,-310.25,484.36,1600,10002,93.08,8
94,327.39,-168.52,1600,10016,97.03,8
95,-63.50,458.64,320,10008,50.74,7
96,264.87,199.08,1600,10036,79.13,8
97,185.79,-116.17,320,10016,86.02,8
98,443.05,416.27,320,10029,47.84,7
99,-296.45,293.66,400,10012,51.70,7
100,-202.71,404.93,320,10002,41.38,7
101,373.98,-1.86,400,10001,72.83,8
102,-337.24,-226.09,320,10031,80.34,8
103,-7.60,-36.34,320,10005,96.33,8
104,-4.02,-208.95,1600,10030,93.01,8
105,184.18,227.55,1600,10028,68.35,8
106,103.11,-7.58,320,10027,51.26,7
107,224.25,-321.79,1600,10000,64.11,8
108,-1.47,-378.74,1600,10037,19.17,7
109,-139.56,-175.19,320,10030,66.26,8
110,408.48,122.10,320,10010,45.18,7
111,318.13,-3.93,800,10016,100.90,8
112,-105.67,158.83,400,10014,61.36,7
113,-241.09,-348.77,1600,10022,90.61,8
114,-392.15,147.21,800,10035,87.90,8
115,-211.73,-168.61,1600,10018,74.70,8
116,-72.67,434.49,400,10008,25.86,7
117,-234.54,158.75,320,10012,100.10,8
118,-12.57,-342.73,320,10037,30.22,7
119,125.67,17.71,1600,10027,81.52,8
120,57.56,-73.80,320,10027,41.90,7
121,-105.61,-255.67,800,10019,66.84,8
122,229.36,138.65,320,10032,35.58,7
123,-161.76,397.56,1600,10002,79.05,8
124,-89.21,-494.59,320,10033,25.29,7
125,274.39,-206.32,1600,10000,73.00,8
126,365.53,221.01,1600,10010,63.10,8
127,-50.89,486.47,400,10008,80.69,8
128,-289.12,-26.11,320,10013,50.14,7
129,-406.08,-400.44,800,10025,30.28,7
130,-198.24,157.12,320,10014,92.63,8
131,-368.30,-448.49,1600,10025,73.39,8
132,-42.28,280.87,400,10020,70.63,8
133,-57.44,-380.89,400,10037,38.96,7
134,78.63,29.90,400,10005,72.73,8
135,-138.08,-195.71,320,10030,74.73,8
136,-23.42,-330.18,400,10037,42.15,7
137,25.75,118.93,400,10005,62.49,7
138,-266.34,329.81,1600,10012,90.37,8
139,-401.16,423.73,1600,10034,12.75,7
140,-18.27,-274.51,320,10019,77.17,8
141,-209.17,-142.81,320,10018,60.33,7
142,-155.75,314.91,400,10014,102.66,8
143,-463.67,-242.53,320,10031,53.52,7
144,125.96,336.10,800,10020,120.29,8
145,-278.99,-301.98,400,10022,59.65,7
146,-390.27,174.61,320,10035,109.98,8
147,219.46,-299.65,800,10000,56.58,7
148,-184.34,-65.99,1600,10018,90.49,8
149,-114.25,32.85,1600,10006,37.69,7
150,55.40,-485.42,800,10015,113.61,8
151,-117.83,-194.59,400,10030,58.69,7
152,-239.56,149.66,400,10012,105.34,8
153,419.59,185.99,320,10010,32.15,7
