ID,X,Y,Channel,UF,Connected EDs
1000,-161.36,218.78,0,0.04,366
1001,396.94,73.34,1,0.02,212
1003,203.23,-298.01,2,0.02,181
1002,-99.50,-334.37,3,0.02,241
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3200,1001,187.74,9
1,298.44,411.65,16000,1001,352.35,10
2,-164.78,268.23,8000,1000,49.57,7
3,53.97,-22.60,4000,1003,313.25,10
4,-135.22,13.40,3200,1000,207.03,9
5,416.20,135.71,4000,1001,65.27,8
6,-358.40,106.97,16000,1000,226.55,9
7,-257.11,-362.77,3200,1002,160.15,9
8,-343.32,-99.06,16000,1002,338.85,10
9,-391.19,498.92,16000,1000,362.36,10
10,12.93,339.11,4000,1000,211.80,9
11,-203.97,137.55,4000,1000,91.72,8
12,-6.42,472.78,8000,1000,297.53,10
13,271.36,26.74,3200,1001,133.95,9
14,-99.77,391.53,8000,1000,183.41,9
15,-147.54,307.72,3200,1000,90.02,8
16,-430.24,449.33,4000,1000,354.19,10
17,-413.94,-307.79,4000,1002,315.57,10
18,390.23,-151.11,16000,1001,224.55,9
19,-479.98,-42.30,16000,1000,411.91,10
20,-261.72,470.63,3200,1000,271.12,10
21,350.92,-233.33,4000,1003,161.23,9
22,-124.79,260.25,4000,1000,55.29,7
23,167.72,31.61,16000,1001,232.99,9
24,-62.36,431.84,3200,1000,234.94,9
25,220.95,-215.71,4000,1003,84.19,8
26,139.98,-145.95,4000,1003,164.68,9
27,-334.03,-59.90,3200,1000,327.83,10
28,329.20,-169.66,16000,1003,179.84,9
29,393.37,-149.64,4000,1001,223.01,9
30,456.47,88.64,4000,1001,61.46,7
31,358.68,-60.44,3200,1001,139.15,9
32,-101.56,314.77,4000,1000,113.10,8
33,410.97,-17.51,16000,1001,91.93,8
34,450.25,420.13,16000,1001,350.86,10
35,381.06,141.08,8000,1001,69.57,8
36,119.60,-218.94,3200,1003,115.09,8
37,-192.54,-52.97,16000,1000,273.52,10
38,-312.47,-223.77,4000,1002,239.98,9
39,-83.50,-330.39,3200,1002,16.48,7
40,-396.83,-373.92,8000,1002,299.95,10
41,260.48,484.75,3200,1001,433.45,10
42,184.45,-116.81,4000,1003,182.16,9
43,-131.34,-205.84,16000,1002,132.41,9
44,84.49,-255.59,16000,1003,126.09,9
45,232.15,-374.53,3200,1003,81.80,8
46,-335.90,245.07,16000,1000,176.50,9
47,450.10,-447.47,4000,1003,288.60,10
48,-323.79,-259.94,3200,1002,236.32,9
49,232.65,156.56,3200,1001,184.17,9
50,139.46,259.73,16000,1000,303.60,10
51,-365.10,20.21,16000,1000,284.49,10
52,-430.09,-295.34,8000,1002,332.89,10
53,319.68,73.32,3200,1001,77.27,8
54,-448.06,-342.19,3200,1002,348.65,10
55,-295.67,389.96,16000,1000,217.58,9
56,497.80,-445.94,3200,1003,329.63,10
57,-427.67,-495.84,3200,1002,365.75,10
58,93.89,-319.63,16000,1003,111.45,8
59,-108.31,413.03,3200,1000,201.37,9
60,-140.90,52.49,4000,1000,167.54,9
61,-47.42,187.39,16000,1000,118.18,8
62,30.81,257.29,8000,1000,195.99,9
63,492.23,76.97,3200,1001,95.35,8
64,247.81,128.91,16000,1001,159.15,9
65,247.80,333.24,3200,1001,299.65,10
66,373.27,331.04,3200,1001,258.78,10
67,243.81,403.37,3200,1001,363.82,10
