ID,X,Y,Channel,UF,Connected EDs
1003,311.24,135.25,0,0.02,167
1002,319.28,-125.46,1,0.02,244
1000,-11.73,379.45,2,0.02,246
1001,-279.20,-211.01,3,0.03,343
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3200,1002,28.82,7
1,298.44,411.65,16000,1003,276.69,10
2,-164.78,268.23,8000,1000,189.19,9
3,53.97,-22.60,4000,1002,284.55,10
4,-135.22,13.40,3200,1001,266.63,10
5,416.20,135.71,4000,1003,104.96,8
6,-358.40,106.97,16000,1001,327.70,10
7,-257.11,-362.77,3200,1001,153.35,9
8,-343.32,-99.06,16000,1001,129.02,9
9,-391.19,498.92,16000,1000,397.83,10
10,12.93,339.11,4000,1000,47.28,7
11,-203.97,137.55,4000,1000,308.98,10
12,-6.42,472.78,8000,1000,93.48,8
13,271.36,26.74,3200,1003,115.61,8
14,-99.77,391.53,8000,1000,88.87,8
15,-147.54,307.72,3200,1000,153.59,9
16,-430.24,449.33,4000,1000,424.31,10
17,-413.94,-307.79,4000,1001,165.90,9
18,390.23,-151.11,16000,1002,75.44,8
19,-479.98,-42.30,16000,1001,262.26,10
20,-261.72,470.63,3200,1000,266.10,10
21,350.92,-233.33,4000,1002,112.42,8
22,-124.79,260.25,4000,1000,164.29,9
23,167.72,31.61,16000,1003,177.03,9
24,-62.36,431.84,3200,1000,72.86,8
25,220.95,-215.71,4000,1002,133.47,9
26,139.98,-145.95,4000,1002,180.47,9
27,-334.03,-59.90,3200,1001,160.76,9
28,329.20,-169.66,16000,1002,45.30,7
29,393.37,-149.64,4000,1002,77.93,8
30,456.47,88.64,4000,1003,152.53,9
31,358.68,-60.44,3200,1002,76.02,8
32,-101.56,314.77,4000,1000,110.70,8
33,410.97,-17.51,16000,1002,141.63,9
34,450.25,420.13,16000,1003,316.98,10
35,381.06,141.08,8000,1003,70.07,8
36,119.60,-218.94,3200,1002,220.48,9
37,-192.54,-52.97,16000,1001,180.24,9
38,-312.47,-223.77,4000,1001,35.63,7
39,-83.50,-330.39,3200,1001,229.24,9
40,-396.83,-373.92,8000,1001,200.94,9
41,260.48,484.75,3200,1000,291.86,10
42,184.45,-116.81,4000,1002,135.12,9
43,-131.34,-205.84,16000,1001,147.95,9
44,84.49,-255.59,16000,1002,268.44,10
45,232.15,-374.53,3200,1002,263.87,10
46,-335.90,245.07,16000,1000,350.92,10
47,450.10,-447.47,4000,1002,347.57,10
48,-323.79,-259.94,3200,1001,66.20,8
49,232.65,156.56,3200,1003,81.42,8
50,139.46,259.73,16000,1000,192.85,9
51,-365.10,20.21,16000,1001,246.66,9
52,-430.09,-295.34,8000,1001,172.86,9
53,319.68,73.32,3200,1003,62.51,8
54,-448.06,-342.19,3200,1001,213.83,9
55,-295.67,389.96,16000,1000,284.14,10
56,497.80,-445.94,3200,1002,366.85,10
57,-427.67,-495.84,3200,1001,321.20,10
58,93.89,-319.63,16000,1002,297.49,10
59,-108.31,413.03,3200,1000,102.25,8
60,-140.90,52.49,4000,1001,297.58,10
61,-47.42,187.39,16000,1000,195.35,9
62,30.81,257.29,8000,1000,129.35,9
63,492.23,76.97,3200,1003,190.14,9
64,247.81,128.91,16000,1003,63.74,8
65,247.80,333.24,3200,1003,207.90,9
66,373.27,331.04,3200,1003,205.38,9
67,243.81,403.37,3200,1000,256.66,10
68,166.88,-2.74,16000,1002,195.67,9
69,330.01,388.95,16000,1003,254.39,10
