ID,X,Y,Channel,UF,Connected EDs
1002,-111.03,278.85,0,0.05,317
1001,-106.52,-199.00,1,0.05,358
1000,307.05,-415.11,2,0.03,189
1003,389.84,454.60,3,0.02,136
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3600,1000,311.26,10
1,298.44,411.65,3600,1003,100.99,8
2,-164.78,268.23,3600,1002,54.79,7
3,53.97,-22.60,3600,1001,238.48,9
4,-135.22,13.40,3600,1001,214.33,9
5,416.20,135.71,3600,1003,319.97,10
6,-358.40,106.97,3600,1002,301.22,10
7,-257.11,-362.77,3600,1001,222.48,9
8,-343.32,-99.06,3600,1001,257.02,10
9,-391.19,498.92,3600,1002,356.26,10
10,12.93,339.11,3600,1002,137.83,9
11,-203.97,137.55,3600,1002,169.12,9
12,-6.42,472.78,3600,1002,220.34,9
13,271.36,26.74,3600,1001,440.17,10
14,-99.77,391.53,3600,1002,113.24,8
15,-147.54,307.72,3600,1002,46.55,7
16,-430.24,449.33,3600,1002,361.89,10
17,-413.94,-307.79,3600,1001,326.10,10
18,390.23,-151.11,3600,1000,276.80,10
19,-479.98,-42.30,3600,1001,405.00,10
20,-261.72,470.63,3600,1002,243.90,9
21,350.92,-233.33,3600,1000,186.99,9
22,-124.79,260.25,3600,1002,23.14,7
23,167.72,31.61,3600,1001,358.31,10
24,-62.36,431.84,3600,1002,160.54,9
25,220.95,-215.71,3600,1000,217.20,9
26,139.98,-145.95,3600,1001,252.14,10
27,-334.03,-59.90,3600,1001,266.66,10
28,329.20,-169.66,3600,1000,246.44,9
29,393.37,-149.64,3600,1000,279.15,10
30,456.47,88.64,3600,1003,371.97,10
31,358.68,-60.44,3600,1000,358.41,10
32,-101.56,314.77,3600,1002,37.14,7
33,410.97,-17.51,3600,1000,410.96,10
34,450.25,420.13,3600,1003,69.55,8
35,381.06,141.08,3600,1003,313.64,10
36,119.60,-218.94,3600,1001,227.00,9
37,-192.54,-52.97,3600,1001,169.48,9
38,-312.47,-223.77,3600,1001,207.43,9
39,-83.50,-330.39,3600,1001,133.40,9
40,-396.83,-373.92,3600,1001,338.94,10
41,260.48,484.75,3600,1003,132.83,9
42,184.45,-116.81,3600,1001,302.35,10
43,-131.34,-205.84,3600,1001,25.74,7
44,84.49,-255.59,3600,1001,199.22,9
45,232.15,-374.53,3600,1000,85.19,8
46,-335.90,245.07,3600,1002,227.39,9
47,450.10,-447.47,3600,1000,146.67,9
48,-323.79,-259.94,3600,1001,225.65,9
49,232.65,156.56,3600,1003,336.94,10
50,139.46,259.73,3600,1002,251.21,10
51,-365.10,20.21,3600,1001,338.99,10
52,-430.09,-295.34,3600,1001,337.61,10
53,319.68,73.32,3600,1003,387.68,10
54,-448.06,-342.19,900,1001,370.34,10
55,-295.67,389.96,3600,1002,215.49,9
56,497.80,-445.94,3600,1000,193.23,9
57,-427.67,-495.84,3600,1001,437.32,10
58,93.89,-319.63,3600,1000,233.56,9
59,-108.31,413.03,3600,1002,134.20,9
60,-140.90,52.49,3600,1002,228.33,9
61,-47.42,187.39,3600,1002,111.40,8
62,30.81,257.29,3600,1002,143.46,9
63,492.23,76.97,3600,1003,391.26,10
64,247.81,128.91,3600,1003,355.31,10
65,247.80,333.24,3600,1003,186.82,9
66,373.27,331.04,1800,1003,124.66,8
67,243.81,403.37,900,1003,154.76,9
68,166.88,-2.74,3600,1001,336.55,10
69,330.01,388.95,3600,1003,88.82,8
70,149.71,-251.96,3600,1000,226.66,9
71,-270.86,200.62,3600,1002,177.95,9
72,-171.22,-268.57,3600,1001,95.01,8
73,133.07,-276.34,3600,1000,222.54,9
74,10.69,471.47,3600,1002,227.85,9
75,46.11,219.27,3600,1002,168.05,9
76,-28.52,92.54,3600,1002,203.76,9
77,-49.08,-163.65,3600,1001,67.44,8
78,-65.49,-496.77,3600,1001,300.59,10
79,98.48,333.24,3600,1002,216.45,9
80,175.48,-17.05,3600,1001,335.60,10
81,-195.04,212.09,3600,1002,107.31,8
82,121.82,-459.14,3600,1000,190.38,9
83,195.98,173.94,3600,1002,324.44,10
84,-152.88,-315.38,3600,1001,125.28,9
85,127.16,230.73,3600,1002,243.00,9
86,240.44,-297.79,3600,1000,134.91,9
87,184.76,153.13,3600,1002,321.39,10
88,32.44,-412.36,3600,1001,254.62,10
89,377.38,186.12,3600,1003,268.76,10
90,-388.72,-138.40,3600,1001,288.63,10
91,93.21,166.56,3600,1002,233.07,9
92,275.77,-211.62,3600,1000,205.88,9
93,-310.25,484.36,3600,1002,286.22,10
94,327.39,-168.52,3600,1000,247.43,9
95,-63.50,458.64,3600,1002,185.96,9
96,264.87,199.08,3600,1003,284.44,10
97,185.79,-116.17,3600,1001,303.82,10
98,443.05,416.27,3600,1003,65.57,8
99,-296.45,293.66,3600,1002,186.01,9
100,-202.71,404.93,3600,1002,155.89,9
101,373.98,-1.86,3600,1000,418.64,10
102,-337.24,-226.09,3600,1001,232.31,9
103,-7.60,-36.34,3600,1001,190.38,9
104,-4.02,-208.95,3600,1001,102.98,8
105,184.18,227.55,3600,1002,299.63,10
106,103.11,-7.58,3600,1001,283.88,10
107,224.25,-321.79,3600,1000,124.75,8
108,-1.47,-378.74,3600,1001,208.19,9
109,-139.56,-175.19,3600,1001,40.72,7
110,408.48,122.10,3600,1003,333.02,10
111,318.13,-3.93,3600,1000,411.33,10
112,-105.67,158.83,3600,1002,120.14,8
113,-241.09,-348.77,3600,1001,201.35,9
114,-392.15,147.21,3600,1002,310.42,10
115,-211.73,-168.61,3600,1001,109.51,8
116,-72.67,434.49,3600,1002,160.30,9
117,-234.54,158.75,3600,1002,172.28,9
118,-12.57,-342.73,3600,1001,171.71,9
119,125.67,17.71,3600,1001,317.61,10
120,57.56,-73.80,3600,1001,206.39,9
121,-105.61,-255.67,3600,1001,56.68,7
122,229.36,138.65,900,1003,354.36,10
123,-161.76,397.56,3600,1002,129.10,9
124,-89.21,-494.59,3600,1001,296.10,10
125,274.39,-206.32,3600,1000,211.33,9
126,365.53,221.01,3600,1003,234.85,9
127,-50.89,486.47,3600,1002,216.15,9
128,-289.12,-26.11,3600,1001,251.46,10
129,-406.08,-400.44,3600,1001,360.99,10
130,-198.24,157.12,3600,1002,149.75,9
131,-368.30,-448.49,3600,1001,361.63,10
132,-42.28,280.87,3600,1002,68.77,8
133,-57.44,-380.89,3600,1001,188.40,9
134,78.63,29.90,3600,1001,294.41,10
135,-138.08,-195.71,3600,1001,31.73,7
136,-23.42,-330.18,3600,1001,155.29,9
137,25.75,118.93,3600,1002,210.44,9
138,-266.34,329.81,3600,1002,163.46,9
139,-401.16,423.73,3600,1002,324.30,10
140,-18.27,-274.51,3600,1001,116.15,8
141,-209.17,-142.81,3600,1001,117.02,8
142,-155.75,314.91,3600,1002,57.45,7
143,-463.67,-242.53,3600,1001,359.79,10
144,125.96,336.10,3600,1002,243.81,9
145,-278.99,-301.98,3600,1001,200.88,9
146,-390.27,174.61,3600,1002,298.06,10
147,219.46,-299.65,3600,1000,144.92,9
148,-184.34,-65.99,3600,1001,154.10,9
149,-114.25,32.85,3600,1001,231.97,9
150,55.40,-485.42,3600,1000,261.29,10
151,-117.83,-194.59,3600,1001,12.14,7
152,-239.56,149.66,3600,1002,182.24,9
153,419.59,185.99,3600,1003,270.25,10
154,197.85,-188.05,3600,1000,251.95,10
155,-494.00,32.96,3600,1001,451.60,10
156,118.45,142.69,3600,1002,266.83,10
157,-99.29,-137.85,3600,1001,61.58,7
158,301.90,177.81,3600,1003,290.42,10
159,-467.11,-436.44,3600,1001,431.74,10
160,-312.38,118.96,3600,1002,257.12,10
