ID,X,Y,Channel,UF,Connected EDs
1005,153.09,69.65,0,0.05,56
1021,-47.02,38.64,1,0.04,37
1020,44.38,250.38,2,0.06,53
1024,-29.84,-153.02,3,0.04,36
1013,171.09,-167.41,4,0.04,43
1023,302.73,-78.51,5,0.03,27
1011,-177.80,155.42,5,0.05,46
1001,-197.82,-116.48,6,0.03,27
1022,342.83,224.11,3,0.04,46
1004,401.15,63.34,6,0.02,16
1027,403.54,-47.37,7,0.02,21
1008,-111.03,363.65,4,0.03,34
1025,10.08,-332.44,2,0.04,42
1028,464.07,70.47,1,0.01,10
1015,231.88,411.94,8,0.03,37
1003,394.55,-227.11,8,0.03,33
1026,-28.67,461.68,6,0.02,18
1010,203.81,-391.07,9,0.05,48
1007,-390.04,-27.40,2,0.05,45
1006,-394.07,140.51,7,0.04,43
1019,-275.15,385.52,3,0.03,33
1002,-208.14,-366.67,5,0.04,40
1000,-367.76,-217.66,4,0.05,42
1014,392.31,446.79,4,0.02,25
1009,-35.30,-470.70,1,0.03,24
1018,-379.40,333.10,8,0.02,23
1016,408.90,-396.01,0,0.03,27
1017,-384.98,-403.83,0,0.05,52
1012,-449.29,463.88,0,0.01,16
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,320,1023,46.24,7
1,298.44,411.65,1600,1015,66.56,8
2,-164.78,268.23,800,1008,109.52,8
3,53.97,-22.60,400,1021,118.11,8
4,-135.22,13.40,320,1021,91.74,8
5,416.20,135.71,400,1004,73.92,8
6,-358.40,106.97,1600,1006,48.97,7
7,-257.11,-362.77,320,1002,49.13,7
8,-343.32,-99.06,1600,1007,85.54,8
9,-391.19,498.92,1600,1012,67.85,8
10,12.93,339.11,400,1020,94.13,8
11,-203.97,137.55,400,1011,31.69,7
12,-6.42,472.78,800,1026,24.86,7
13,271.36,26.74,320,1023,109.83,8
14,-99.77,391.53,800,1008,30.06,7
15,-147.54,307.72,320,1008,66.79,8
16,-430.24,449.33,400,1012,23.97,7
17,-413.94,-307.79,400,1017,100.32,8
18,390.23,-151.11,1600,1003,76.12,8
19,-479.98,-42.30,1600,1007,91.16,8
20,-261.72,470.63,320,1019,86.17,8
21,350.92,-233.33,400,1003,44.07,7
22,-124.79,260.25,400,1008,104.32,8
23,167.72,31.61,1600,1005,40.76,7
24,-62.36,431.84,320,1026,45.01,7
25,220.95,-215.71,400,1013,69.42,8
26,139.98,-145.95,400,1013,37.79,7
27,-334.03,-59.90,320,1007,64.76,8
28,329.20,-169.66,1600,1003,87.01,8
29,393.37,-149.64,400,1003,77.48,8
30,456.47,88.64,400,1028,19.70,7
31,358.68,-60.44,320,1027,46.72,7
32,-101.56,314.77,400,1008,49.79,7
33,410.97,-17.51,1600,1027,30.78,7
34,450.25,420.13,1600,1014,63.78,8
35,381.06,141.08,800,1004,80.30,8
36,119.60,-218.94,320,1013,72.85,8
37,-192.54,-52.97,1600,1001,63.73,8
38,-312.47,-223.77,400,1000,55.63,7
39,-83.50,-330.39,320,1025,93.60,8
40,-396.83,-373.92,800,1017,32.17,7
41,260.48,484.75,320,1015,78.22,8
42,184.45,-116.81,400,1013,52.33,7
43,-131.34,-205.84,1600,1001,111.38,8
44,84.49,-255.59,1600,1025,106.98,8
45,232.15,-374.53,320,1010,32.82,7
46,-335.90,245.07,1600,1018,98.19,8
47,450.10,-447.47,400,1016,65.93,8
48,-323.79,-259.94,320,1000,61.00,7
49,232.65,156.56,320,1005,117.83,8
50,139.46,259.73,1600,1020,95.54,8
