ID,X,Y,Channel,UF,Connected EDs
102,-99.06,359.22,0,0.00,33
100,-176.82,-249.79,1,0.00,29
101,374.77,15.83,2,0.00,38
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3200,101,126.27,9
1,298.44,411.65,16000,102,400.94,10
2,-164.78,268.23,8000,102,112.24,8
3,53.97,-22.60,4000,101,323.10,10
4,-135.22,13.40,3200,100,266.46,10
5,416.20,135.71,4000,101,126.84,9
6,-358.40,106.97,16000,102,361.79,10
7,-257.11,-362.77,3200,100,138.60,9
8,-343.32,-99.06,16000,100,224.59,9
9,-391.19,498.92,16000,102,323.82,10
10,12.93,339.11,4000,102,113.78,8
11,-203.97,137.55,4000,102,245.24,9
12,-6.42,472.78,8000,102,146.55,9
13,271.36,26.74,3200,101,103.99,8
14,-99.77,391.53,8000,102,32.31,7
15,-147.54,307.72,3200,102,70.73,8
16,-430.24,449.33,4000,102,343.22,10
17,-413.94,-307.79,4000,100,244.11,9
18,390.23,-151.11,16000,101,167.65,9
19,-479.98,-42.30,16000,100,367.36,10
20,-261.72,470.63,3200,102,197.16,9
21,350.92,-233.33,4000,101,250.30,10
22,-124.79,260.25,4000,102,102.27,8
23,167.72,31.61,16000,101,207.65,9
24,-62.36,431.84,3200,102,81.36,8
25,220.95,-215.71,4000,101,277.97,10
26,139.98,-145.95,4000,101,285.13,10
27,-334.03,-59.90,3200,100,246.52,9
28,329.20,-169.66,16000,101,191.00,9
29,393.37,-149.64,4000,101,166.51,9
30,456.47,88.64,4000,101,109.43,8
31,358.68,-60.44,3200,101,77.95,8
32,-101.56,314.77,4000,102,44.53,7
33,410.97,-17.51,16000,101,49.21,7
34,450.25,420.13,16000,101,411.29,10
35,381.06,141.08,8000,101,125.41,9
36,119.60,-218.94,3200,100,298.02,10
37,-192.54,-52.97,16000,100,197.45,9
38,-312.47,-223.77,4000,100,138.12,9
39,-83.50,-330.39,3200,100,123.31,8
40,-396.83,-373.92,8000,100,252.61,10
41,260.48,484.75,3200,102,380.82,10
42,184.45,-116.81,4000,101,231.99,9
43,-131.34,-205.84,16000,100,63.25,8
44,84.49,-255.59,16000,100,261.38,10
45,232.15,-374.53,3200,101,415.59,10
46,-335.90,245.07,16000,102,262.91,10
47,450.10,-447.47,4000,101,469.38,10
48,-323.79,-259.94,3200,100,147.32,9
49,232.65,156.56,3200,101,200.01,9
50,139.46,259.73,16000,102,258.44,10
51,-365.10,20.21,16000,100,329.16,10
52,-430.09,-295.34,8000,100,257.33,10
53,319.68,73.32,3200,101,79.63,8
54,-448.06,-342.19,3200,100,286.55,10
55,-295.67,389.96,16000,102,199.00,9
56,497.80,-445.94,3200,101,477.87,10
57,-427.67,-495.84,3200,100,351.37,10
58,93.89,-319.63,16000,100,279.58,10
59,-108.31,413.03,3200,102,54.59,7
60,-140.90,52.49,4000,100,304.40,10
61,-47.42,187.39,16000,102,179.43,9
62,30.81,257.29,8000,102,165.09,9
63,492.23,76.97,3200,101,132.42,9
64,247.81,128.91,16000,101,170.02,9
65,247.80,333.24,3200,101,341.87,10
66,373.27,331.04,3200,101,315.22,10
67,243.81,403.37,3200,102,345.70,10
68,166.88,-2.74,16000,101,208.72,9
69,330.01,388.95,16000,101,375.80,10
70,149.71,-251.96,4000,100,326.54,10
71,-270.86,200.62,8000,102,233.82,9
72,-171.22,-268.57,16000,100,19.60,7
73,133.07,-276.34,4000,100,311.03,10
74,10.69,471.47,8000,102,156.98,9
75,46.11,219.27,16000,102,201.65,9
76,-28.52,92.54,3200,102,275.86,10
77,-49.08,-163.65,3200,100,154.07,9
78,-65.49,-496.77,8000,100,270.91,10
79,98.48,333.24,16000,102,199.24,9
80,175.48,-17.05,8000,101,201.99,9
81,-195.04,212.09,16000,102,175.68,9
82,121.82,-459.14,8000,100,364.71,10
83,195.98,173.94,4000,101,238.67,9
84,-152.88,-315.38,4000,100,69.82,8
85,127.16,230.73,8000,102,260.16,10
86,240.44,-297.79,3200,101,341.17,10
87,184.76,153.13,8000,101,234.43,9
88,32.44,-412.36,8000,100,264.99,10
89,377.38,186.12,16000,101,170.32,9
90,-388.72,-138.40,4000,100,239.40,9
91,93.21,166.56,8000,102,272.19,10
92,275.77,-211.62,8000,101,248.06,9
93,-310.25,484.36,16000,102,245.48,9
94,327.39,-168.52,16000,101,190.34,9
95,-63.50,458.64,3200,102,105.58,8
96,264.87,199.08,16000,101,213.68,9
97,185.79,-116.17,3200,101,230.52,9
98,443.05,416.27,3200,101,406.23,10
99,-296.45,293.66,4000,102,208.00,9
