ID,X,Y,Channel,UF,Connected EDs
104,-214.80,187.15,0,0.00,28
101,12.68,-10.66,1,0.00,10
100,248.25,146.44,2,0.00,32
103,-141.61,-352.63,3,0.00,14
102,52.09,-333.70,4,0.00,16
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3200,100,268.30,10
1,298.44,411.65,16000,100,269.92,10
2,-164.78,268.23,8000,104,95.27,8
3,53.97,-22.60,4000,101,42.99,7
4,-135.22,13.40,3200,101,149.84,9
5,416.20,135.71,4000,100,168.29,9
6,-358.40,106.97,16000,104,164.46,9
7,-257.11,-362.77,3200,103,115.94,8
8,-343.32,-99.06,16000,104,313.73,10
9,-391.19,498.92,16000,104,358.22,10
10,12.93,339.11,4000,104,273.78,10
11,-203.97,137.55,4000,104,50.76,7
12,-6.42,472.78,8000,104,353.56,10
13,271.36,26.74,3200,100,121.90,8
14,-99.77,391.53,8000,104,234.53,9
15,-147.54,307.72,3200,104,138.07,9
16,-430.24,449.33,4000,104,339.34,10
17,-413.94,-307.79,4000,103,276.00,10
18,390.23,-151.11,16000,100,329.69,10
19,-479.98,-42.30,16000,104,350.66,10
20,-261.72,470.63,3200,104,287.34,10
21,350.92,-233.33,4000,102,315.24,10
22,-124.79,260.25,4000,104,115.95,8
23,167.72,31.61,16000,100,140.25,9
24,-62.36,431.84,3200,104,288.29,10
25,220.95,-215.71,4000,102,206.01,9
26,139.98,-145.95,4000,101,185.77,9
27,-334.03,-59.90,3200,104,274.31,10
28,329.20,-169.66,16000,102,322.03,10
29,393.37,-149.64,4000,100,329.73,10
30,456.47,88.64,4000,100,216.09,9
31,358.68,-60.44,3200,100,234.51,9
32,-101.56,314.77,4000,104,170.62,9
33,410.97,-17.51,16000,100,230.99,9
34,450.25,420.13,16000,100,340.17,10
35,381.06,141.08,8000,100,132.92,9
36,119.60,-218.94,3200,102,133.15,9
37,-192.54,-52.97,16000,101,209.54,9
38,-312.47,-223.77,4000,103,214.00,9
39,-83.50,-330.39,3200,103,62.22,7
40,-396.83,-373.92,8000,103,256.10,10
41,260.48,484.75,3200,100,338.53,10
42,184.45,-116.81,4000,101,201.92,9
43,-131.34,-205.84,16000,103,147.15,9
44,84.49,-255.59,16000,102,84.57,8
45,232.15,-374.53,3200,102,184.63,9
46,-335.90,245.07,16000,104,134.24,9
47,450.10,-447.47,4000,102,413.96,10
48,-323.79,-259.94,3200,103,204.40,9
49,232.65,156.56,3200,100,18.59,7
50,139.46,259.73,16000,100,157.07,9
51,-365.10,20.21,16000,104,224.63,9
52,-430.09,-295.34,8000,103,294.11,10
53,319.68,73.32,3200,100,102.22,8
54,-448.06,-342.19,3200,103,306.62,10
55,-295.67,389.96,16000,104,218.34,9
56,497.80,-445.94,3200,102,459.63,10
57,-427.67,-495.84,3200,103,319.90,10
58,93.89,-319.63,16000,102,44.11,7
59,-108.31,413.03,3200,104,249.72,9
60,-140.90,52.49,4000,104,153.61,9
61,-47.42,187.39,16000,104,167.38,9
62,30.81,257.29,8000,100,244.07,9
63,492.23,76.97,3200,100,253.68,10
64,247.81,128.91,16000,100,17.53,7
65,247.80,333.24,3200,100,186.80,9
66,373.27,331.04,3200,100,222.95,9
67,243.81,403.37,3200,100,256.97,10
68,166.88,-2.74,16000,101,154.41,9
69,330.01,388.95,16000,100,255.92,10
70,149.71,-251.96,4000,102,127.33,9
71,-270.86,200.62,8000,104,57.66,7
72,-171.22,-268.57,16000,103,89.12,8
73,133.07,-276.34,4000,102,99.24,8
74,10.69,471.47,8000,104,362.88,10
75,46.11,219.27,16000,100,214.86,9
76,-28.52,92.54,3200,101,111.11,8
77,-49.08,-163.65,3200,101,164.99,9
78,-65.49,-496.77,8000,103,163.01,9
79,98.48,333.24,16000,100,239.43,9
80,175.48,-17.05,8000,101,162.92,9
81,-195.04,212.09,16000,104,31.82,7
82,121.82,-459.14,8000,102,143.51,9
83,195.98,173.94,4000,100,59.06,7
84,-152.88,-315.38,4000,103,38.92,7
85,127.16,230.73,8000,100,147.54,9
86,240.44,-297.79,3200,102,191.75,9
87,184.76,153.13,8000,100,63.84,8
88,32.44,-412.36,8000,102,81.07,8
89,377.38,186.12,16000,100,135.10,9
90,-388.72,-138.40,4000,103,327.04,10
91,93.21,166.56,8000,100,156.33,9
92,275.77,-211.62,8000,102,254.83,10
93,-310.25,484.36,16000,104,312.17,10
94,327.39,-168.52,16000,102,321.06,10
95,-63.50,458.64,3200,104,310.80,10
96,264.87,199.08,16000,100,55.20,7
97,185.79,-116.17,3200,101,202.73,9
98,443.05,416.27,3200,100,332.81,10
99,-296.45,293.66,4000,104,134.21,9
