ID,X,Y,Channel,UF,Connected EDs
102,-380.19,121.02,0,0.00,23
100,156.44,227.45,1,0.01,46
101,3.07,-391.63,2,0.00,31
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3600,100,380.39,10
1,298.44,411.65,3600,100,232.58,9
2,-164.78,268.23,3600,102,260.91,10
3,53.97,-22.60,3600,100,270.23,10
4,-135.22,13.40,3600,102,267.57,10
5,416.20,135.71,3600,100,275.48,10
6,-358.40,106.97,3600,102,25.93,7
7,-257.11,-362.77,3600,101,261.78,10
8,-343.32,-99.06,3600,102,223.14,9
9,-391.19,498.92,3600,102,378.07,10
10,12.93,339.11,3600,100,181.83,9
11,-203.97,137.55,3600,102,177.00,9
12,-6.42,472.78,3600,100,294.46,10
13,271.36,26.74,3600,100,231.27,9
14,-99.77,391.53,3600,100,304.25,10
15,-147.54,307.72,3600,102,298.30,10
16,-430.24,449.33,3600,102,332.10,10
17,-413.94,-307.79,3600,101,425.36,10
18,390.23,-151.11,3600,100,444.93,10
19,-479.98,-42.30,3600,102,191.39,9
20,-261.72,470.63,3600,102,369.14,10
21,350.92,-233.33,3600,101,382.17,10
22,-124.79,260.25,3600,100,283.14,10
23,167.72,31.61,3600,100,196.17,9
24,-62.36,431.84,3600,100,299.41,10
25,220.95,-215.71,3600,101,280.04,10
26,139.98,-145.95,3600,101,281.25,10
27,-334.03,-59.90,3600,102,186.71,9
28,329.20,-169.66,3600,101,394.50,10
29,393.37,-149.64,3600,100,445.35,10
30,456.47,88.64,3600,100,330.58,10
31,358.68,-60.44,3600,100,351.82,10
32,-101.56,314.77,3600,100,272.38,10
33,410.97,-17.51,3600,100,353.26,10
34,450.25,420.13,3600,100,351.36,10
35,381.06,141.08,3600,100,240.66,9
36,119.60,-218.94,3600,101,208.33,9
37,-192.54,-52.97,3600,102,255.90,10
38,-312.47,-223.77,3600,102,351.37,10
39,-83.50,-330.39,3600,101,106.04,8
40,-396.83,-373.92,3600,101,400.29,10
41,260.48,484.75,3600,100,277.54,10
42,184.45,-116.81,3600,101,329.27,10
43,-131.34,-205.84,3600,101,229.31,9
44,84.49,-255.59,3600,101,158.54,9
45,232.15,-374.53,3600,101,229.72,9
46,-335.90,245.07,3600,102,131.72,9
47,450.10,-447.47,3600,101,450.51,10
48,-323.79,-259.94,3600,101,352.39,10
49,232.65,156.56,3600,100,104.08,8
50,139.46,259.73,3600,100,36.48,7
51,-365.10,20.21,3600,102,101.93,8
52,-430.09,-295.34,3600,102,419.34,10
53,319.68,73.32,3600,100,224.51,9
54,-448.06,-342.19,900,101,453.83,10
55,-295.67,389.96,3600,102,281.91,10
56,497.80,-445.94,3600,101,497.70,10
57,-427.67,-495.84,3600,101,443.17,10
58,93.89,-319.63,3600,101,115.90,8
59,-108.31,413.03,3600,100,323.31,10
60,-140.90,52.49,3600,102,248.91,9
61,-47.42,187.39,3600,100,207.76,9
62,30.81,257.29,3600,100,129.13,9
63,492.23,76.97,3600,100,367.97,10
64,247.81,128.91,3600,100,134.38,9
65,247.80,333.24,3600,100,139.78,9
66,373.27,331.04,1800,100,240.31,9
67,243.81,403.37,900,100,196.42,9
68,166.88,-2.74,3600,100,230.43,9
69,330.01,388.95,3600,100,237.09,9
70,149.71,-251.96,3600,101,202.51,9
71,-270.86,200.62,3600,102,135.24,9
72,-171.22,-268.57,3600,101,213.36,9
73,133.07,-276.34,3600,101,173.76,9
74,10.69,471.47,3600,100,284.23,10
75,46.11,219.27,3600,100,110.63,8
76,-28.52,92.54,3600,100,228.93,9
77,-49.08,-163.65,3600,101,233.87,9
78,-65.49,-496.77,3600,101,125.52,9
79,98.48,333.24,3600,100,120.63,8
80,175.48,-17.05,3600,100,245.24,9
81,-195.04,212.09,3600,102,206.33,9
82,121.82,-459.14,3600,101,136.60,9
83,195.98,173.94,3600,100,66.54,8
84,-152.88,-315.38,3600,101,173.60,9
85,127.16,230.73,3600,100,29.46,7
86,240.44,-297.79,3600,101,255.24,10
87,184.76,153.13,3600,100,79.53,8
88,32.44,-412.36,3600,101,35.95,7
89,377.38,186.12,3600,100,224.78,9
90,-388.72,-138.40,3600,102,259.56,10
91,93.21,166.56,3600,100,87.78,8
92,275.77,-211.62,3600,101,326.75,10
93,-310.25,484.36,3600,102,370.02,10
94,327.39,-168.52,3600,101,393.65,10
95,-63.50,458.64,3600,100,319.10,10
96,264.87,199.08,3600,100,112.08,8
97,185.79,-116.17,3600,101,330.55,10
98,443.05,416.27,3600,100,343.22,10
99,-296.45,293.66,3600,102,191.88,9
