ID,X,Y,Channel,UF,Connected EDs
119,-266.58,383.45,0,0.00,4
112,-418.58,221.40,1,0.00,1
101,-438.32,388.95,2,0.00,2
104,-181.84,124.79,3,0.01,5
103,-70.94,367.69,4,0.01,13
113,-417.96,17.20,5,0.00,2
100,-334.49,-23.79,6,0.00,2
102,-14.37,102.03,2,0.00,5
120,-451.61,-41.48,4,0.00,1
105,-316.84,-156.62,7,0.00,4
118,-29.31,-164.34,1,0.00,2
111,140.73,-78.29,5,0.01,7
110,268.34,398.55,1,0.01,6
109,272.34,92.94,6,0.01,8
107,-367.93,-395.02,2,0.01,6
106,-94.48,-372.54,3,0.00,5
116,429.50,366.82,2,0.00,3
108,153.25,-301.83,4,0.01,9
117,337.86,-149.51,7,0.01,8
114,446.66,56.38,3,0.01,5
115,419.96,-405.44,0,0.00,2
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,320,117,43.96,7
1,298.44,411.65,1600,110,32.82,7
2,-164.78,268.23,800,103,136.74,9
3,53.97,-22.60,400,111,103.09,8
4,-135.22,13.40,320,104,120.75,8
5,416.20,135.71,400,114,84.98,8
6,-358.40,106.97,1600,113,107.73,8
7,-257.11,-362.77,320,107,115.41,8
8,-343.32,-99.06,1600,105,63.37,8
9,-391.19,498.92,1600,101,119.64,8
10,12.93,339.11,400,103,88.60,8
11,-203.97,137.55,400,104,25.55,7
12,-6.42,472.78,800,103,123.31,8
13,271.36,26.74,320,109,66.20,8
14,-99.77,391.53,800,103,37.42,7
15,-147.54,307.72,320,103,97.28,8
16,-430.24,449.33,400,101,60.91,7
17,-413.94,-307.79,400,107,98.63,8
18,390.23,-151.11,1600,117,52.40,7
19,-479.98,-42.30,1600,120,28.38,7
20,-261.72,470.63,320,119,87.32,8
21,350.92,-233.33,400,117,84.83,8
22,-124.79,260.25,400,103,120.18,8
23,167.72,31.61,1600,111,113.16,8
24,-62.36,431.84,320,103,64.72,8
25,220.95,-215.71,400,108,109.54,8
26,139.98,-145.95,400,111,67.67,8
27,-334.03,-59.90,320,100,36.11,7
28,329.20,-169.66,1600,117,21.93,7
29,393.37,-149.64,400,117,55.51,7
30,456.47,88.64,400,114,33.72,7
31,358.68,-60.44,320,117,91.47,8
32,-101.56,314.77,400,103,61.14,7
33,410.97,-17.51,1600,114,82.06,8
34,450.25,420.13,1600,116,57.20,7
35,381.06,141.08,800,114,107.13,8
36,119.60,-218.94,320,108,89.46,8
37,-192.54,-52.97,1600,100,144.92,9
38,-312.47,-223.77,400,105,67.28,8
39,-83.50,-330.39,320,106,43.56,7
40,-396.83,-373.92,800,107,35.78,7
41,260.48,484.75,320,110,86.56,8
42,184.45,-116.81,400,111,58.27,7
43,-131.34,-205.84,1600,118,110.15,8
44,84.49,-255.59,1600,108,82.86,8
45,232.15,-374.53,320,108,107.28,8
46,-335.90,245.07,1600,112,86.00,8
47,450.10,-447.47,400,115,51.72,7
48,-323.79,-259.94,320,105,103.55,8
49,232.65,156.56,320,109,74.99,8
50,139.46,259.73,1600,110,189.42,9
51,-365.10,20.21,1600,113,52.95,7
52,-430.09,-295.34,800,107,117.47,8
53,319.68,73.32,320,109,51.24,7
54,-448.06,-342.19,320,107,95.98,8
55,-295.67,389.96,1600,119,29.81,7
56,497.80,-445.94,320,115,87.75,8
57,-427.67,-495.84,320,107,117.19,8
58,93.89,-319.63,1600,108,61.97,7
59,-108.31,413.03,320,103,58.76,7
60,-140.90,52.49,400,104,83.09,8
61,-47.42,187.39,1600,102,91.54,8
62,30.81,257.29,800,103,150.13,9
63,492.23,76.97,320,114,50.00,7
64,247.81,128.91,1600,109,43.54,7
65,247.80,333.24,320,110,68.47,8
66,373.27,331.04,320,116,66.65,8
67,243.81,403.37,320,110,25.00,7
68,166.88,-2.74,1600,111,79.94,8
69,330.01,388.95,1600,110,62.41,7
70,149.71,-251.96,400,108,50.00,7
71,-270.86,200.62,800,104,116.94,8
72,-171.22,-268.57,1600,106,129.22,9
73,133.07,-276.34,400,108,32.51,7
74,10.69,471.47,800,103,132.03,9
75,46.11,219.27,1600,102,131.92,9
76,-28.52,92.54,320,102,17.04,7
77,-49.08,-163.65,320,118,19.79,7
78,-65.49,-496.77,800,106,127.57,9
79,98.48,333.24,1600,103,172.88,9
80,175.48,-17.05,800,111,70.41,8
81,-195.04,212.09,1600,104,88.29,8
82,121.82,-459.14,800,108,160.42,9
83,195.98,173.94,400,109,111.31,8
84,-152.88,-315.38,400,106,81.72,8
85,127.16,230.73,800,102,191.29,9
86,240.44,-297.79,320,108,87.28,8
87,184.76,153.13,800,109,106.27,8
88,32.44,-412.36,800,106,133.02,9
89,377.38,186.12,1600,109,140.42,9
90,-388.72,-138.40,400,105,74.16,8
91,93.21,166.56,800,102,125.44,9
92,275.77,-211.62,800,117,87.82,8
93,-310.25,484.36,1600,119,109.95,8
94,327.39,-168.52,1600,117,21.70,7
95,-63.50,458.64,320,103,91.25,8
96,264.87,199.08,1600,109,106.40,8
97,185.79,-116.17,320,111,58.87,7
98,443.05,416.27,320,116,51.28,7
99,-296.45,293.66,400,119,94.63,8
