ID,X,Y,Channel,UF,Connected EDs
126,-290.46,256.65,0,0.00,3
118,-264.66,355.20,1,0.00,2
106,-341.26,379.11,2,0.00,1
155,-209.17,207.72,3,0.00,3
138,-470.99,287.79,4,0.00,0
114,-430.31,418.86,5,0.00,2
152,-96.74,336.09,6,0.01,5
149,-455.72,116.93,7,0.00,1
146,-129.57,471.17,8,0.00,0
128,-128.34,82.09,9,0.00,2
125,-56.57,433.86,7,0.00,2
154,-46.99,439.23,10,0.00,3
120,4.35,72.06,4,0.00,2
143,-453.53,-63.44,6,0.00,1
136,-480.44,-52.46,8,0.00,1
122,-310.51,-119.72,5,0.00,4
135,83.35,463.56,5,0.00,1
153,-23.08,-48.49,2,0.00,0
105,115.45,134.07,11,0.00,6
145,-486.78,-111.57,1,0.00,0
133,-227.69,-184.57,10,0.00,0
123,99.52,-10.10,1,0.00,1
132,-192.72,-216.04,12,0.00,1
141,89.65,-82.72,7,0.00,0
119,243.51,285.26,12,0.00,2
116,87.61,-120.85,8,0.00,0
115,-92.62,-237.10,13,0.00,4
121,268.80,394.11,2,0.00,4
127,151.46,-81.76,14,0.00,0
124,-301.07,-296.93,3,0.00,3
137,219.92,-2.46,15,0.00,4
151,114.96,-139.48,6,0.00,1
130,35.62,-211.99,16,0.00,0
100,315.90,169.01,3,0.00,4
144,126.58,-184.44,17,0.00,2
148,75.72,-227.64,18,0.00,3
112,208.00,-147.67,5,0.00,2
139,224.58,-161.54,19,0.00,4
150,394.92,202.41,9,0.00,2
111,-370.72,-412.30,2,0.00,0
142,-428.02,-405.00,4,0.01,5
109,437.08,320.98,6,0.00,3
131,433.61,181.61,10,0.00,1
102,450.34,240.85,8,0.00,0
140,382.08,-64.38,13,0.00,2
104,-97.81,-451.43,9,0.00,1
134,-122.56,-458.89,1,0.00,0
129,482.61,280.69,4,0.00,0
113,457.03,56.46,20,0.00,2
117,-190.36,-494.41,11,0.00,0
107,419.67,-65.46,21,0.00,1
147,-120.79,-496.82,15,0.00,1
110,276.61,-295.44,10,0.00,2
108,200.61,-417.09,3,0.00,2
103,466.81,-148.48,22,0.00,2
101,487.80,-382.58,0,0.00,2
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,320,140,58.79,7
1,298.44,411.65,1600,121,34.44,7
2,-164.78,268.23,800,155,75.05,8
3,53.97,-22.60,400,123,47.23,7
4,-135.22,13.40,320,128,69.03,8
5,416.20,135.71,400,131,49.09,7
6,-358.40,106.97,1600,149,97.83,8
7,-257.11,-362.77,320,124,79.16,8
8,-343.32,-99.06,1600,122,38.78,7
9,-391.19,498.92,1600,114,89.11,8
10,12.93,339.11,400,152,109.71,8
11,-203.97,137.55,400,155,70.36,8
12,-6.42,472.78,800,154,52.64,7
13,271.36,26.74,320,137,59.15,7
14,-99.77,391.53,800,152,55.53,7
15,-147.54,307.72,320,152,58.18,7
16,-430.24,449.33,400,114,30.47,7
17,-413.94,-307.79,400,142,98.23,8
18,390.23,-151.11,1600,103,76.62,8
19,-479.98,-42.30,1600,136,10.17,7
20,-261.72,470.63,320,118,115.47,8
21,350.92,-233.33,400,110,96.85,8
22,-124.79,260.25,400,152,80.86,8
23,167.72,31.61,1600,137,62.33,7
24,-62.36,431.84,320,125,6.13,7
25,220.95,-215.71,400,139,54.29,7
26,139.98,-145.95,400,151,25.84,7
27,-334.03,-59.90,320,122,64.28,8
28,329.20,-169.66,1600,139,104.94,8
29,393.37,-149.64,400,103,73.45,8
30,456.47,88.64,400,113,32.19,7
31,358.68,-60.44,320,140,23.74,7
32,-101.56,314.77,400,152,21.86,7
33,410.97,-17.51,1600,107,48.73,7
34,450.25,420.13,1600,109,100.01,8
35,381.06,141.08,800,150,62.87,8
36,119.60,-218.94,320,144,35.20,7
37,-192.54,-52.97,1600,122,135.54,9
38,-312.47,-223.77,400,124,74.05,8
39,-83.50,-330.39,320,115,93.74,8
40,-396.83,-373.92,800,142,44.03,7
41,260.48,484.75,320,121,91.02,8
42,184.45,-116.81,400,112,38.82,7
43,-131.34,-205.84,1600,115,49.76,7
44,84.49,-255.59,1600,148,29.29,7
45,232.15,-374.53,320,108,52.98,7
46,-335.90,245.07,1600,126,46.89,7
47,450.10,-447.47,400,101,75.04,8
48,-323.79,-259.94,320,124,43.42,7
49,232.65,156.56,320,100,84.17,8
50,139.46,259.73,1600,119,107.14,8
51,-365.10,20.21,1600,143,121.73,8
52,-430.09,-295.34,800,142,109.67,8
53,319.68,73.32,320,100,95.77,8
54,-448.06,-342.19,320,142,65.93,8
55,-295.67,389.96,1600,118,46.58,7
56,497.80,-445.94,320,101,64.15,8
57,-427.67,-495.84,320,142,90.84,8
58,93.89,-319.63,1600,148,93.77,8
59,-108.31,413.03,320,125,55.78,7
60,-140.90,52.49,400,128,32.16,7
61,-47.42,187.39,1600,120,126.42,9
62,30.81,257.29,800,105,149.50,9
63,492.23,76.97,320,113,40.74,7
64,247.81,128.91,1600,100,79.03,8
65,247.80,333.24,320,119,48.17,7
66,373.27,331.04,320,109,64.60,8
67,243.81,403.37,320,121,26.65,7
68,166.88,-2.74,1600,137,53.04,7
69,330.01,388.95,1600,121,61.43,7
70,149.71,-251.96,400,144,71.37,8
71,-270.86,200.62,800,126,59.36,7
72,-171.22,-268.57,1600,132,56.76,7
73,133.07,-276.34,400,148,75.24,8
74,10.69,471.47,800,154,66.07,8
75,46.11,219.27,1600,105,109.86,8
76,-28.52,92.54,320,120,38.72,7
77,-49.08,-163.65,320,115,85.38,8
78,-65.49,-496.77,800,147,55.30,7
79,98.48,333.24,1600,135,131.19,9
80,175.48,-17.05,800,137,46.78,7
81,-195.04,212.09,1600,155,14.79,7
82,121.82,-459.14,800,108,89.30,8
83,195.98,173.94,400,105,89.86,8
84,-152.88,-315.38,400,115,98.79,8
85,127.16,230.73,800,105,97.37,8
86,240.44,-297.79,320,110,36.25,7
87,184.76,153.13,800,105,71.88,8
88,32.44,-412.36,800,104,135.99,9
89,377.38,186.12,1600,150,23.93,7
90,-388.72,-138.40,400,122,80.42,8
91,93.21,166.56,800,105,39.37,7
92,275.77,-211.62,800,139,71.62,8
93,-310.25,484.36,1600,106,109.73,8
94,327.39,-168.52,1600,139,103.05,8
95,-63.50,458.64,320,154,25.48,7
96,264.87,199.08,1600,100,59.23,7
97,185.79,-116.17,320,112,38.55,7
98,443.05,416.27,320,109,95.48,8
99,-296.45,293.66,400,126,37.49,7
