ID,X,Y,Channel,UF,Connected EDs
20006,-194.59,4.26,0,0.29,2972
20003,-370.95,304.90,1,0.27,2844
20000,-319.14,-338.33,2,0.29,2976
20005,17.94,-192.73,3,0.28,3003
20002,169.59,393.50,4,0.25,2655
20004,395.99,232.95,5,0.27,2790
20001,403.97,-371.90,1,0.26,2760
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3200,20001,273.81,10
1,298.44,411.65,16000,20002,130.12,9
2,-164.78,268.23,8000,20003,209.41,9
3,53.97,-22.60,4000,20005,173.90,9
4,-135.22,13.40,3200,20006,60.08,7
5,416.20,135.71,4000,20004,99.32,8
6,-358.40,106.97,16000,20006,193.34,9
7,-257.11,-362.77,3200,20000,66.67,8
8,-343.32,-99.06,16000,20006,181.09,9
9,-391.19,498.92,16000,20003,195.08,9
10,12.93,339.11,4000,20002,165.83,9
11,-203.97,137.55,4000,20006,133.62,9
12,-6.42,472.78,8000,20002,193.04,9
13,271.36,26.74,3200,20004,240.95,9
14,-99.77,391.53,8000,20002,269.37,10
15,-147.54,307.72,3200,20003,223.43,9
16,-430.24,449.33,4000,20003,156.12,9
17,-413.94,-307.79,4000,20000,99.60,8
18,390.23,-151.11,16000,20001,221.22,9
19,-479.98,-42.30,16000,20006,289.16,10
20,-261.72,470.63,3200,20003,198.49,9
21,350.92,-233.33,4000,20001,148.37,9
22,-124.79,260.25,4000,20003,250.18,10
23,167.72,31.61,16000,20005,269.74,10
24,-62.36,431.84,3200,20002,235.10,9
25,220.95,-215.71,4000,20005,204.31,9
26,139.98,-145.95,4000,20005,130.70,9
27,-334.03,-59.90,3200,20006,153.48,9
28,329.20,-169.66,16000,20001,215.61,9
29,393.37,-149.64,4000,20001,222.51,9
30,456.47,88.64,4000,20004,156.47,9
31,358.68,-60.44,3200,20004,295.76,10
32,-101.56,314.77,4000,20003,269.57,10
33,410.97,-17.51,16000,20004,250.91,10
34,450.25,420.13,16000,20004,194.88,9
35,381.06,141.08,8000,20004,93.08,8
36,119.60,-218.94,3200,20005,104.99,8
37,-192.54,-52.97,16000,20006,57.27,7
38,-312.47,-223.77,4000,20000,114.76,8
39,-83.50,-330.39,3200,20005,171.00,9
40,-396.83,-373.92,8000,20000,85.46,8
41,260.48,484.75,3200,20002,128.79,9
42,184.45,-116.81,4000,20005,183.00,9
43,-131.34,-205.84,16000,20005,149.85,9
44,84.49,-255.59,16000,20005,91.55,8
45,232.15,-374.53,3200,20001,171.84,9
46,-335.90,245.07,16000,20003,69.34,8
47,450.10,-447.47,4000,20001,88.54,8
48,-323.79,-259.94,3200,20000,78.53,8
49,232.65,156.56,3200,20004,180.32,9
50,139.46,259.73,16000,20002,137.12,9
51,-365.10,20.21,16000,20006,171.25,9
52,-430.09,-295.34,8000,20000,118.99,8
53,319.68,73.32,3200,20004,176.94,9
54,-448.06,-342.19,3200,20000,128.98,9
55,-295.67,389.96,16000,20003,113.58,8
56,497.80,-445.94,3200,20001,119.53,8
57,-427.67,-495.84,3200,20000,191.28,9
58,93.89,-319.63,16000,20005,147.90,9
59,-108.31,413.03,3200,20002,278.59,10
60,-140.90,52.49,4000,20006,72.17,8
61,-47.42,187.39,16000,20006,234.93,9
62,30.81,257.29,8000,20002,194.46,9
63,492.23,76.97,3200,20004,183.28,9
64,247.81,128.91,16000,20004,181.06,9
65,247.80,333.24,3200,20002,98.73,8
66,373.27,331.04,3200,20004,100.68,8
67,243.81,403.37,3200,20002,74.87,8
68,166.88,-2.74,16000,20005,241.41,9
69,330.01,388.95,16000,20002,160.48,9
70,149.71,-251.96,4000,20005,144.47,9
71,-270.86,200.62,8000,20003,144.54,9
72,-171.22,-268.57,16000,20000,163.54,9
73,133.07,-276.34,4000,20005,142.30,9
74,10.69,471.47,8000,20002,177.00,9
75,46.11,219.27,16000,20002,213.55,9
76,-28.52,92.54,3200,20006,188.08,9
77,-49.08,-163.65,3200,20005,73.05,8
78,-65.49,-496.77,8000,20000,299.07,10
79,98.48,333.24,16000,20002,93.21,8
80,175.48,-17.05,8000,20005,235.97,9
81,-195.04,212.09,16000,20003,198.89,9
82,121.82,-459.14,8000,20005,285.95,10
83,195.98,173.94,4000,20004,208.53,9
84,-152.88,-315.38,4000,20000,167.83,9
85,127.16,230.73,8000,20002,168.21,9
86,240.44,-297.79,3200,20001,179.54,9
87,184.76,153.13,8000,20004,225.81,9
88,32.44,-412.36,8000,20005,220.11,9
89,377.38,186.12,16000,20004,50.39,7
90,-388.72,-138.40,4000,20000,211.69,9
91,93.21,166.56,8000,20002,239.45,9
92,275.77,-211.62,8000,20001,205.24,9
93,-310.25,484.36,16000,20003,189.45,9
94,327.39,-168.52,16000,20001,217.32,9
95,-63.50,458.64,3200,20002,242.03,9
96,264.87,199.08,16000,20004,135.43,9
97,185.79,-116.17,3200,20005,184.48,9
98,443.05,416.27,3200,20004,189.27,9
99,-296.45,293.66,4000,20003,75.35,8
100,-202.71,404.93,3200,20003,195.73,9
