ID,X,Y,Channel,UF,Connected EDs
20004,-326.26,8.54,0,0.34,2254
20000,-381.46,-326.12,1,0.34,2239
20002,-339.47,360.90,2,0.31,2051
20005,-35.23,-127.60,3,0.25,1674
20007,-28.03,271.52,4,0.34,2287
20009,134.14,-45.89,5,0.21,1403
20008,43.47,-371.71,6,0.29,1912
20001,304.81,72.46,7,0.28,1884
20006,318.33,363.92,8,0.31,2051
20003,361.75,-274.05,9,0.34,2245
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3600,20003,169.80,9
1,298.44,411.65,3600,20006,51.70,7
2,-164.78,268.23,3600,20007,136.79,9
3,53.97,-22.60,3600,20009,83.49,8
4,-135.22,13.40,3600,20005,172.86,9
5,416.20,135.71,3600,20001,128.09,9
6,-358.40,106.97,3600,20004,103.54,8
7,-257.11,-362.77,3600,20000,129.64,9
8,-343.32,-99.06,3600,20004,108.94,8
9,-391.19,498.92,3600,20002,147.40,9
10,12.93,339.11,3600,20007,79.03,8
11,-203.97,137.55,3600,20004,177.76,9
12,-6.42,472.78,3600,20007,202.41,9
13,271.36,26.74,3600,20001,56.65,7
14,-99.77,391.53,3600,20007,139.82,9
15,-147.54,307.72,3600,20007,124.88,8
16,-430.24,449.33,3600,20002,126.73,9
17,-413.94,-307.79,3600,20000,37.30,7
18,390.23,-151.11,3600,20003,126.20,9
19,-479.98,-42.30,3600,20004,161.90,9
20,-261.72,470.63,3600,20002,134.49,9
21,350.92,-233.33,3600,20003,42.13,7
22,-124.79,260.25,3600,20007,97.42,8
23,167.72,31.61,3600,20009,84.46,8
24,-62.36,431.84,3600,20007,163.95,9
25,220.95,-215.71,3600,20003,152.40,9
26,139.98,-145.95,3600,20009,100.23,8
27,-334.03,-59.90,3600,20004,68.88,8
28,329.20,-169.66,3600,20003,109.34,8
29,393.37,-149.64,3600,20003,128.36,9
30,456.47,88.64,3600,20001,152.51,9
31,358.68,-60.44,3600,20001,143.40,9
32,-101.56,314.77,3600,20007,85.31,8
33,410.97,-17.51,3600,20001,139.16,9
34,450.25,420.13,3600,20006,143.40,9
35,381.06,141.08,3600,20001,102.58,8
36,119.60,-218.94,3600,20008,170.69,9
37,-192.54,-52.97,3600,20004,147.19,9
38,-312.47,-223.77,3600,20000,123.44,8
39,-83.50,-330.39,3600,20008,133.53,9
40,-396.83,-373.92,3600,20000,50.22,7
41,260.48,484.75,3600,20006,133.96,9
42,184.45,-116.81,3600,20009,86.95,8
43,-131.34,-205.84,3600,20005,123.92,8
44,84.49,-255.59,3600,20008,123.15,8
45,232.15,-374.53,3600,20003,163.99,9
46,-335.90,245.07,3600,20002,115.88,8
47,450.10,-447.47,3600,20003,194.64,9
48,-323.79,-259.94,3600,20000,87.78,8
49,232.65,156.56,3600,20001,110.81,8
50,139.46,259.73,3600,20007,167.90,9
51,-365.10,20.21,3600,20004,40.55,7
52,-430.09,-295.34,3600,20000,57.55,7
53,319.68,73.32,3600,20001,14.89,7
54,-448.06,-342.19,900,20000,68.51,8
55,-295.67,389.96,3600,20002,52.56,7
56,497.80,-445.94,3600,20003,219.22,9
57,-427.67,-495.84,3600,20000,175.90,9
58,93.89,-319.63,3600,20008,72.49,8
59,-108.31,413.03,3600,20007,162.69,9
60,-140.90,52.49,3600,20004,190.50,9
61,-47.42,187.39,3600,20007,86.34,8
62,30.81,257.29,3600,20007,60.53,7
63,492.23,76.97,3600,20001,187.47,9
64,247.81,128.91,3600,20001,80.22,8
65,247.80,333.24,3600,20006,76.91,8
66,373.27,331.04,1800,20006,64.03,8
67,243.81,403.37,900,20006,84.31,8
68,166.88,-2.74,3600,20009,54.16,7
69,330.01,388.95,3600,20006,27.62,7
70,149.71,-251.96,3600,20008,160.08,9
71,-270.86,200.62,3600,20002,174.34,9
72,-171.22,-268.57,3600,20005,195.87,9
73,133.07,-276.34,3600,20008,130.85,9
74,10.69,471.47,3600,20007,203.66,9
75,46.11,219.27,3600,20007,90.70,8
76,-28.52,92.54,3600,20007,178.98,9
77,-49.08,-163.65,3600,20005,38.61,7
78,-65.49,-496.77,3600,20008,165.87,9
79,98.48,333.24,3600,20007,140.76,9
80,175.48,-17.05,3600,20009,50.40,7
81,-195.04,212.09,3600,20007,177.28,9
82,121.82,-459.14,3600,20008,117.40,8
83,195.98,173.94,3600,20001,148.80,9
84,-152.88,-315.38,3600,20008,204.28,9
85,127.16,230.73,3600,20007,160.46,9
86,240.44,-297.79,3600,20003,123.61,8
87,184.76,153.13,3600,20001,144.64,9
88,32.44,-412.36,3600,20008,42.12,7
89,377.38,186.12,3600,20001,134.85,9
90,-388.72,-138.40,3600,20004,159.67,9
91,93.21,166.56,3600,20007,160.36,9
92,275.77,-211.62,3600,20003,106.25,8
93,-310.25,484.36,3600,20002,126.88,9
94,327.39,-168.52,3600,20003,110.98,8
95,-63.50,458.64,3600,20007,190.45,9
96,264.87,199.08,3600,20001,132.76,9
97,185.79,-116.17,3600,20009,87.21,8
98,443.05,416.27,3600,20006,135.26,9
99,-296.45,293.66,3600,20002,79.82,8
100,-202.71,404.93,3600,20002,143.67,9
