ID,X,Y,Channel,UF,Connected EDs
20012,-420.62,0.16,0,0.06,416
20007,-376.90,-43.01,1,0.21,1416
20009,-379.81,161.84,2,0.21,1416
20013,-252.44,173.79,3,0.31,2044
20001,-92.54,-79.35,4,0.20,1347
20011,-24.58,-159.94,5,0.28,1845
20000,-248.44,-474.29,6,0.18,1185
20005,-276.36,-497.00,7,0.11,686
20002,79.66,238.80,8,0.31,2068
20006,186.75,184.85,9,0.19,1253
20010,234.47,213.65,10,0.27,1836
20008,111.94,-478.81,11,0.14,901
20003,242.01,-484.84,12,0.22,1407
20004,416.63,-81.17,13,0.32,2180
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3600,20004,80.26,8
1,298.44,411.65,3600,20010,208.08,9
2,-164.78,268.23,3600,20013,128.85,9
3,53.97,-22.60,3600,20001,157.12,9
4,-135.22,13.40,3600,20001,102.10,8
5,416.20,135.71,3600,20010,197.74,9
6,-358.40,106.97,3600,20009,58.90,7
7,-257.11,-362.77,3600,20000,111.85,8
8,-343.32,-99.06,3600,20007,65.33,8
9,-391.19,498.92,3600,20009,337.27,10
10,12.93,339.11,3600,20002,120.48,8
11,-203.97,137.55,3600,20013,60.52,7
12,-6.42,472.78,3600,20002,249.31,9
13,271.36,26.74,3600,20006,179.32,9
14,-99.77,391.53,3600,20002,235.63,9
15,-147.54,307.72,3600,20013,170.12,9
16,-430.24,449.33,3600,20009,291.87,10
17,-413.94,-307.79,3600,20005,233.95,9
18,390.23,-151.11,3600,20004,74.75,8
19,-479.98,-42.30,3600,20012,72.98,8
20,-261.72,470.63,3600,20013,296.99,10
21,350.92,-233.33,3600,20004,165.75,9
22,-124.79,260.25,3600,20013,154.17,9
23,167.72,31.61,3600,20006,154.42,9
24,-62.36,431.84,3600,20002,239.65,9
25,220.95,-215.71,3600,20004,237.47,9
26,139.98,-145.95,3600,20011,165.15,9
27,-334.03,-59.90,3600,20007,46.07,7
28,329.20,-169.66,3600,20004,124.40,8
29,393.37,-149.64,3600,20004,72.31,8
30,456.47,88.64,3600,20004,174.42,9
31,358.68,-60.44,3600,20004,61.55,7
32,-101.56,314.77,3600,20002,196.50,9
33,410.97,-17.51,3600,20004,63.91,8
34,450.25,420.13,3600,20010,298.66,10
35,381.06,141.08,3600,20010,163.57,9
36,119.60,-218.94,3600,20011,155.78,9
37,-192.54,-52.97,3600,20001,103.42,8
38,-312.47,-223.77,3600,20007,191.89,9
39,-83.50,-330.39,3600,20011,180.35,9
40,-396.83,-373.92,3600,20005,172.22,9
41,260.48,484.75,3600,20010,272.35,10
42,184.45,-116.81,3600,20011,213.43,9
43,-131.34,-205.84,3600,20011,116.21,8
44,84.49,-255.59,3600,20011,145.06,9
45,232.15,-374.53,3600,20003,110.76,8
46,-335.90,245.07,3600,20009,94.10,8
47,450.10,-447.47,3600,20003,211.43,9
48,-323.79,-259.94,3600,20007,223.33,9
49,232.65,156.56,3600,20006,53.92,7
50,139.46,259.73,3600,20002,63.35,8
51,-365.10,20.21,3600,20012,59.03,7
52,-430.09,-295.34,3600,20005,253.57,10
53,319.68,73.32,3600,20010,164.18,9
54,-448.06,-342.19,900,20005,231.19,9
55,-295.67,389.96,3600,20013,220.44,9
56,497.80,-445.94,3600,20003,258.73,10
57,-427.67,-495.84,3600,20005,151.32,9
58,93.89,-319.63,3600,20008,160.20,9
59,-108.31,413.03,3600,20002,256.30,10
60,-140.90,52.49,3600,20001,140.43,9
61,-47.42,187.39,3600,20002,137.09,9
62,30.81,257.29,3600,20002,52.24,7
63,492.23,76.97,3600,20004,175.28,9
64,247.81,128.91,3600,20006,82.81,8
65,247.80,333.24,3600,20010,120.33,8
66,373.27,331.04,1800,20010,181.79,9
67,243.81,403.37,900,20010,189.95,9
68,166.88,-2.74,3600,20006,188.64,9
69,330.01,388.95,3600,20010,199.65,9
70,149.71,-251.96,3600,20011,197.08,9
71,-270.86,200.62,3600,20013,32.54,7
72,-171.22,-268.57,3600,20011,182.50,9
73,133.07,-276.34,3600,20011,195.97,9
74,10.69,471.47,3600,20002,242.68,9
75,46.11,219.27,3600,20002,38.83,7
76,-28.52,92.54,3600,20002,181.92,9
77,-49.08,-163.65,3600,20011,24.78,7
78,-65.49,-496.77,3600,20008,178.33,9
79,98.48,333.24,3600,20002,96.30,8
80,175.48,-17.05,3600,20006,202.22,9
81,-195.04,212.09,3600,20013,69.00,8
82,121.82,-459.14,3600,20008,22.02,7
83,195.98,173.94,3600,20006,14.30,7
84,-152.88,-315.38,3600,20000,185.43,9
85,127.16,230.73,3600,20002,48.18,7
86,240.44,-297.79,3600,20003,187.06,9
87,184.76,153.13,3600,20006,31.78,7
88,32.44,-412.36,3600,20008,103.62,8
89,377.38,186.12,3600,20010,145.54,9
