ID,X,Y,Channel,UF,Connected EDs
20011,-459.70,2.05,0,0.17,174
20031,-424.46,-84.97,1,0.24,234
20041,-363.13,27.12,2,0.19,210
20046,-351.41,-80.46,3,0.20,205
20003,-438.79,107.69,4,0.26,274
20048,-293.88,-36.88,5,0.26,262
20056,-296.39,125.86,6,0.31,336
20024,-406.34,-203.71,4,0.37,358
20035,-428.39,210.61,1,0.22,232
20060,-221.48,-116.30,6,0.24,254
20016,-297.36,227.65,3,0.30,306
20007,-249.45,-210.83,2,0.24,263
20057,-161.54,90.39,1,0.32,327
20058,-389.70,-300.43,5,0.20,209
20059,-450.52,294.65,2,0.30,309
20038,-317.33,-302.25,7,0.20,216
20027,-154.92,-159.86,1,0.21,224
20018,-171.73,197.93,2,0.29,295
20042,-94.83,-36.63,3,0.39,414
20028,-470.24,-355.23,1,0.10,107
20052,-446.20,-365.90,2,0.12,119
20020,-220.22,-296.09,3,0.25,253
20051,-199.38,295.19,4,0.20,216
20034,-42.60,70.00,4,0.34,368
20054,-159.08,311.71,5,0.11,120
20039,-56.79,-197.59,4,0.38,398
20033,-324.13,-422.26,6,0.25,265
20050,-469.21,-443.21,3,0.10,103
20029,-405.44,434.42,5,0.42,448
20000,-173.93,-370.06,8,0.26,277
20045,-154.09,343.58,1,0.17,183
20047,-255.67,415.74,6,0.39,408
20030,-275.10,-447.53,4,0.21,223
20023,-51.04,276.70,3,0.47,473
20026,-460.90,-484.10,0,0.09,97
20061,55.22,-72.43,2,0.35,363
20053,-40.97,-317.19,5,0.44,476
20002,69.45,125.88,5,0.39,421
20012,-125.18,-465.45,1,0.30,294
20040,108.87,-162.22,1,0.46,494
20019,-106.36,460.05,2,0.33,350
20004,139.82,-23.66,6,0.37,393
20017,119.39,278.29,1,0.44,470
20015,144.30,-312.79,2,0.48,504
20055,63.45,426.81,4,0.46,482
20010,210.79,149.77,2,0.36,387
20044,98.27,-451.04,3,0.44,462
20037,296.33,22.52,1,0.43,443
20043,296.85,-136.09,3,0.48,524
20032,286.66,244.33,3,0.25,269
20006,351.83,150.56,4,0.34,361
20022,316.00,-297.53,4,0.41,430
20013,269.34,385.57,5,0.23,239
20062,310.21,319.64,6,0.20,204
20036,228.52,471.60,2,0.23,237
20014,301.58,-437.78,1,0.42,435
20001,445.72,-96.67,2,0.47,491
20005,340.17,439.35,1,0.23,249
20049,461.10,95.49,5,0.36,368
20009,431.98,-272.14,5,0.39,413
20025,446.02,312.77,2,0.37,375
20021,433.00,-412.01,0,0.42,444
20008,458.53,429.90,0,0.26,262
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,320,20043,52.98,7
1,298.44,411.65,1600,20013,39.08,7
2,-164.78,268.23,800,20054,43.86,7
3,53.97,-22.60,400,20061,49.84,7
4,-135.22,13.40,320,20042,64.30,8
5,416.20,135.71,400,20049,60.29,7
6,-358.40,106.97,1600,20056,64.82,8
7,-257.11,-362.77,320,20020,76.20,8
8,-343.32,-99.06,1600,20046,20.28,7
9,-391.19,498.92,1600,20029,66.06,8
10,12.93,339.11,400,20023,89.37,8
11,-203.97,137.55,400,20057,63.44,8
12,-6.42,472.78,800,20055,83.64,8
13,271.36,26.74,320,20037,25.33,7
14,-99.77,391.53,800,20019,68.84,8
15,-147.54,307.72,320,20054,12.21,7
16,-430.24,449.33,400,20029,28.94,7
17,-413.94,-307.79,400,20058,25.33,7
18,390.23,-151.11,1600,20001,77.73,8
19,-479.98,-42.30,1600,20011,48.76,7
20,-261.72,470.63,320,20047,55.22,7
21,350.92,-233.33,400,20022,73.08,8
22,-124.79,260.25,400,20054,61.84,7
23,167.72,31.61,1600,20004,61.91,7
24,-62.36,431.84,320,20019,52.27,7
25,220.95,-215.71,400,20043,109.99,8
26,139.98,-145.95,400,20040,35.11,7
27,-334.03,-59.90,320,20046,26.92,7
28,329.20,-169.66,1600,20043,46.62,7
29,393.37,-149.64,400,20001,74.47,8
30,456.47,88.64,400,20049,8.27,7
31,358.68,-60.44,320,20001,94.28,8
32,-101.56,314.77,400,20054,57.60,7
33,410.97,-17.51,1600,20001,86.45,8
34,450.25,420.13,1600,20008,12.81,7
35,381.06,141.08,800,20006,30.73,7
36,119.60,-218.94,320,20040,57.72,7
37,-192.54,-52.97,1600,20060,69.63,8
38,-312.47,-223.77,400,20007,64.33,8
39,-83.50,-330.39,320,20053,44.54,7
40,-396.83,-373.92,800,20052,50.02,7
41,260.48,484.75,320,20036,34.55,7
42,184.45,-116.81,400,20040,88.17,8
43,-131.34,-205.84,1600,20027,51.68,7
44,84.49,-255.59,1600,20015,82.76,8
45,232.15,-374.53,320,20014,93.93,8
46,-335.90,245.07,1600,20016,42.29,7
47,450.10,-447.47,400,20021,39.37,7
48,-323.79,-259.94,320,20038,42.80,7
49,232.65,156.56,320,20010,22.89,7
50,139.46,259.73,1600,20017,27.33,7
51,-365.10,20.21,1600,20041,7.18,7
52,-430.09,-295.34,800,20058,40.71,7
53,319.68,73.32,320,20037,55.91,7
54,-448.06,-342.19,320,20052,23.78,7
55,-295.67,389.96,1600,20047,47.59,7
56,497.80,-445.94,320,20021,73.15,8
57,-427.67,-495.84,320,20026,35.24,7
58,93.89,-319.63,1600,20015,50.87,7
59,-108.31,413.03,320,20019,47.07,7
60,-140.90,52.49,400,20057,43.16,7
