ID,X,Y,Channel,UF,Connected EDs
2003,-204.78,457.55,0,0.04,262
2001,99.81,273.75,1,0.08,559
2000,-392.20,-56.47,2,0.07,489
2002,122.59,-256.82,3,0.10,690
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3600,2002,264.97,10
1,298.44,411.65,3600,2001,241.80,9
2,-164.78,268.23,3600,2003,193.50,9
3,53.97,-22.60,3600,2002,244.06,9
4,-135.22,13.40,3600,2000,266.31,10
5,416.20,135.71,3600,2001,345.19,10
6,-358.40,106.97,3600,2000,166.90,9
7,-257.11,-362.77,3600,2000,334.76,10
8,-343.32,-99.06,3600,2000,64.83,8
9,-391.19,498.92,3600,2003,190.95,9
10,12.93,339.11,3600,2001,108.72,8
11,-203.97,137.55,3600,2000,270.32,10
12,-6.42,472.78,3600,2003,198.94,9
13,271.36,26.74,3600,2001,300.73,10
14,-99.77,391.53,3600,2003,124.04,8
15,-147.54,307.72,3600,2003,160.39,9
16,-430.24,449.33,3600,2003,225.62,9
17,-413.94,-307.79,3600,2000,252.26,10
18,390.23,-151.11,3600,2002,287.76,10
19,-479.98,-42.30,3600,2000,88.92,8
20,-261.72,470.63,3600,2003,58.43,7
21,350.92,-233.33,3600,2002,229.53,9
22,-124.79,260.25,3600,2003,212.90,9
23,167.72,31.61,3600,2001,251.49,10
24,-62.36,431.84,3600,2003,144.72,9
25,220.95,-215.71,3600,2002,106.60,8
26,139.98,-145.95,3600,2002,112.22,8
27,-334.03,-59.90,3600,2000,58.27,7
28,329.20,-169.66,3600,2002,224.24,9
29,393.37,-149.64,3600,2002,291.22,10
30,456.47,88.64,3600,2001,401.83,10
31,358.68,-60.44,3600,2002,307.08,10
32,-101.56,314.77,3600,2003,176.18,9
33,410.97,-17.51,3600,2002,374.74,10
34,450.25,420.13,3600,2001,379.78,10
35,381.06,141.08,3600,2001,310.97,10
36,119.60,-218.94,3600,2002,37.99,7
37,-192.54,-52.97,3600,2000,199.68,9
