ID,X,Y,Channel,UF,Connected EDs
200,-71.17,309.22,0,0.01,72
201,337.63,-20.36,1,0.01,62
202,-158.55,-282.98,2,0.01,66
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3200,201,85.29,8
1,298.44,411.65,16000,200,383.54,10
2,-164.78,268.23,8000,200,102.19,8
3,53.97,-22.60,4000,201,283.67,10
4,-135.22,13.40,3200,202,297.29,10
5,416.20,135.71,4000,201,174.73,9
6,-358.40,106.97,16000,200,351.29,10
7,-257.11,-362.77,3200,202,126.82,9
8,-343.32,-99.06,16000,202,260.71,10
9,-391.19,498.92,16000,200,372.03,10
10,12.93,339.11,4000,200,89.25,8
11,-203.97,137.55,4000,200,217.04,9
12,-6.42,472.78,8000,200,175.90,9
13,271.36,26.74,3200,201,81.31,8
14,-99.77,391.53,8000,200,87.14,8
15,-147.54,307.72,3200,200,76.39,8
16,-430.24,449.33,4000,200,385.44,10
17,-413.94,-307.79,4000,202,256.60,10
18,390.23,-151.11,16000,201,140.93,9
19,-479.98,-42.30,16000,202,401.55,10
20,-261.72,470.63,3200,200,249.73,9
21,350.92,-233.33,4000,201,213.39,9
22,-124.79,260.25,4000,200,72.62,8
23,167.72,31.61,16000,201,177.67,9
24,-62.36,431.84,3200,200,122.93,8
25,220.95,-215.71,4000,201,227.54,9
26,139.98,-145.95,4000,201,234.17,9
27,-334.03,-59.90,3200,202,283.83,10
28,329.20,-169.66,16000,201,149.54,9
29,393.37,-149.64,4000,201,140.78,9
30,456.47,88.64,4000,201,161.26,9
31,358.68,-60.44,3200,201,45.27,7
32,-101.56,314.77,4000,200,30.90,7
33,410.97,-17.51,16000,201,73.40,8
34,450.25,420.13,16000,201,454.66,10
35,381.06,141.08,8000,201,167.18,9
36,119.60,-218.94,3200,202,285.42,10
37,-192.54,-52.97,16000,202,232.51,9
38,-312.47,-223.77,4000,202,164.92,9
39,-83.50,-330.39,3200,202,88.77,8
40,-396.83,-373.92,8000,202,255.05,10
41,260.48,484.75,3200,200,375.23,10
42,184.45,-116.81,4000,201,181.02,9
43,-131.34,-205.84,16000,202,81.79,8
44,84.49,-255.59,16000,202,244.57,9
45,232.15,-374.53,3200,201,369.54,10
46,-335.90,245.07,16000,200,272.39,10
47,450.10,-447.47,4000,201,441.67,10
48,-323.79,-259.94,3200,202,166.84,9
49,232.65,156.56,3200,201,205.72,9
50,139.46,259.73,16000,200,216.36,9
51,-365.10,20.21,16000,202,366.86,10
52,-430.09,-295.34,8000,202,271.83,10
53,319.68,73.32,3200,201,95.38,8
54,-448.06,-342.19,3200,202,295.51,10
55,-295.67,389.96,16000,200,238.58,9
56,497.80,-445.94,3200,201,454.72,10
57,-427.67,-495.84,3200,202,343.13,10
58,93.89,-319.63,16000,202,255.09,10
59,-108.31,413.03,3200,200,110.25,8
60,-140.90,52.49,4000,200,266.04,10
61,-47.42,187.39,16000,200,124.12,8
62,30.81,257.29,8000,200,114.43,8
63,492.23,76.97,3200,201,182.69,9
64,247.81,128.91,16000,201,174.21,9
65,247.80,333.24,3200,200,319.87,10
66,373.27,331.04,3200,201,353.20,10
67,243.81,403.37,3200,200,328.75,10
68,166.88,-2.74,16000,201,171.65,9
69,330.01,388.95,16000,200,409.02,10
70,149.71,-251.96,4000,201,298.25,10
71,-270.86,200.62,8000,200,227.32,9
72,-171.22,-268.57,16000,202,19.19,7
73,133.07,-276.34,4000,202,291.69,10
74,10.69,471.47,8000,200,181.72,9
75,46.11,219.27,16000,200,147.80,9
76,-28.52,92.54,3200,200,220.84,9
77,-49.08,-163.65,3200,202,161.93,9
78,-65.49,-496.77,8000,202,233.17,9
79,98.48,333.24,16000,200,171.34,9
80,175.48,-17.05,8000,201,162.19,9
81,-195.04,212.09,16000,200,157.42,9
82,121.82,-459.14,8000,202,331.12,10
83,195.98,173.94,4000,201,240.45,9
84,-152.88,-315.38,4000,202,32.89,7
85,127.16,230.73,8000,200,213.29,9
86,240.44,-297.79,3200,201,293.96,10
87,184.76,153.13,8000,201,231.23,9
88,32.44,-412.36,8000,202,230.69,9
89,377.38,186.12,16000,201,210.28,9
90,-388.72,-138.40,4000,202,271.82,10
91,93.21,166.56,8000,200,217.65,9
92,275.77,-211.62,8000,201,201.01,9
93,-310.25,484.36,16000,200,296.37,10
94,327.39,-168.52,16000,201,148.51,9
95,-63.50,458.64,3200,200,149.61,9
96,264.87,199.08,16000,201,231.18,9
97,185.79,-116.17,3200,201,179.54,9
98,443.05,416.27,3200,201,449.18,10
99,-296.45,293.66,4000,200,225.82,9
100,-202.71,404.93,3200,200,162.68,9
101,373.98,-1.86,4000,201,40.79,7
102,-337.24,-226.09,3200,202,187.53,9
103,-7.60,-36.34,3200,202,289.16,10
104,-4.02,-208.95,16000,202,171.34,9
105,184.18,227.55,16000,200,268.09,10
106,103.11,-7.58,3200,201,234.87,9
107,224.25,-321.79,16000,201,322.05,10
108,-1.47,-378.74,16000,202,183.96,9
109,-139.56,-175.19,3200,202,109.44,8
110,408.48,122.10,3200,201,159.11,9
111,318.13,-3.93,8000,201,25.50,7
112,-105.67,158.83,4000,200,154.30,9
113,-241.09,-348.77,16000,202,105.56,8
114,-392.15,147.21,8000,200,359.56,10
115,-211.73,-168.61,16000,202,126.12,9
116,-72.67,434.49,4000,200,125.28,9
117,-234.54,158.75,3200,200,222.11,9
118,-12.57,-342.73,3200,202,157.73,9
119,125.67,17.71,16000,201,215.36,9
120,57.56,-73.80,3200,201,285.12,10
121,-105.61,-255.67,8000,202,59.56,7
122,229.36,138.65,3200,201,192.37,9
123,-161.76,397.56,16000,200,126.53,9
124,-89.21,-494.59,3200,202,222.69,9
125,274.39,-206.32,16000,201,196.42,9
126,365.53,221.01,16000,201,242.98,9
127,-50.89,486.47,4000,200,178.40,9
128,-289.12,-26.11,3200,202,288.15,10
129,-406.08,-400.44,8000,202,273.99,10
130,-198.24,157.12,3200,200,198.20,9
131,-368.30,-448.49,16000,202,267.19,10
132,-42.28,280.87,4000,200,40.47,7
133,-57.44,-380.89,4000,202,140.75,9
134,78.63,29.90,4000,201,263.82,10
135,-138.08,-195.71,3200,202,89.63,8
136,-23.42,-330.18,4000,202,143.14,9
137,25.75,118.93,4000,200,213.55,9
138,-266.34,329.81,16000,200,196.26,9
139,-401.16,423.73,16000,200,349.30,10
140,-18.27,-274.51,3200,202,140.54,9
141,-209.17,-142.81,3200,202,149.03,9
142,-155.75,314.91,4000,200,84.77,8
143,-463.67,-242.53,3200,202,307.79,10
144,125.96,336.10,8000,200,198.96,9
145,-278.99,-301.98,4000,202,121.93,8
146,-390.27,174.61,3200,200,346.33,10
147,219.46,-299.65,8000,201,303.26,10
148,-184.34,-65.99,16000,202,218.51,9
149,-114.25,32.85,16000,200,279.71,10
150,55.40,-485.42,8000,202,294.54,10
151,-117.83,-194.59,4000,202,97.31,8
152,-239.56,149.66,4000,200,231.98,9
153,419.59,185.99,3200,201,222.03,9
154,197.85,-188.05,4000,201,218.31,9
155,-494.00,32.96,3200,202,460.80,10
156,118.45,142.69,4000,200,252.36,10
157,-99.29,-137.85,4000,202,156.76,9
158,301.90,177.81,16000,201,201.37,9
159,-467.11,-436.44,4000,202,344.62,10
160,-312.38,118.96,4000,200,307.22,10
161,67.83,-498.87,16000,202,312.82,10
162,-194.76,-238.43,4000,202,57.41,7
163,357.56,-318.84,8000,201,299.14,10
164,167.34,379.01,4000,200,248.51,9
165,-186.77,385.01,16000,200,138.24,9
166,-342.86,3.46,3200,202,340.61,10
167,175.65,404.17,16000,200,264.45,10
168,-105.48,206.07,3200,200,108.71,8
169,47.40,238.96,3200,200,137.82,9
170,-266.88,426.58,4000,200,228.20,9
171,433.42,-5.59,4000,201,96.92,8
172,439.13,299.65,3200,201,335.72,10
173,94.50,157.20,3200,200,224.84,9
174,435.85,-175.46,3200,201,183.58,9
175,89.16,137.77,3200,200,234.73,9
176,275.42,294.91,8000,201,321.35,10
177,104.38,-29.44,16000,201,233.43,9
178,295.49,365.09,3200,200,370.89,10
179,164.41,-87.52,4000,201,185.78,9
180,96.90,145.60,4000,200,234.56,9
181,-351.66,79.02,16000,200,362.86,10
182,200.91,18.15,3200,201,142.04,9
183,15.05,-387.35,8000,202,202.56,9
184,10.35,-451.50,3200,202,238.59,9
185,-115.34,137.66,8000,200,177.16,9
186,-356.02,-86.92,16000,202,278.27,10
187,-93.23,-482.54,4000,202,209.98,9
188,73.72,312.95,4000,200,144.94,9
189,-53.26,-22.64,3200,202,280.82,10
190,-441.28,-425.74,4000,202,316.73,10
191,97.28,-277.40,16000,202,255.89,10
192,130.24,423.51,4000,200,231.58,9
193,-37.15,-61.44,3200,202,252.62,10
194,452.66,448.91,3200,201,483.17,10
195,267.01,-166.43,4000,201,162.24,9
196,-280.86,-22.45,3200,202,287.81,10
197,-33.83,384.32,3200,200,83.87,8
198,-316.23,-41.96,3200,202,288.02,10
199,266.45,404.78,8000,200,350.88,10
