ID,X,Y,Channel,UF,Connected EDs
201,494.09,250.01,0,0.00,38
203,-162.00,158.17,1,0.01,88
200,229.05,-363.76,2,0.00,46
202,-423.59,-391.36,0,0.00,28
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3200,200,281.05,10
1,298.44,411.65,16000,201,253.78,10
2,-164.78,268.23,8000,203,110.10,8
3,53.97,-22.60,4000,203,281.64,10
4,-135.22,13.40,3200,203,147.22,9
5,416.20,135.71,4000,201,138.32,9
6,-358.40,106.97,16000,203,202.96,9
7,-257.11,-362.77,3200,202,168.92,9
8,-343.32,-99.06,16000,202,303.12,10
9,-391.19,498.92,16000,203,410.66,10
10,12.93,339.11,4000,203,251.68,10
11,-203.97,137.55,4000,203,46.76,7
12,-6.42,472.78,8000,203,350.98,10
13,271.36,26.74,3200,201,315.37,10
14,-99.77,391.53,8000,203,241.52,9
15,-147.54,307.72,3200,203,150.26,9
16,-430.24,449.33,4000,203,395.89,10
17,-413.94,-307.79,4000,202,84.13,8
18,390.23,-151.11,16000,200,266.84,10
19,-479.98,-42.30,16000,202,353.58,10
20,-261.72,470.63,3200,203,327.99,10
21,350.92,-233.33,4000,200,178.50,9
22,-124.79,260.25,4000,203,108.65,8
23,167.72,31.61,16000,203,353.18,10
24,-62.36,431.84,3200,203,291.24,10
25,220.95,-215.71,4000,200,148.28,9
26,139.98,-145.95,4000,200,235.32,9
27,-334.03,-59.90,3200,203,277.75,10
28,329.20,-169.66,16000,200,218.42,9
29,393.37,-149.64,4000,200,269.91,10
30,456.47,88.64,4000,201,165.70,9
31,358.68,-60.44,3200,200,329.86,10
32,-101.56,314.77,4000,203,167.86,9
33,410.97,-17.51,16000,201,280.14,10
34,450.25,420.13,16000,201,175.67,9
35,381.06,141.08,8000,201,156.98,9
36,119.60,-218.94,3200,200,181.53,9
37,-192.54,-52.97,16000,203,213.33,9
38,-312.47,-223.77,4000,202,201.09,9
39,-83.50,-330.39,3200,200,314.33,10
40,-396.83,-373.92,8000,202,31.94,7
41,260.48,484.75,3200,201,331.18,10
42,184.45,-116.81,4000,200,250.95,10
43,-131.34,-205.84,16000,202,346.16,10
44,84.49,-255.59,16000,200,180.56,9
45,232.15,-374.53,3200,200,11.20,7
46,-335.90,245.07,16000,203,194.40,9
47,450.10,-447.47,4000,200,236.37,9
48,-323.79,-259.94,3200,202,165.02,9
49,232.65,156.56,3200,201,277.64,10
50,139.46,259.73,16000,203,318.11,10
51,-365.10,20.21,16000,203,245.52,9
52,-430.09,-295.34,8000,202,96.23,8
53,319.68,73.32,3200,201,248.28,9
54,-448.06,-342.19,3200,202,54.92,7
55,-295.67,389.96,16000,203,267.57,10
56,497.80,-445.94,3200,200,281.03,10
57,-427.67,-495.84,3200,202,104.56,8
58,93.89,-319.63,16000,200,142.18,9
59,-108.31,413.03,3200,203,260.45,10
60,-140.90,52.49,4000,203,107.77,8
61,-47.42,187.39,16000,203,118.25,8
62,30.81,257.29,8000,203,216.80,9
63,492.23,76.97,3200,201,173.05,9
64,247.81,128.91,16000,201,274.45,10
65,247.80,333.24,3200,201,259.97,10
66,373.27,331.04,3200,201,145.48,9
67,243.81,403.37,3200,201,293.53,10
68,166.88,-2.74,16000,203,366.14,10
69,330.01,388.95,16000,201,215.00,9
70,149.71,-251.96,4000,200,137.10,9
71,-270.86,200.62,8000,203,116.85,8
72,-171.22,-268.57,16000,202,280.65,10
73,133.07,-276.34,4000,200,129.82,9
74,10.69,471.47,8000,203,357.74,10
75,46.11,219.27,16000,203,216.89,9
76,-28.52,92.54,3200,203,148.75,9
77,-49.08,-163.65,3200,203,341.05,10
78,-65.49,-496.77,8000,200,323.18,10
79,98.48,333.24,16000,203,313.85,10
80,175.48,-17.05,8000,200,350.83,10
81,-195.04,212.09,16000,203,63.24,8
82,121.82,-459.14,8000,200,143.50,9
83,195.98,173.94,4000,201,307.66,10
84,-152.88,-315.38,4000,202,281.17,10
85,127.16,230.73,8000,203,298.13,10
86,240.44,-297.79,3200,200,66.95,8
87,184.76,153.13,8000,201,324.15,10
88,32.44,-412.36,8000,200,202.53,9
89,377.38,186.12,16000,201,133.05,9
90,-388.72,-138.40,4000,202,255.35,10
91,93.21,166.56,8000,203,255.35,10
92,275.77,-211.62,8000,200,159.15,9
93,-310.25,484.36,16000,203,358.30,10
94,327.39,-168.52,16000,200,218.61,9
95,-63.50,458.64,3200,203,316.20,10
96,264.87,199.08,16000,201,234.81,9
97,185.79,-116.17,3200,200,251.35,10
98,443.05,416.27,3200,201,173.92,9
99,-296.45,293.66,4000,203,190.88,9
100,-202.71,404.93,3200,203,250.10,10
101,373.98,-1.86,4000,201,279.04,10
102,-337.24,-226.09,3200,202,186.47,9
103,-7.60,-36.34,3200,203,248.34,9
104,-4.02,-208.95,16000,200,279.81,10
105,184.18,227.55,16000,201,310.73,10
106,103.11,-7.58,3200,203,312.66,10
107,224.25,-321.79,16000,200,42.25,7
108,-1.47,-378.74,16000,200,231.01,9
109,-139.56,-175.19,3200,203,334.11,10
110,408.48,122.10,3200,201,153.92,9
111,318.13,-3.93,8000,201,308.95,10
112,-105.67,158.83,4000,203,56.33,7
113,-241.09,-348.77,16000,202,187.40,9
114,-392.15,147.21,8000,203,230.41,9
115,-211.73,-168.61,16000,202,307.41,10
116,-72.67,434.49,4000,203,290.41,10
117,-234.54,158.75,3200,203,72.54,8
118,-12.57,-342.73,3200,200,242.54,9
119,125.67,17.71,16000,203,320.12,10
120,57.56,-73.80,3200,203,319.40,10
121,-105.61,-255.67,8000,202,345.72,10
122,229.36,138.65,3200,201,287.20,10
123,-161.76,397.56,16000,203,239.39,9
124,-89.21,-494.59,3200,200,344.10,10
125,274.39,-206.32,16000,200,163.84,9
126,365.53,221.01,16000,201,131.79,9
127,-50.89,486.47,4000,203,346.59,10
128,-289.12,-26.11,3200,203,223.86,9
129,-406.08,-400.44,8000,202,19.73,7
130,-198.24,157.12,3200,203,36.25,7
131,-368.30,-448.49,16000,202,79.51,8
132,-42.28,280.87,4000,203,171.43,9
133,-57.44,-380.89,4000,200,287.00,10
134,78.63,29.90,4000,203,272.69,10
135,-138.08,-195.71,3200,202,346.11,10
136,-23.42,-330.18,4000,200,254.69,10
137,25.75,118.93,4000,203,191.81,9
138,-266.34,329.81,16000,203,200.87,9
139,-401.16,423.73,16000,203,357.38,10
140,-18.27,-274.51,3200,200,262.93,10
141,-209.17,-142.81,3200,203,304.65,10
142,-155.75,314.91,4000,203,156.87,9
143,-463.67,-242.53,3200,202,154.13,9
144,125.96,336.10,8000,203,338.51,10
145,-278.99,-301.98,4000,202,169.99,9
146,-390.27,174.61,3200,203,228.86,9
