ID,X,Y,Channel,UF,Connected EDs
202,249.92,134.71,0,0.01,77
200,-301.29,97.62,1,0.01,48
203,-421.02,431.86,2,0.00,19
201,3.21,-389.59,3,0.01,56
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3600,202,256.72,10
1,298.44,411.65,3600,202,281.16,10
2,-164.78,268.23,3600,200,218.50,9
3,53.97,-22.60,3600,202,251.28,10
4,-135.22,13.40,3600,200,186.21,9
5,416.20,135.71,3600,202,166.28,9
6,-358.40,106.97,3600,200,57.87,7
7,-257.11,-362.77,3600,201,261.70,10
8,-343.32,-99.06,3600,200,201.12,9
9,-391.19,498.92,3600,203,73.39,8
10,12.93,339.11,3600,202,312.96,10
11,-203.97,137.55,3600,200,105.20,8
12,-6.42,472.78,3600,203,416.61,10
13,271.36,26.74,3600,202,110.07,8
14,-99.77,391.53,3600,203,323.77,10
15,-147.54,307.72,3600,200,260.35,10
16,-430.24,449.33,3600,203,19.75,7
17,-413.94,-307.79,3600,200,420.77,10
18,390.23,-151.11,3600,202,318.40,10
19,-479.98,-42.30,3600,200,226.95,9
20,-261.72,470.63,3600,203,163.95,9
21,350.92,-233.33,3600,201,381.21,10
22,-124.79,260.25,3600,200,240.00,9
23,167.72,31.61,3600,202,131.86,9
24,-62.36,431.84,3600,203,358.65,10
25,220.95,-215.71,3600,201,278.65,10
26,139.98,-145.95,3600,201,279.40,10
27,-334.03,-59.90,3600,200,160.88,9
28,329.20,-169.66,3600,202,314.53,10
29,393.37,-149.64,3600,202,318.49,10
30,456.47,88.64,3600,202,211.62,9
31,358.68,-60.44,3600,202,223.41,9
32,-101.56,314.77,3600,200,295.03,10
33,410.97,-17.51,3600,202,221.60,9
34,450.25,420.13,3600,202,348.71,10
35,381.06,141.08,3600,202,131.30,9
36,119.60,-218.94,3600,201,206.56,9
37,-192.54,-52.97,3600,200,185.75,9
38,-312.47,-223.77,3600,200,321.58,10
39,-83.50,-330.39,3600,201,104.99,8
40,-396.83,-373.92,3600,201,400.35,10
41,260.48,484.75,3600,202,350.20,10
