ID,X,Y,Channel,UF,Connected EDs
200,119.18,140.56,0,0.01,65
201,-235.05,381.75,1,0.01,39
202,243.79,-151.87,2,0.01,36
203,-60.32,-362.61,3,0.00,21
204,-245.27,-276.52,4,0.01,39
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3600,202,106.92,8
1,298.44,411.65,3600,200,325.00,10
2,-164.78,268.23,3600,201,133.51,9
3,53.97,-22.60,3600,200,175.71,9
4,-135.22,13.40,3600,200,284.40,10
5,416.20,135.71,3600,200,297.06,10
6,-358.40,106.97,3600,201,301.19,10
7,-257.11,-362.77,3600,204,87.06,8
8,-343.32,-99.06,3600,204,202.75,9
9,-391.19,498.92,3600,201,195.22,9
10,12.93,339.11,3600,200,225.19,9
11,-203.97,137.55,3600,201,246.16,9
12,-6.42,472.78,3600,201,246.09,9
13,271.36,26.74,3600,202,180.73,9
14,-99.77,391.53,3600,201,135.63,9
15,-147.54,307.72,3600,201,114.61,8
16,-430.24,449.33,3600,201,206.57,9
17,-413.94,-307.79,3600,204,171.54,9
18,390.23,-151.11,3600,202,146.44,9
19,-479.98,-42.30,3600,204,331.58,10
20,-261.72,470.63,3600,201,92.80,8
21,350.92,-233.33,3600,202,134.58,9
22,-124.79,260.25,3600,201,164.07,9
23,167.72,31.61,3600,200,119.28,8
24,-62.36,431.84,3600,201,179.80,9
25,220.95,-215.71,3600,202,67.80,8
26,139.98,-145.95,3600,202,103.98,8
27,-334.03,-59.90,3600,204,234.10,9
28,329.20,-169.66,3600,202,87.24,8
29,393.37,-149.64,3600,202,149.59,9
30,456.47,88.64,3600,202,321.05,10
31,358.68,-60.44,3600,202,146.82,9
32,-101.56,314.77,3600,201,149.35,9
33,410.97,-17.51,3600,202,214.48,9
34,450.25,420.13,3600,200,433.33,10
35,381.06,141.08,3600,200,261.89,10
36,119.60,-218.94,3600,202,141.15,9
37,-192.54,-52.97,3600,204,229.69,9
38,-312.47,-223.77,3600,204,85.43,8
39,-83.50,-330.39,3600,203,39.69,7
40,-396.83,-373.92,3600,204,180.16,9
41,260.48,484.75,3600,200,372.07,10
42,184.45,-116.81,3600,202,68.93,8
43,-131.34,-205.84,3600,204,134.08,9
44,84.49,-255.59,3600,203,180.06,9
45,232.15,-374.53,3600,202,222.96,9
46,-335.90,245.07,3600,201,169.85,9
47,450.10,-447.47,3600,202,360.48,10
48,-323.79,-259.94,3600,204,80.25,8
49,232.65,156.56,3600,200,114.60,8
50,139.46,259.73,3600,200,120.89,8
51,-365.10,20.21,3600,204,320.01,10
52,-430.09,-295.34,3600,204,185.78,9
53,319.68,73.32,3600,200,211.47,9
54,-448.06,-342.19,900,204,213.16,9
55,-295.67,389.96,3600,201,61.18,7
56,497.80,-445.94,3600,202,388.58,10
57,-427.67,-495.84,3600,204,285.25,10
58,93.89,-319.63,3600,203,160.09,9
59,-108.31,413.03,3600,201,130.54,9
60,-140.90,52.49,3600,200,274.59,10
61,-47.42,187.39,3600,200,173.06,9
62,30.81,257.29,3600,200,146.41,9
63,492.23,76.97,3600,202,337.77,10
64,247.81,128.91,3600,200,129.16,9
65,247.80,333.24,3600,200,231.67,9
66,373.27,331.04,1800,200,317.56,10
67,243.81,403.37,900,200,290.87,10
68,166.88,-2.74,3600,200,151.03,9
69,330.01,388.95,3600,200,325.81,10
70,149.71,-251.96,3600,202,137.37,9
71,-270.86,200.62,3600,201,184.63,9
72,-171.22,-268.57,3600,204,74.48,8
73,133.07,-276.34,3600,202,166.59,9
74,10.69,471.47,3600,201,261.60,10
75,46.11,219.27,3600,200,107.40,8
76,-28.52,92.54,3600,200,155.30,9
77,-49.08,-163.65,3600,203,199.28,9
78,-65.49,-496.77,3600,203,134.26,9
79,98.48,333.24,3600,200,193.80,9
80,175.48,-17.05,3600,202,151.14,9
81,-195.04,212.09,3600,201,174.31,9
82,121.82,-459.14,3600,203,206.14,9
83,195.98,173.94,3600,200,83.75,8
84,-152.88,-315.38,3600,204,100.23,8
85,127.16,230.73,3600,200,90.53,8
86,240.44,-297.79,3600,202,145.96,9
87,184.76,153.13,3600,200,66.77,8
88,32.44,-412.36,3600,203,105.26,8
89,377.38,186.12,3600,200,262.20,10
90,-388.72,-138.40,3600,204,199.14,9
91,93.21,166.56,3600,200,36.75,7
92,275.77,-211.62,3600,202,67.77,8
93,-310.25,484.36,3600,201,127.22,9
94,327.39,-168.52,3600,202,85.24,8
95,-63.50,458.64,3600,201,187.99,9
96,264.87,199.08,3600,200,157.01,9
97,185.79,-116.17,3600,202,68.11,8
98,443.05,416.27,3600,200,425.34,10
99,-296.45,293.66,3600,201,107.38,8
100,-202.71,404.93,3600,201,39.79,7
101,373.98,-1.86,3600,202,198.63,9
102,-337.24,-226.09,3600,204,104.89,8
103,-7.60,-36.34,3600,200,217.63,9
104,-4.02,-208.95,3600,203,163.65,9
105,184.18,227.55,3600,200,108.60,8
106,103.11,-7.58,3600,200,149.00,9
107,224.25,-321.79,3600,202,171.04,9
108,-1.47,-378.74,3600,203,61.02,7
109,-139.56,-175.19,3600,204,146.44,9
110,408.48,122.10,3600,200,289.90,10
111,318.13,-3.93,3600,202,165.57,9
112,-105.67,158.83,3600,200,225.59,9
113,-241.09,-348.77,3600,204,72.37,8
114,-392.15,147.21,3600,201,282.29,10
115,-211.73,-168.61,3600,204,113.00,8
116,-72.67,434.49,3600,201,170.73,9
117,-234.54,158.75,3600,201,223.00,9
118,-12.57,-342.73,3600,203,51.72,7
119,125.67,17.71,3600,200,123.01,8
120,57.56,-73.80,3600,202,201.94,9
121,-105.61,-255.67,3600,203,116.13,8
122,229.36,138.65,900,200,110.20,8
123,-161.76,397.56,3600,201,74.98,8
124,-89.21,-494.59,3600,203,135.11,9
125,274.39,-206.32,3600,202,62.46,7
