ID,X,Y,Channel,UF,Connected EDs
220,269.70,385.40,0,0.01,7
221,352.17,365.36,1,0.00,2
204,162.74,399.94,2,0.00,3
207,444.85,396.08,3,0.01,4
218,101.18,331.81,4,0.00,3
222,312.83,170.84,5,0.01,9
215,132.39,179.49,6,0.01,11
208,9.24,466.47,7,0.00,2
216,7.94,253.81,8,0.01,6
217,-70.21,428.60,3,0.01,7
210,390.04,49.83,7,0.01,10
202,-159.39,354.27,1,0.01,6
203,123.21,-5.28,9,0.01,10
213,-178.02,186.08,10,0.01,11
225,-103.29,32.13,11,0.01,7
223,365.81,-151.59,1,0.01,8
214,212.42,-161.57,2,0.01,9
206,-325.58,401.20,5,0.01,10
227,190.94,-278.18,3,0.00,1
224,77.65,-265.37,4,0.01,7
211,222.61,-318.65,6,0.00,4
219,-150.19,-194.69,1,0.01,11
201,-398.22,93.22,2,0.01,8
205,-302.97,-59.26,3,0.01,9
226,404.84,-337.56,5,0.00,1
200,453.02,-423.57,8,0.00,2
209,-8.82,-423.68,7,0.01,14
229,-389.18,-213.83,5,0.01,6
228,-226.78,-379.86,8,0.00,4
212,-412.95,-401.53,0,0.01,8
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,320,223,52.63,7
1,298.44,411.65,1600,220,38.93,7
2,-164.78,268.23,800,213,83.21,8
3,53.97,-22.60,400,203,71.37,8
4,-135.22,13.40,320,225,37.01,7
5,416.20,135.71,400,210,89.77,8
6,-358.40,106.97,1600,201,42.13,7
7,-257.11,-362.77,320,228,34.82,7
8,-343.32,-99.06,1600,205,56.67,7
9,-391.19,498.92,1600,206,117.70,8
10,12.93,339.11,400,216,85.45,8
11,-203.97,137.55,400,213,55.02,7
12,-6.42,472.78,800,208,16.87,7
13,271.36,26.74,320,210,120.91,8
14,-99.77,391.53,800,217,47.42,7
15,-147.54,307.72,320,202,48.03,7
16,-430.24,449.33,400,206,115.20,8
17,-413.94,-307.79,400,212,93.75,8
18,390.23,-151.11,1600,223,24.43,7
19,-479.98,-42.30,1600,201,158.26,9
20,-261.72,470.63,320,206,94.33,8
21,350.92,-233.33,400,223,83.09,8
22,-124.79,260.25,400,213,91.30,8
23,167.72,31.61,1600,203,57.81,7
24,-62.36,431.84,320,217,8.48,7
25,220.95,-215.71,400,214,54.80,7
26,139.98,-145.95,400,214,74.11,8
27,-334.03,-59.90,320,205,31.06,7
28,329.20,-169.66,1600,223,40.83,7
29,393.37,-149.64,400,223,27.63,7
30,456.47,88.64,400,210,76.93,8
31,358.68,-60.44,320,223,91.43,8
32,-101.56,314.77,400,202,70.03,8
33,410.97,-17.51,1600,210,70.52,8
34,450.25,420.13,1600,207,24.65,7
35,381.06,141.08,800,222,74.44,8
36,119.60,-218.94,320,224,62.57,8
37,-192.54,-52.97,1600,205,110.61,8
38,-312.47,-223.77,400,229,77.35,8
39,-83.50,-330.39,320,209,119.49,8
40,-396.83,-373.92,800,212,31.97,7
41,260.48,484.75,320,220,99.78,8
42,184.45,-116.81,400,214,52.78,7
43,-131.34,-205.84,1600,219,21.90,7
44,84.49,-255.59,1600,224,11.94,7
45,232.15,-374.53,320,211,56.68,7
46,-335.90,245.07,1600,206,156.47,9
47,450.10,-447.47,400,200,24.08,7
48,-323.79,-259.94,320,229,80.01,8
49,232.65,156.56,320,222,81.44,8
50,139.46,259.73,1600,215,80.56,8
51,-365.10,20.21,1600,201,80.17,8
52,-430.09,-295.34,800,229,91.21,8
53,319.68,73.32,320,210,74.18,8
54,-448.06,-342.19,320,212,68.95,8
55,-295.67,389.96,1600,206,31.96,7
56,497.80,-445.94,320,200,50.06,7
57,-427.67,-495.84,320,212,95.45,8
58,93.89,-319.63,1600,224,56.64,7
59,-108.31,413.03,320,217,41.16,7
60,-140.90,52.49,400,225,42.77,7
61,-47.42,187.39,1600,216,86.47,8
62,30.81,257.29,800,216,23.13,7
63,492.23,76.97,320,210,105.73,8
64,247.81,128.91,1600,222,77.37,8
65,247.80,333.24,320,220,56.57,7
66,373.27,331.04,320,221,40.29,7
67,243.81,403.37,320,220,31.51,7
68,166.88,-2.74,1600,203,43.75,7
69,330.01,388.95,1600,221,32.37,7
70,149.71,-251.96,400,227,48.86,7
71,-270.86,200.62,800,213,93.97,8
72,-171.22,-268.57,1600,219,76.82,8
73,133.07,-276.34,400,224,56.50,7
74,10.69,471.47,800,208,5.20,7
75,46.11,219.27,1600,216,51.48,7
76,-28.52,92.54,320,225,96.13,8
77,-49.08,-163.65,320,219,105.76,8
78,-65.49,-496.77,800,209,92.49,8
79,98.48,333.24,1600,218,3.06,7
80,175.48,-17.05,800,203,53.58,7
81,-195.04,212.09,1600,213,31.09,7
82,121.82,-459.14,800,209,135.37,9
83,195.98,173.94,400,215,63.83,8
84,-152.88,-315.38,400,228,98.07,8
