ID,X,Y,Channel,UF,Connected EDs
50005,323.55,350.57,0,0.30,3075
50004,243.72,343.86,1,0.22,2347
50008,197.45,88.97,2,0.26,2729
50007,-12.91,396.28,3,0.40,4134
50010,421.88,38.00,4,0.33,3452
50001,30.16,18.26,5,0.26,2663
50006,109.53,-87.97,6,0.20,2141
50012,87.06,-171.47,7,0.36,3814
50000,-249.82,174.17,8,0.37,3883
50014,-389.26,390.59,9,0.33,3436
50002,-267.41,-11.04,10,0.29,3047
50015,-240.42,-50.83,11,0.34,3515
50009,458.80,-354.91,9,0.25,2576
50003,316.58,-448.74,12,0.30,3164
50013,-273.08,-423.88,13,0.35,3637
50011,-258.46,-485.12,0,0.23,2387
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3200,50010,165.22,9
1,298.44,411.65,16000,50005,66.04,8
2,-164.78,268.23,8000,50000,126.80,9
3,53.97,-22.60,4000,50001,47.29,7
4,-135.22,13.40,3200,50015,123.26,8
5,416.20,135.71,4000,50010,97.88,8
6,-358.40,106.97,16000,50000,127.69,9
7,-257.11,-362.77,3200,50013,63.16,8
8,-343.32,-99.06,16000,50015,113.64,8
9,-391.19,498.92,16000,50014,108.35,8
10,12.93,339.11,4000,50007,62.74,8
11,-203.97,137.55,4000,50000,58.68,7
12,-6.42,472.78,8000,50007,76.77,8
13,271.36,26.74,3200,50008,96.61,8
14,-99.77,391.53,8000,50007,87.00,8
15,-147.54,307.72,3200,50007,161.15,9
16,-430.24,449.33,4000,50014,71.62,8
17,-413.94,-307.79,4000,50013,182.54,9
18,390.23,-151.11,16000,50010,191.73,9
19,-479.98,-42.30,16000,50002,214.85,9
20,-261.72,470.63,3200,50014,150.58,9
21,350.92,-233.33,4000,50009,162.54,9
22,-124.79,260.25,4000,50000,151.79,9
23,167.72,31.61,16000,50008,64.61,8
24,-62.36,431.84,3200,50007,60.91,7
25,220.95,-215.71,4000,50012,141.01,9
26,139.98,-145.95,4000,50012,58.75,7
27,-334.03,-59.90,3200,50002,82.61,8
28,329.20,-169.66,16000,50009,226.08,9
29,393.37,-149.64,4000,50010,189.79,9
30,456.47,88.64,4000,50010,61.33,7
31,358.68,-60.44,3200,50010,116.98,8
32,-101.56,314.77,4000,50007,120.44,8
33,410.97,-17.51,16000,50010,56.57,7
34,450.25,420.13,16000,50005,144.54,9
35,381.06,141.08,8000,50010,110.87,8
36,119.60,-218.94,3200,50012,57.54,7
37,-192.54,-52.97,16000,50015,47.93,7
38,-312.47,-223.77,4000,50015,187.34,9
39,-83.50,-330.39,3200,50013,211.38,9
40,-396.83,-373.92,8000,50013,133.45,9
41,260.48,484.75,3200,50004,141.89,9
42,184.45,-116.81,4000,50006,80.28,8
43,-131.34,-205.84,16000,50015,189.55,9
44,84.49,-255.59,16000,50012,84.15,8
45,232.15,-374.53,3200,50003,112.41,8
46,-335.90,245.07,16000,50000,111.52,8
47,450.10,-447.47,4000,50009,92.96,8
48,-323.79,-259.94,3200,50013,171.61,9
49,232.65,156.56,3200,50008,76.21,8
50,139.46,259.73,16000,50004,133.97,9
51,-365.10,20.21,16000,50002,102.56,8
52,-430.09,-295.34,8000,50013,202.92,9
53,319.68,73.32,3200,50010,108.14,8
54,-448.06,-342.19,3200,50013,193.11,9
55,-295.67,389.96,16000,50014,93.59,8
56,497.80,-445.94,3200,50009,99.03,8
57,-427.67,-495.84,3200,50011,169.55,9
58,93.89,-319.63,16000,50012,148.31,9
59,-108.31,413.03,3200,50007,96.86,8
60,-140.90,52.49,4000,50002,141.56,9
61,-47.42,187.39,16000,50001,186.08,9
62,30.81,257.29,8000,50007,145.70,9
63,492.23,76.97,3200,50010,80.42,8
64,247.81,128.91,16000,50008,64.27,8
65,247.80,333.24,3200,50004,11.38,7
66,373.27,331.04,3200,50005,53.42,7
67,243.81,403.37,3200,50004,59.51,7
68,166.88,-2.74,16000,50008,96.68,8
69,330.01,388.95,16000,50005,38.92,7
70,149.71,-251.96,4000,50012,101.99,8
71,-270.86,200.62,8000,50000,33.80,7
72,-171.22,-268.57,16000,50013,185.73,9
73,133.07,-276.34,4000,50012,114.52,8
74,10.69,471.47,8000,50007,78.80,8
75,46.11,219.27,16000,50007,186.59,9
76,-28.52,92.54,3200,50001,94.66,8
77,-49.08,-163.65,3200,50012,136.37,9
78,-65.49,-496.77,8000,50011,193.32,9
79,98.48,333.24,16000,50007,127.99,9
80,175.48,-17.05,8000,50006,96.84,8
81,-195.04,212.09,16000,50000,66.62,8
82,121.82,-459.14,8000,50003,195.03,9
83,195.98,173.94,4000,50008,84.97,8
84,-152.88,-315.38,4000,50013,161.92,9
85,127.16,230.73,8000,50008,158.23,9
86,240.44,-297.79,3200,50003,169.07,9
87,184.76,153.13,8000,50008,65.40,8
88,32.44,-412.36,8000,50012,247.00,9
89,377.38,186.12,16000,50010,154.67,9
90,-388.72,-138.40,4000,50015,172.23,9
91,93.21,166.56,8000,50008,129.94,9
92,275.77,-211.62,8000,50012,192.93,9
93,-310.25,484.36,16000,50014,122.63,8
94,327.39,-168.52,16000,50010,227.11,9
95,-63.50,458.64,3200,50007,80.30,8
96,264.87,199.08,16000,50008,129.10,9
97,185.79,-116.17,3200,50006,81.31,8
98,443.05,416.27,3200,50005,136.37,9
99,-296.45,293.66,4000,50000,128.27,9
100,-202.71,404.93,3200,50014,187.10,9
101,373.98,-1.86,4000,50010,62.31,7
102,-337.24,-226.09,3200,50015,200.23,9
103,-7.60,-36.34,3200,50001,66.39,8
104,-4.02,-208.95,16000,50012,98.49,8
105,184.18,227.55,16000,50004,130.66,9
106,103.11,-7.58,3200,50001,77.39,8
107,224.25,-321.79,16000,50003,156.97,9
108,-1.47,-378.74,16000,50012,225.39,9
109,-139.56,-175.19,3200,50015,160.13,9
110,408.48,122.10,3200,50010,85.16,8
111,318.13,-3.93,8000,50010,111.90,8
112,-105.67,158.83,4000,50000,144.96,9
113,-241.09,-348.77,16000,50013,81.63,8
114,-392.15,147.21,8000,50000,144.87,9
115,-211.73,-168.61,16000,50015,121.23,8
116,-72.67,434.49,4000,50007,70.94,8
117,-234.54,158.75,3200,50000,21.71,7
118,-12.57,-342.73,3200,50012,198.13,9
