ID,X,Y,Channel,UF,Connected EDs
50019,337.00,440.12,0,0.24,1584
50001,230.39,350.33,1,0.48,3172
50009,487.13,412.84,2,0.27,1786
50007,35.35,446.72,3,0.46,3072
50005,216.45,3.26,4,0.54,3566
50013,-104.27,285.27,5,0.54,3553
50017,374.08,-144.95,6,0.54,3613
50014,-54.71,-103.08,7,0.54,3544
50012,-255.26,54.16,8,0.43,2880
50018,204.34,-281.48,9,0.46,3042
50010,-313.46,81.06,10,0.25,1652
50015,436.40,-368.35,11,0.16,1065
50006,-433.96,255.40,11,0.45,3039
50011,416.77,-402.77,12,0.19,1259
50000,-410.57,67.09,13,0.25,1636
50020,-106.27,-335.00,14,0.43,2848
50002,135.60,-459.17,15,0.20,1304
50016,198.15,-474.79,16,0.12,780
50004,-258.08,-346.03,2,0.42,2768
50003,-461.05,-166.26,17,0.31,2038
50008,-446.30,-373.89,0,0.28,1799
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3600,50017,51.92,7
1,298.44,411.65,3600,50019,47.94,7
2,-164.78,268.23,3600,50013,62.86,8
3,53.97,-22.60,3600,50014,135.24,9
4,-135.22,13.40,3600,50012,126.77,9
5,416.20,135.71,3600,50005,239.67,9
6,-358.40,106.97,3600,50010,51.87,7
7,-257.11,-362.77,3600,50004,16.77,7
8,-343.32,-99.06,3600,50003,135.56,9
9,-391.19,498.92,3600,50006,247.25,9
10,12.93,339.11,3600,50007,109.91,8
11,-203.97,137.55,3600,50012,97.90,8
12,-6.42,472.78,3600,50007,49.23,7
13,271.36,26.74,3600,50005,59.72,7
14,-99.77,391.53,3600,50013,106.36,8
15,-147.54,307.72,3600,50013,48.75,7
16,-430.24,449.33,3600,50006,193.96,9
17,-413.94,-307.79,3600,50008,73.60,8
18,390.23,-151.11,3600,50017,17.28,7
19,-479.98,-42.30,3600,50003,125.40,9
20,-261.72,470.63,3600,50013,243.21,9
21,350.92,-233.33,3600,50017,91.37,8
22,-124.79,260.25,3600,50013,32.36,7
23,167.72,31.61,3600,50005,56.37,7
24,-62.36,431.84,3600,50007,98.84,8
25,220.95,-215.71,3600,50018,67.83,8
26,139.98,-145.95,3600,50018,150.03,9
27,-334.03,-59.90,3600,50012,138.61,9
28,329.20,-169.66,3600,50017,51.24,7
29,393.37,-149.64,3600,50017,19.85,7
30,456.47,88.64,3600,50017,247.69,9
31,358.68,-60.44,3600,50017,85.90,8
32,-101.56,314.77,3600,50013,29.62,7
33,410.97,-17.51,3600,50017,132.67,9
34,450.25,420.13,3600,50009,37.60,7
35,381.06,141.08,3600,50005,214.69,9
36,119.60,-218.94,3600,50018,105.32,8
37,-192.54,-52.97,3600,50012,124.14,8
38,-312.47,-223.77,3600,50004,133.82,9
39,-83.50,-330.39,3600,50020,23.23,7
40,-396.83,-373.92,3600,50008,49.47,7
41,260.48,484.75,3600,50019,88.59,8
42,184.45,-116.81,3600,50005,124.26,8
43,-131.34,-205.84,3600,50014,128.18,9
44,84.49,-255.59,3600,50018,122.61,8
45,232.15,-374.53,3600,50018,97.12,8
46,-335.90,245.07,3600,50006,98.60,8
47,450.10,-447.47,3600,50011,55.76,7
48,-323.79,-259.94,3600,50004,108.31,8
49,232.65,156.56,3600,50005,154.16,9
50,139.46,259.73,3600,50001,128.36,9
51,-365.10,20.21,3600,50000,65.31,8
52,-430.09,-295.34,3600,50008,80.20,8
53,319.68,73.32,3600,50005,124.76,8
54,-448.06,-342.19,900,50008,31.74,7
55,-295.67,389.96,3600,50006,192.95,9
56,497.80,-445.94,3600,50011,91.81,8
57,-427.67,-495.84,3600,50008,123.37,8
58,93.89,-319.63,3600,50018,116.85,8
59,-108.31,413.03,3600,50013,127.82,9
60,-140.90,52.49,3600,50012,114.37,8
61,-47.42,187.39,3600,50013,113.19,8
62,30.81,257.29,3600,50013,137.95,9
63,492.23,76.97,3600,50017,251.41,10
64,247.81,128.91,3600,50005,129.51,9
65,247.80,333.24,3600,50001,24.40,7
66,373.27,331.04,1800,50019,114.96,8
67,243.81,403.37,900,50001,54.71,7
68,166.88,-2.74,3600,50005,49.93,7
69,330.01,388.95,3600,50019,51.65,7
70,149.71,-251.96,3600,50018,62.10,7
71,-270.86,200.62,3600,50010,126.92,9
72,-171.22,-268.57,3600,50020,92.90,8
73,133.07,-276.34,3600,50018,71.45,8
74,10.69,471.47,3600,50007,34.94,7
75,46.11,219.27,3600,50013,164.23,9
76,-28.52,92.54,3600,50014,197.37,9
77,-49.08,-163.65,3600,50014,60.83,7
78,-65.49,-496.77,3600,50020,166.83,9
79,98.48,333.24,3600,50007,129.85,9
80,175.48,-17.05,3600,50005,45.73,7
81,-195.04,212.09,3600,50013,116.60,8
82,121.82,-459.14,3600,50002,13.77,7
83,195.98,173.94,3600,50005,171.90,9
84,-152.88,-315.38,3600,50020,50.58,7
85,127.16,230.73,3600,50001,157.99,9
86,240.44,-297.79,3600,50018,39.61,7
87,184.76,153.13,3600,50005,153.19,9
88,32.44,-412.36,3600,50002,113.28,8
89,377.38,186.12,3600,50001,220.39,9
90,-388.72,-138.40,3600,50003,77.50,8
91,93.21,166.56,3600,50005,204.58,9
92,275.77,-211.62,3600,50018,99.91,8
93,-310.25,484.36,3600,50006,260.25,10
94,327.39,-168.52,3600,50017,52.31,7
95,-63.50,458.64,3600,50007,99.57,8
96,264.87,199.08,3600,50001,155.14,9
97,185.79,-116.17,3600,50005,123.30,8
98,443.05,416.27,3600,50009,44.22,7
99,-296.45,293.66,3600,50006,142.73,9
100,-202.71,404.93,3600,50013,154.95,9
101,373.98,-1.86,3600,50017,143.09,9
102,-337.24,-226.09,3600,50003,137.51,9
103,-7.60,-36.34,3600,50014,81.70,8
104,-4.02,-208.95,3600,50014,117.37,8
105,184.18,227.55,3600,50001,131.19,9
106,103.11,-7.58,3600,50005,113.86,8
107,224.25,-321.79,3600,50018,44.97,7
108,-1.47,-378.74,3600,50020,113.56,8
109,-139.56,-175.19,3600,50014,111.35,8
110,408.48,122.10,3600,50005,225.83,9
111,318.13,-3.93,3600,50005,101.93,8
112,-105.67,158.83,3600,50013,126.44,9
113,-241.09,-348.77,3600,50004,17.20,7
114,-392.15,147.21,3600,50000,82.21,8
115,-211.73,-168.61,3600,50014,170.14,9
116,-72.67,434.49,3600,50007,108.71,8
117,-234.54,158.75,3600,50012,106.62,8
118,-12.57,-342.73,3600,50020,94.01,8
119,125.67,17.71,3600,50005,91.93,8
120,57.56,-73.80,3600,50014,116.03,8
121,-105.61,-255.67,3600,50020,79.33,8
122,229.36,138.65,900,50005,136.01,9
123,-161.76,397.56,3600,50013,126.15,9
124,-89.21,-494.59,3600,50020,160.50,9
125,274.39,-206.32,3600,50018,102.74,8
126,365.53,221.01,3600,50001,187.06,9
127,-50.89,486.47,3600,50007,94.96,8
128,-289.12,-26.11,3600,50012,87.11,8
129,-406.08,-400.44,3600,50008,48.20,7
130,-198.24,157.12,3600,50012,117.70,8
131,-368.30,-448.49,3600,50008,107.94,8
132,-42.28,280.87,3600,50013,62.14,7
133,-57.44,-380.89,3600,50020,67.01,8
134,78.63,29.90,3600,50005,140.37,9
135,-138.08,-195.71,3600,50014,124.62,8
136,-23.42,-330.18,3600,50020,82.99,8
137,25.75,118.93,3600,50013,211.13,9
138,-266.34,329.81,3600,50013,168.08,9
139,-401.16,423.73,3600,50006,171.49,9
140,-18.27,-274.51,3600,50020,106.78,8
141,-209.17,-142.81,3600,50014,159.48,9
142,-155.75,314.91,3600,50013,59.40,7
143,-463.67,-242.53,3600,50003,76.32,8
144,125.96,336.10,3600,50001,105.39,8
145,-278.99,-301.98,3600,50004,48.76,7
146,-390.27,174.61,3600,50006,91.85,8
147,219.46,-299.65,3600,50018,23.64,7
148,-184.34,-65.99,3600,50014,134.83,9
149,-114.25,32.85,3600,50012,142.61,9
150,55.40,-485.42,3600,50002,84.39,8
151,-117.83,-194.59,3600,50014,111.17,8
152,-239.56,149.66,3600,50012,96.78,8
153,419.59,185.99,3600,50009,236.69,9
154,197.85,-188.05,3600,50018,93.65,8
155,-494.00,32.96,3600,50000,90.13,8
156,118.45,142.69,3600,50005,170.43,9
157,-99.29,-137.85,3600,50014,56.53,7
158,301.90,177.81,3600,50001,186.75,9
159,-467.11,-436.44,3600,50008,65.92,8
160,-312.38,118.96,3600,50010,37.92,7
161,67.83,-498.87,3600,50002,78.54,8
162,-194.76,-238.43,3600,50004,124.85,8
163,357.56,-318.84,3600,50015,93.10,8
164,167.34,379.01,3600,50001,69.26,8
165,-186.77,385.01,3600,50013,129.44,9
166,-342.86,3.46,3600,50010,82.98,8
167,175.65,404.17,3600,50001,76.77,8
168,-105.48,206.07,3600,50013,79.21,8
169,47.40,238.96,3600,50013,158.58,9
170,-266.88,426.58,3600,50013,215.43,9
171,433.42,-5.59,3600,50017,151.46,9
172,439.13,299.65,3600,50009,122.95,8
173,94.50,157.20,900,50005,196.39,9
174,435.85,-175.46,3600,50017,68.89,8
175,89.16,137.77,3600,50005,185.20,9
176,275.42,294.91,3600,50001,71.41,8
177,104.38,-29.44,3600,50005,116.74,8
178,295.49,365.09,3600,50001,66.76,8
179,164.41,-87.52,3600,50005,104.63,8
180,96.90,145.60,3600,50005,185.89,9
181,-351.66,79.02,3600,50010,38.25,7
182,200.91,18.15,3600,50005,21.52,7
183,15.05,-387.35,3600,50020,132.13,9
184,10.35,-451.50,3600,50002,125.48,9
185,-115.34,137.66,3600,50013,148.03,9
186,-356.02,-86.92,3600,50003,131.63,9
187,-93.23,-482.54,3600,50020,148.12,9
188,73.72,312.95,3600,50007,139.16,9
189,-53.26,-22.64,900,50014,80.46,8
190,-441.28,-425.74,3600,50008,52.10,7
191,97.28,-277.40,3600,50018,107.14,8
192,130.24,423.51,3600,50007,97.69,8
193,-37.15,-61.44,3600,50014,45.20,7
194,452.66,448.91,3600,50009,49.90,7
195,267.01,-166.43,3600,50017,109.20,8
196,-280.86,-22.45,3600,50012,80.77,8
197,-33.83,384.32,3600,50007,93.16,8
198,-316.23,-41.96,3600,50012,113.83,8
199,266.45,404.78,3600,50001,65.31,8
200,261.61,463.50,3600,50019,78.93,8
201,-97.62,60.78,3600,50012,157.78,9
202,122.17,-308.97,3600,50018,86.65,8
203,-139.89,153.88,3600,50013,136.13,9
204,-289.31,106.54,3600,50010,35.11,7
205,-390.22,-126.44,3600,50003,81.25,8
206,146.52,92.69,3600,50005,113.53,8
207,96.34,-441.14,3600,50002,43.20,7
208,63.62,-257.37,3600,50018,142.77,9
209,-156.16,-490.93,3600,50020,163.72,9
210,101.43,270.69,3600,50001,151.57,9
