ID,X,Y,Channel,UF,Connected EDs
5004,-131.06,284.37,0,0.10,1032
5003,-65.88,443.49,1,0.03,280
5002,184.96,226.33,2,0.11,1180
5000,-345.16,-267.69,3,0.13,1368
5001,370.24,-250.11,4,0.11,1140
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3200,5001,147.59,9
1,298.44,411.65,16000,5002,217.30,9
2,-164.78,268.23,8000,5004,37.38,7
3,53.97,-22.60,4000,5002,281.29,10
4,-135.22,13.40,3200,5004,271.00,10
5,416.20,135.71,4000,5002,248.36,9
6,-358.40,106.97,16000,5004,288.36,10
7,-257.11,-362.77,3200,5000,129.58,9
8,-343.32,-99.06,16000,5000,168.64,9
9,-391.19,498.92,16000,5003,330.00,10
10,12.93,339.11,4000,5003,130.79,9
11,-203.97,137.55,4000,5004,163.92,9
12,-6.42,472.78,8000,5003,66.29,8
13,271.36,26.74,3200,5002,217.48,9
14,-99.77,391.53,8000,5003,62.03,7
15,-147.54,307.72,3200,5004,28.59,7
16,-430.24,449.33,4000,5004,341.65,10
17,-413.94,-307.79,4000,5000,79.62,8
18,390.23,-151.11,16000,5001,101.01,8
19,-479.98,-42.30,16000,5000,262.63,10
20,-261.72,470.63,3200,5003,197.71,9
21,350.92,-233.33,4000,5001,25.59,7
22,-124.79,260.25,4000,5004,24.92,7
23,167.72,31.61,16000,5002,195.48,9
24,-62.36,431.84,3200,5003,12.17,7
25,220.95,-215.71,4000,5001,153.20,9
26,139.98,-145.95,4000,5001,252.73,10
27,-334.03,-59.90,3200,5000,208.09,9
28,329.20,-169.66,16000,5001,90.31,8
29,393.37,-149.64,4000,5001,103.10,8
30,456.47,88.64,4000,5002,304.42,10
31,358.68,-60.44,3200,5001,190.03,9
32,-101.56,314.77,4000,5004,42.36,7
33,410.97,-17.51,16000,5001,236.14,9
34,450.25,420.13,16000,5002,328.54,10
35,381.06,141.08,8000,5002,213.83,9
36,119.60,-218.94,3200,5001,252.58,10
37,-192.54,-52.97,16000,5000,263.43,10
38,-312.47,-223.77,4000,5000,54.75,7
39,-83.50,-330.39,3200,5000,269.07,10
40,-396.83,-373.92,8000,5000,118.14,8
41,260.48,484.75,3200,5002,269.23,10
