ID,X,Y,Channel,UF,Connected EDs
5005,-253.42,285.90,0,0.17,1170
5002,-53.02,-85.68,1,0.15,988
5004,301.04,157.30,2,0.15,961
5003,-356.17,-321.08,3,0.14,869
5001,314.39,-137.65,4,0.13,851
5000,481.69,-15.60,5,0.02,161
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3600,5001,41.13,7
1,298.44,411.65,3600,5004,254.36,10
2,-164.78,268.23,3600,5005,90.39,8
3,53.97,-22.60,3600,5002,124.20,8
4,-135.22,13.40,3600,5002,128.74,9
5,416.20,135.71,3600,5004,117.16,8
6,-358.40,106.97,3600,5005,207.45,9
7,-257.11,-362.77,3600,5003,107.47,8
8,-343.32,-99.06,3600,5003,222.39,9
9,-391.19,498.92,3600,5005,253.70,10
10,12.93,339.11,3600,5005,271.62,10
11,-203.97,137.55,3600,5005,156.37,9
12,-6.42,472.78,3600,5005,309.74,10
13,271.36,26.74,3600,5004,133.89,9
14,-99.77,391.53,3600,5005,186.46,9
15,-147.54,307.72,3600,5005,108.11,8
16,-430.24,449.33,3600,5005,240.78,9
17,-413.94,-307.79,3600,5003,59.29,7
18,390.23,-151.11,3600,5001,77.03,8
19,-479.98,-42.30,3600,5003,305.04,10
20,-261.72,470.63,3600,5005,184.93,9
21,350.92,-233.33,3600,5001,102.42,8
22,-124.79,260.25,3600,5005,131.16,9
23,167.72,31.61,3600,5004,183.23,9
24,-62.36,431.84,3600,5005,240.42,9
25,220.95,-215.71,3600,5001,121.75,8
26,139.98,-145.95,3600,5001,174.61,9
27,-334.03,-59.90,3600,5003,262.12,10
28,329.20,-169.66,3600,5001,35.27,7
29,393.37,-149.64,3600,5001,79.89,8
30,456.47,88.64,3600,5000,107.25,8
31,358.68,-60.44,3600,5001,89.01,8
32,-101.56,314.77,3600,5005,154.58,9
33,410.97,-17.51,3600,5000,70.74,8
34,450.25,420.13,3600,5004,302.23,10
35,381.06,141.08,3600,5004,81.65,8
36,119.60,-218.94,3600,5001,211.07,9
37,-192.54,-52.97,3600,5002,143.31,9
38,-312.47,-223.77,3600,5003,106.67,8
39,-83.50,-330.39,3600,5002,246.60,9
40,-396.83,-373.92,3600,5003,66.68,8
41,260.48,484.75,3600,5004,329.95,10
42,184.45,-116.81,3600,5001,131.61,9
43,-131.34,-205.84,3600,5002,143.43,9
44,84.49,-255.59,3600,5002,218.58,9
45,232.15,-374.53,3600,5001,250.74,10
46,-335.90,245.07,3600,5005,92.03,8
47,450.10,-447.47,3600,5001,338.24,10
48,-323.79,-259.94,3600,5003,69.18,8
49,232.65,156.56,3600,5004,68.39,8
50,139.46,259.73,3600,5004,191.31,9
51,-365.10,20.21,3600,5005,288.20,10
52,-430.09,-295.34,3600,5003,78.28,8
53,319.68,73.32,3600,5004,86.02,8
54,-448.06,-342.19,900,5003,94.29,8
55,-295.67,389.96,3600,5005,112.31,8
56,497.80,-445.94,3600,5001,358.72,10
57,-427.67,-495.84,3600,5003,188.82,9
58,93.89,-319.63,3600,5002,276.25,10
59,-108.31,413.03,3600,5005,192.93,9
60,-140.90,52.49,3600,5002,163.75,9
61,-47.42,187.39,3600,5005,228.34,9
62,30.81,257.29,3600,5005,285.67,10
63,492.23,76.97,3600,5000,93.17,8
64,247.81,128.91,3600,5004,60.33,7
65,247.80,333.24,3600,5004,183.82,9
66,373.27,331.04,1800,5004,188.15,9
67,243.81,403.37,900,5004,252.63,10
68,166.88,-2.74,3600,5001,199.90,9
69,330.01,388.95,3600,5004,233.45,9
70,149.71,-251.96,3600,5001,200.46,9
71,-270.86,200.62,3600,5005,87.04,8
72,-171.22,-268.57,3600,5003,192.25,9
73,133.07,-276.34,3600,5001,228.28,9
74,10.69,471.47,3600,5005,322.79,10
75,46.11,219.27,3600,5004,262.36,10
76,-28.52,92.54,3600,5002,179.90,9
77,-49.08,-163.65,3600,5002,78.07,8
78,-65.49,-496.77,3600,5003,339.65,10
79,98.48,333.24,3600,5004,268.30,10
80,175.48,-17.05,3600,5001,183.96,9
81,-195.04,212.09,3600,5005,94.10,8
82,121.82,-459.14,3600,5001,374.74,10
83,195.98,173.94,3600,5004,106.36,8
84,-152.88,-315.38,3600,5003,203.36,9
85,127.16,230.73,3600,5004,188.75,9
86,240.44,-297.79,3600,5001,176.38,9
87,184.76,153.13,3600,5004,116.36,8
88,32.44,-412.36,3600,5002,337.67,10
89,377.38,186.12,3600,5004,81.60,8
90,-388.72,-138.40,3600,5003,185.56,9
91,93.21,166.56,3600,5004,208.03,9
92,275.77,-211.62,3600,5001,83.44,8
93,-310.25,484.36,3600,5005,206.44,9
94,327.39,-168.52,3600,5001,33.49,7
95,-63.50,458.64,3600,5005,256.73,10
96,264.87,199.08,3600,5004,55.26,7
97,185.79,-116.17,3600,5001,130.39,9
98,443.05,416.27,3600,5004,295.35,10
99,-296.45,293.66,3600,5005,43.72,7
100,-202.71,404.93,3600,5005,129.39,9
101,373.98,-1.86,3600,5000,108.58,8
102,-337.24,-226.09,3600,5003,96.86,8
103,-7.60,-36.34,3600,5002,67.06,8
