ID,X,Y,Channel,UF,Connected EDs
5018,-197.84,272.30,0,0.22,219
5026,15.36,207.02,1,0.19,206
5003,-253.02,427.41,2,0.14,144
5007,-86.79,55.93,3,0.16,176
5028,-265.05,53.74,4,0.22,227
5015,-21.86,425.62,5,0.18,190
5000,-399.84,209.03,6,0.15,156
5020,-421.86,407.00,7,0.15,149
5023,186.31,358.80,4,0.14,149
5016,-461.51,20.73,1,0.14,136
5011,122.23,-1.43,2,0.17,175
5012,210.13,167.82,6,0.17,178
5014,-3.72,-123.04,5,0.16,178
5024,-181.42,-161.75,7,0.19,182
5006,-366.36,-159.48,2,0.20,206
5029,255.28,472.50,3,0.08,88
5001,300.50,23.15,7,0.14,137
5005,388.47,258.73,8,0.17,169
5009,-19.28,-289.26,6,0.15,152
5010,212.62,-179.83,4,0.13,137
5035,-264.39,-315.00,8,0.08,90
5032,157.79,-261.45,9,0.12,130
5002,420.65,420.62,2,0.13,138
5025,-229.62,-378.18,10,0.13,137
5021,-439.48,-321.51,3,0.11,110
5013,458.10,88.74,5,0.10,99
5022,432.31,-71.30,1,0.12,127
5004,352.83,-190.48,3,0.11,115
5017,-45.16,-449.28,1,0.13,130
5034,-450.62,-428.11,4,0.04,46
5008,-376.13,-461.01,5,0.07,74
5027,136.77,-431.41,11,0.14,146
5033,-430.05,-485.85,0,0.02,23
5030,441.28,-283.46,8,0.09,93
5031,315.78,-426.24,10,0.09,94
5019,398.24,-396.76,0,0.09,94
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,320,5004,85.80,8
1,298.44,411.65,1600,5029,74.61,8
2,-164.78,268.23,800,5018,33.31,7
3,53.97,-22.60,400,5011,71.47,8
4,-135.22,13.40,320,5007,64.45,8
5,416.20,135.71,400,5013,62.95,8
6,-358.40,106.97,1600,5028,107.46,8
7,-257.11,-362.77,320,5025,31.52,7
8,-343.32,-99.06,1600,5006,64.66,8
9,-391.19,498.92,1600,5020,96.91,8
10,12.93,339.11,400,5015,93.24,8
11,-203.97,137.55,400,5028,103.71,8
12,-6.42,472.78,800,5015,49.62,7
13,271.36,26.74,320,5001,29.36,7
14,-99.77,391.53,800,5015,85.04,8
15,-147.54,307.72,320,5018,61.52,7
16,-430.24,449.33,400,5020,43.15,7
17,-413.94,-307.79,400,5021,28.99,7
18,390.23,-151.11,1600,5004,54.30,7
19,-479.98,-42.30,1600,5016,65.68,8
20,-261.72,470.63,320,5003,44.10,7
21,350.92,-233.33,400,5004,42.90,7
22,-124.79,260.25,400,5018,74.04,8
23,167.72,31.61,1600,5011,56.22,7
24,-62.36,431.84,320,5015,40.97,7
25,220.95,-215.71,400,5010,36.83,7
26,139.98,-145.95,400,5010,80.15,8
27,-334.03,-59.90,320,5006,104.70,8
28,329.20,-169.66,1600,5004,31.49,7
29,393.37,-149.64,400,5004,57.54,7
30,456.47,88.64,400,5013,1.64,7
31,358.68,-60.44,320,5022,74.43,8
32,-101.56,314.77,400,5018,105.23,8
33,410.97,-17.51,1600,5022,57.86,7
34,450.25,420.13,1600,5002,29.61,7
35,381.06,141.08,800,5013,93.14,8
36,119.60,-218.94,320,5032,57.15,7
37,-192.54,-52.97,1600,5024,109.35,8
38,-312.47,-223.77,400,5006,83.89,8
39,-83.50,-330.39,320,5009,76.26,8
40,-396.83,-373.92,800,5021,67.58,8
41,260.48,484.75,320,5029,13.31,7
42,184.45,-116.81,400,5010,69.03,8
43,-131.34,-205.84,1600,5024,66.73,8
44,84.49,-255.59,1600,5032,73.54,8
45,232.15,-374.53,320,5031,98.33,8
46,-335.90,245.07,1600,5000,73.40,8
47,450.10,-447.47,400,5019,72.54,8
48,-323.79,-259.94,320,5035,80.99,8
49,232.65,156.56,320,5012,25.18,7
50,139.46,259.73,1600,5023,109.58,8
51,-365.10,20.21,1600,5016,96.41,8
52,-430.09,-295.34,800,5021,27.80,7
53,319.68,73.32,320,5001,53.71,7
54,-448.06,-342.19,320,5021,22.39,7
55,-295.67,389.96,1600,5003,56.76,7
56,497.80,-445.94,320,5019,111.05,8
57,-427.67,-495.84,320,5033,10.27,7
58,93.89,-319.63,1600,5032,86.42,8
59,-108.31,413.03,320,5015,87.36,8
60,-140.90,52.49,400,5007,54.22,7
61,-47.42,187.39,1600,5026,65.78,8
62,30.81,257.29,800,5026,52.59,7
63,492.23,76.97,320,5013,36.10,7
64,247.81,128.91,1600,5012,54.16,7
65,247.80,333.24,320,5023,66.60,8
66,373.27,331.04,320,5005,73.89,8
67,243.81,403.37,320,5029,70.08,8
68,166.88,-2.74,1600,5011,44.67,7
69,330.01,388.95,1600,5002,96.01,8
70,149.71,-251.96,400,5032,12.47,7
71,-270.86,200.62,800,5018,102.33,8
72,-171.22,-268.57,1600,5035,104.09,8
73,133.07,-276.34,400,5032,28.86,7
74,10.69,471.47,800,5015,56.23,7
75,46.11,219.27,1600,5026,33.09,7
76,-28.52,92.54,320,5007,68.82,8
77,-49.08,-163.65,320,5014,60.88,7
78,-65.49,-496.77,800,5017,51.66,7
79,98.48,333.24,1600,5023,91.47,8
80,175.48,-17.05,800,5011,55.49,7
81,-195.04,212.09,1600,5018,60.28,7
82,121.82,-459.14,800,5027,31.50,7
83,195.98,173.94,400,5012,15.41,7
84,-152.88,-315.38,400,5025,99.16,8
85,127.16,230.73,800,5012,104.13,8
86,240.44,-297.79,320,5032,90.28,8
87,184.76,153.13,800,5012,29.32,7
88,32.44,-412.36,800,5017,85.94,8
89,377.38,186.12,1600,5005,73.45,8
90,-388.72,-138.40,400,5006,30.73,7
91,93.21,166.56,800,5026,87.74,8
92,275.77,-211.62,800,5010,70.70,8
93,-310.25,484.36,1600,5003,80.74,8
94,327.39,-168.52,1600,5004,33.61,7
95,-63.50,458.64,320,5015,53.14,7
96,264.87,199.08,1600,5012,63.03,8
97,185.79,-116.17,320,5010,69.08,8
98,443.05,416.27,320,5002,22.82,7
99,-296.45,293.66,400,5018,100.90,8
100,-202.71,404.93,320,5003,55.10,7
