ID,X,Y,Channel,UF,Connected EDs
5025,-166.38,188.06,0,0.10,94
5108,-195.39,367.44,1,0.07,71
5002,-84.16,340.67,2,0.06,73
5089,-149.17,126.53,3,0.04,47
5092,-25.79,222.07,4,0.07,71
5032,-130.26,399.59,5,0.01,13
5067,-311.79,304.65,6,0.06,60
5050,-147.31,87.72,7,0.05,56
5084,-343.57,304.54,8,0.01,10
5035,-117.67,442.36,9,0.03,36
5099,23.46,306.36,10,0.08,85
5078,-314.83,390.05,11,0.04,36
5058,-369.46,200.28,12,0.05,51
5021,-309.45,88.16,13,0.03,36
5041,-372.19,324.07,14,0.03,27
5082,-307.20,85.31,15,0.04,39
5013,60.25,209.79,16,0.06,69
5080,-255.87,472.09,17,0.03,27
5106,4.09,82.61,18,0.06,64
5037,-276.30,466.89,19,0.03,33
5052,-360.48,92.79,20,0.04,45
5001,-50.34,481.30,21,0.07,70
5100,-0.59,45.98,19,0.02,27
5051,-172.97,-12.26,21,0.05,52
5093,-253.41,-6.39,22,0.05,56
5007,-436.19,140.23,16,0.06,60
5053,-101.27,-37.51,17,0.05,55
5081,-399.95,447.22,18,0.10,105
5044,-475.65,282.28,23,0.05,53
5097,140.24,326.28,12,0.05,50
5008,13.44,-10.64,11,0.02,21
5077,172.09,283.84,8,0.02,18
5020,-368.66,-22.46,9,0.02,18
5065,-355.43,-32.62,10,0.04,41
5027,182.65,253.77,13,0.03,30
5087,62.74,-10.22,14,0.03,32
5023,-398.81,-7.18,24,0.05,56
5014,-381.82,-22.43,25,0.01,9
5069,33.59,-50.80,23,0.01,11
5062,47.27,-43.62,6,0.02,17
5028,165.29,411.30,15,0.03,29
5057,197.00,157.71,20,0.09,85
5004,-106.76,-120.88,5,0.05,51
5070,170.45,436.45,22,0.03,35
5063,131.09,-12.28,1,0.08,86
5000,33.86,-97.03,26,0.05,51
5107,-249.42,-147.94,2,0.03,22
5019,-232.70,-155.01,27,0.05,55
5042,251.23,284.44,24,0.03,30
5064,257.49,163.93,25,0.04,45
5098,-301.68,-158.60,28,0.05,53
5101,-360.16,-137.68,1,0.07,66
5010,280.19,246.69,27,0.03,34
5022,-425.72,-110.12,4,0.07,65
5104,-88.58,-196.47,8,0.06,62
5066,255.03,444.03,3,0.03,33
5045,285.93,360.75,7,0.04,35
5026,54.79,-182.88,12,0.04,49
5016,-23.42,-216.67,29,0.05,45
5074,297.20,429.59,6,0.01,18
5038,186.76,-109.16,9,0.08,79
5043,335.55,153.00,5,0.04,37
5076,336.40,100.04,21,0.04,42
5048,-52.23,-270.81,30,0.07,74
5083,367.45,315.36,17,0.03,37
5071,275.52,-63.37,2,0.06,60
5102,366.42,369.17,11,0.01,14
5068,341.99,460.64,1,0.03,25
5030,368.33,398.93,14,0.01,18
5061,111.15,-229.33,10,0.04,50
5054,-490.62,-211.38,6,0.05,55
5047,356.12,25.02,28,0.05,53
5006,-210.49,-328.38,16,0.12,120
5036,387.18,459.71,9,0.03,31
5034,341.46,-65.32,3,0.03,26
5018,433.78,165.96,29,0.06,56
5075,423.71,398.39,18,0.06,56
5049,442.37,304.81,19,0.04,38
5085,296.66,-148.21,7,0.05,50
5012,105.44,-304.12,4,0.03,26
5090,-372.02,-330.83,3,0.12,123
5046,108.89,-319.39,13,0.05,49
5103,197.97,-275.05,15,0.04,51
5060,483.63,268.22,4,0.04,32
5039,382.19,-100.23,22,0.03,27
5003,340.90,-158.90,31,0.01,11
5072,175.53,-307.53,24,0.02,22
5096,343.58,-165.02,32,0.05,53
5073,465.90,46.33,30,0.05,47
5088,423.19,-86.32,33,0.03,36
5033,-137.45,-436.26,7,0.07,73
5086,191.09,-369.38,20,0.04,39
5024,6.62,-445.55,18,0.06,60
5015,482.60,-70.42,16,0.02,23
5079,-200.26,-480.16,11,0.03,28
5059,-430.65,-436.83,12,0.11,112
5091,-17.59,-475.00,19,0.03,30
5105,307.15,-323.30,27,0.03,36
5029,-249.78,-487.27,14,0.05,51
5055,495.45,-100.53,8,0.03,29
5040,321.51,-317.94,17,0.05,49
5031,65.56,-483.14,21,0.03,39
5095,28.98,-499.99,22,0.01,5
5009,170.39,-453.00,25,0.04,41
5005,212.69,-484.00,28,0.02,22
5011,403.04,-371.79,5,0.05,52
5094,480.42,-318.53,6,0.06,70
5017,297.00,-490.09,1,0.02,27
5056,379.24,-471.78,0,0.04,43
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,320,5034,40.32,7
1,298.44,411.65,1600,5074,17.99,7
2,-164.78,268.23,800,5025,80.19,8
3,53.97,-22.60,400,5087,15.17,7
4,-135.22,13.40,320,5051,45.65,7
5,416.20,135.71,400,5018,34.99,7
6,-358.40,106.97,1600,5052,14.33,7
7,-257.11,-362.77,320,5006,57.94,7
8,-343.32,-99.06,1600,5101,42.14,7
9,-391.19,498.92,1600,5081,52.44,7
10,12.93,339.11,400,5099,34.40,7
11,-203.97,137.55,400,5089,55.89,7
12,-6.42,472.78,800,5001,44.74,7
13,271.36,26.74,320,5047,84.78,8
14,-99.77,391.53,800,5032,31.53,7
15,-147.54,307.72,320,5002,71.43,8
16,-430.24,449.33,400,5081,30.37,7
17,-413.94,-307.79,400,5090,47.84,7
18,390.23,-151.11,1600,5096,48.69,7
19,-479.98,-42.30,1600,5022,86.86,8
20,-261.72,470.63,320,5080,6.03,7
21,350.92,-233.33,400,5096,68.70,8
22,-124.79,260.25,400,5025,83.31,8
23,167.72,31.61,1600,5063,57.17,7
24,-62.36,431.84,320,5001,50.90,7
25,220.95,-215.71,400,5103,63.64,8
26,139.98,-145.95,400,5038,59.52,7
27,-334.03,-59.90,320,5065,34.68,7
28,329.20,-169.66,1600,5096,15.11,7
29,393.37,-149.64,400,5039,50.66,7
30,456.47,88.64,400,5073,43.35,7
31,358.68,-60.44,320,5034,17.89,7
32,-101.56,314.77,400,5002,31.20,7
33,410.97,-17.51,1600,5047,69.40,8
34,450.25,420.13,1600,5075,34.31,7
35,381.06,141.08,800,5043,47.04,7
36,119.60,-218.94,320,5061,13.39,7
37,-192.54,-52.97,1600,5051,45.17,7
38,-312.47,-223.77,400,5098,66.06,8
39,-83.50,-330.39,320,5048,67.29,8
40,-396.83,-373.92,800,5090,49.72,7
41,260.48,484.75,320,5066,41.08,7
42,184.45,-116.81,400,5038,7.99,7
43,-131.34,-205.84,1600,5104,43.77,7
44,84.49,-255.59,1600,5061,37.42,7
45,232.15,-374.53,320,5086,41.38,7
46,-335.90,245.07,1600,5058,55.97,7
47,450.10,-447.47,400,5056,74.92,8
48,-323.79,-259.94,320,5090,85.74,8
49,232.65,156.56,320,5064,25.90,7
50,139.46,259.73,1600,5077,40.58,7
51,-365.10,20.21,1600,5020,42.82,7
52,-430.09,-295.34,800,5090,68.05,8
53,319.68,73.32,320,5076,31.53,7
54,-448.06,-342.19,320,5090,76.88,8
55,-295.67,389.96,1600,5078,19.16,7
56,497.80,-445.94,320,5011,120.33,8
57,-427.67,-495.84,320,5059,59.08,7
58,93.89,-319.63,1600,5046,15.00,7
59,-108.31,413.03,320,5032,25.73,7
