ID,X,Y,Channel,UF,Connected EDs
502,-267.14,-197.11,0,0.02,154
501,240.75,-148.10,1,0.01,148
500,-62.31,328.03,2,0.01,113
503,282.12,245.74,3,0.01,85
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3200,501,108.13,8
1,298.44,411.65,16000,503,166.71,9
2,-164.78,268.23,8000,500,118.64,8
3,53.97,-22.60,4000,501,225.03,9
4,-135.22,13.40,3200,502,248.43,9
5,416.20,135.71,4000,503,173.44,9
6,-358.40,106.97,16000,502,317.47,10
7,-257.11,-362.77,3200,502,165.96,9
8,-343.32,-99.06,16000,502,124.17,8
9,-391.19,498.92,16000,500,370.64,10
10,12.93,339.11,4000,500,76.05,8
11,-203.97,137.55,4000,500,237.38,9
12,-6.42,472.78,8000,500,155.16,9
13,271.36,26.74,3200,501,177.50,9
14,-99.77,391.53,8000,500,73.73,8
15,-147.54,307.72,3200,500,87.62,8
16,-430.24,449.33,4000,500,387.42,10
17,-413.94,-307.79,4000,502,183.85,9
18,390.23,-151.11,16000,501,149.51,9
19,-479.98,-42.30,16000,502,263.18,10
20,-261.72,470.63,3200,500,245.16,9
21,350.92,-233.33,4000,501,139.29,9
22,-124.79,260.25,4000,500,92.19,8
23,167.72,31.61,16000,501,193.98,9
24,-62.36,431.84,3200,500,103.81,8
25,220.95,-215.71,4000,501,70.45,8
26,139.98,-145.95,4000,501,100.80,8
27,-334.03,-59.90,3200,502,152.64,9
28,329.20,-169.66,16000,501,91.04,8
29,393.37,-149.64,4000,501,152.63,9
30,456.47,88.64,4000,503,234.69,9
31,358.68,-60.44,3200,501,146.94,9
32,-101.56,314.77,4000,500,41.44,7
33,410.97,-17.51,16000,501,214.54,9
34,450.25,420.13,16000,503,242.24,9
35,381.06,141.08,8000,503,144.03,9
36,119.60,-218.94,3200,501,140.35,9
37,-192.54,-52.97,16000,502,162.30,9
38,-312.47,-223.77,4000,502,52.58,7
39,-83.50,-330.39,3200,502,226.92,9
40,-396.83,-373.92,8000,502,219.28,9
41,260.48,484.75,3200,503,239.99,9
42,184.45,-116.81,4000,501,64.42,8
43,-131.34,-205.84,16000,502,136.09,9
44,84.49,-255.59,16000,501,189.66,9
45,232.15,-374.53,3200,501,226.59,9
46,-335.90,245.07,16000,500,285.89,10
47,450.10,-447.47,4000,501,365.31,10
48,-323.79,-259.94,3200,502,84.59,8
49,232.65,156.56,3200,503,101.98,8
50,139.46,259.73,16000,503,143.35,9
51,-365.10,20.21,16000,502,238.37,9
52,-430.09,-295.34,8000,502,190.27,9
53,319.68,73.32,3200,503,176.47,9
54,-448.06,-342.19,3200,502,231.91,9
55,-295.67,389.96,16000,500,241.44,9
56,497.80,-445.94,3200,501,393.42,10
57,-427.67,-495.84,3200,502,339.13,10
58,93.89,-319.63,16000,501,225.81,9
59,-108.31,413.03,3200,500,96.65,8
60,-140.90,52.49,4000,502,279.70,10
61,-47.42,187.39,16000,500,141.43,9
62,30.81,257.29,8000,500,116.93,8
63,492.23,76.97,3200,503,269.50,10
64,247.81,128.91,16000,503,121.76,8
65,247.80,333.24,3200,503,93.99,8
66,373.27,331.04,3200,503,124.84,8
67,243.81,403.37,3200,503,162.21,9
68,166.88,-2.74,16000,501,163.05,9
69,330.01,388.95,16000,503,151.00,9
70,149.71,-251.96,4000,501,138.11,9
71,-270.86,200.62,8000,500,244.40,9
72,-171.22,-268.57,16000,502,119.62,8
73,133.07,-276.34,4000,501,167.46,9
74,10.69,471.47,8000,500,160.94,9
75,46.11,219.27,16000,500,153.56,9
76,-28.52,92.54,3200,500,237.90,9
77,-49.08,-163.65,3200,502,220.61,9
78,-65.49,-496.77,8000,502,361.20,10
79,98.48,333.24,16000,500,160.87,9
80,175.48,-17.05,8000,501,146.41,9
81,-195.04,212.09,16000,500,176.24,9
82,121.82,-459.14,8000,501,333.00,10
83,195.98,173.94,4000,503,112.14,8
84,-152.88,-315.38,4000,502,164.45,9
85,127.16,230.73,8000,503,155.69,9
86,240.44,-297.79,3200,501,149.69,9
87,184.76,153.13,8000,503,134.37,9
88,32.44,-412.36,8000,501,336.49,10
89,377.38,186.12,16000,503,112.38,8
90,-388.72,-138.40,4000,502,135.01,9
91,93.21,166.56,8000,503,204.83,9
92,275.77,-211.62,8000,501,72.53,8
93,-310.25,484.36,16000,500,293.12,10
94,327.39,-168.52,16000,501,89.01,8
95,-63.50,458.64,3200,500,130.61,9
96,264.87,199.08,16000,503,49.75,7
97,185.79,-116.17,3200,501,63.57,8
98,443.05,416.27,3200,503,234.48,9
99,-296.45,293.66,4000,500,236.66,9
100,-202.71,404.93,3200,500,160.09,9
101,373.98,-1.86,4000,501,197.83,9
102,-337.24,-226.09,3200,502,75.85,8
103,-7.60,-36.34,3200,501,272.34,10
104,-4.02,-208.95,16000,501,252.23,10
105,184.18,227.55,16000,503,99.62,8
106,103.11,-7.58,3200,501,196.70,9
107,224.25,-321.79,16000,501,174.47,9
108,-1.47,-378.74,16000,502,321.82,10
109,-139.56,-175.19,3200,502,129.45,9
110,408.48,122.10,3200,503,176.80,9
111,318.13,-3.93,8000,501,163.62,9
112,-105.67,158.83,4000,500,174.67,9
113,-241.09,-348.77,16000,502,153.88,9
114,-392.15,147.21,8000,502,366.31,10
115,-211.73,-168.61,16000,502,62.31,7
116,-72.67,434.49,4000,500,106.97,8
117,-234.54,158.75,3200,500,241.50,9
118,-12.57,-342.73,3200,502,293.28,10
119,125.67,17.71,16000,501,201.84,9
120,57.56,-73.80,3200,501,197.69,9
121,-105.61,-255.67,8000,502,171.82,9
122,229.36,138.65,3200,503,119.38,8
123,-161.76,397.56,16000,500,121.35,8
124,-89.21,-494.59,3200,502,346.64,10
125,274.39,-206.32,16000,501,67.24,8
126,365.53,221.01,16000,503,87.01,8
127,-50.89,486.47,4000,500,158.85,9
128,-289.12,-26.11,3200,502,172.41,9
129,-406.08,-400.44,8000,502,246.27,9
130,-198.24,157.12,3200,500,218.37,9
131,-368.30,-448.49,16000,502,270.97,10
132,-42.28,280.87,4000,500,51.23,7
133,-57.44,-380.89,4000,502,278.84,10
134,78.63,29.90,4000,501,240.76,9
135,-138.08,-195.71,3200,502,129.07,9
136,-23.42,-330.18,4000,502,277.69,10
137,25.75,118.93,4000,500,226.89,9
138,-266.34,329.81,16000,500,204.05,9
139,-401.16,423.73,16000,500,352.11,10
140,-18.27,-274.51,3200,502,260.64,10
141,-209.17,-142.81,3200,502,79.43,8
142,-155.75,314.91,4000,500,94.36,8
143,-463.67,-242.53,3200,502,201.71,9
144,125.96,336.10,8000,503,180.42,9
145,-278.99,-301.98,4000,502,105.54,8
146,-390.27,174.61,3200,500,362.07,10
147,219.46,-299.65,8000,501,153.04,9
148,-184.34,-65.99,16000,502,155.07,9
149,-114.25,32.85,16000,502,276.14,10
150,55.40,-485.42,8000,501,384.89,10
151,-117.83,-194.59,4000,502,149.33,9
152,-239.56,149.66,4000,500,251.46,10
153,419.59,185.99,3200,503,149.90,9
154,197.85,-188.05,4000,501,58.62,7
155,-494.00,32.96,3200,502,323.10,10
156,118.45,142.69,4000,503,193.41,9
157,-99.29,-137.85,4000,502,178.01,9
158,301.90,177.81,16000,503,70.75,8
159,-467.11,-436.44,4000,502,311.87,10
160,-312.38,118.96,4000,502,319.29,10
161,67.83,-498.87,16000,501,391.08,10
162,-194.76,-238.43,4000,502,83.35,8
163,357.56,-318.84,8000,501,206.87,9
164,167.34,379.01,4000,503,175.88,9
165,-186.77,385.01,16000,500,136.89,9
166,-342.86,3.46,3200,502,214.38,9
167,175.65,404.17,16000,503,190.88,9
168,-105.48,206.07,3200,500,129.38,9
169,47.40,238.96,3200,500,141.31,9
170,-266.88,426.58,4000,500,227.07,9
171,433.42,-5.59,4000,501,239.64,9
172,439.13,299.65,3200,503,166.01,9
173,94.50,157.20,3200,503,207.46,9
174,435.85,-175.46,3200,501,197.01,9
175,89.16,137.77,3200,503,221.12,9
176,275.42,294.91,8000,503,49.62,7
177,104.38,-29.44,16000,501,180.77,9
178,295.49,365.09,3200,503,120.09,8
179,164.41,-87.52,4000,501,97.46,8
180,96.90,145.60,4000,503,210.56,9
181,-351.66,79.02,16000,502,288.77,10
182,200.91,18.15,3200,501,170.96,9
183,15.05,-387.35,8000,501,328.91,10
184,10.35,-451.50,3200,502,376.45,10
185,-115.34,137.66,8000,500,197.62,9
186,-356.02,-86.92,16000,502,141.56,9
187,-93.23,-482.54,4000,502,334.24,10
188,73.72,312.95,4000,500,136.86,9
189,-53.26,-22.64,3200,502,276.02,10
190,-441.28,-425.74,4000,502,287.39,10
191,97.28,-277.40,16000,501,193.14,9
192,130.24,423.51,4000,500,214.92,9
193,-37.15,-61.44,3200,502,267.03,10
194,452.66,448.91,3200,503,265.26,10
195,267.01,-166.43,4000,501,32.02,7
196,-280.86,-22.45,3200,502,175.20,9
197,-33.83,384.32,3200,500,63.08,8
198,-316.23,-41.96,3200,502,162.73,9
199,266.45,404.78,8000,503,159.81,9
200,261.61,463.50,8000,503,218.73,9
201,-97.62,60.78,4000,500,269.57,10
202,122.17,-308.97,8000,501,199.86,9
203,-139.89,153.88,3200,500,190.65,9
204,-289.31,106.54,3200,502,304.46,10
205,-390.22,-126.44,16000,502,141.92,9
206,146.52,92.69,4000,503,204.48,9
207,96.34,-441.14,4000,501,326.69,10
208,63.62,-257.37,16000,501,208.13,9
209,-156.16,-490.93,3200,502,314.08,10
210,101.43,270.69,3200,500,173.48,9
211,433.27,-326.94,8000,501,262.76,10
212,-12.28,295.23,4000,500,59.82,7
213,465.68,-344.66,8000,501,298.71,10
214,382.20,-133.97,3200,501,142.15,9
215,247.64,-24.19,8000,501,124.10,8
216,446.64,-377.67,3200,501,308.37,10
217,123.19,218.67,3200,503,161.21,9
218,-315.93,-217.72,16000,502,52.96,7
219,-297.02,126.13,16000,500,309.61,10
220,-373.33,-272.45,3200,502,130.20,9
221,-486.13,-339.18,16000,502,261.04,10
222,-38.15,148.55,3200,500,181.10,9
223,-399.14,114.23,16000,502,338.16,10
224,-106.25,-3.57,8000,502,251.68,10
225,-206.82,-255.93,3200,502,84.25,8
226,66.16,-309.29,16000,501,237.62,9
227,-68.16,313.90,3200,500,15.29,7
228,-143.62,497.97,16000,500,188.39,9
229,23.55,-299.05,4000,501,264.51,10
230,199.79,-172.38,3200,501,47.62,7
231,146.71,-158.52,16000,501,94.62,8
232,266.70,303.33,4000,503,59.62,7
233,181.92,404.19,8000,503,187.47,9
234,252.48,-202.07,3200,501,55.23,7
235,-310.94,91.11,16000,502,291.53,10
236,-398.55,-342.72,16000,502,196.14,9
237,-363.83,89.12,16000,502,302.12,10
238,389.55,445.50,16000,503,226.82,9
239,425.22,-30.95,8000,501,218.52,9
240,87.01,-331.16,4000,501,239.06,9
241,-23.65,315.55,3200,500,40.62,7
242,26.52,82.25,4000,500,261.34,10
243,-274.76,-235.83,4000,502,39.46,7
244,38.18,-483.35,3200,501,391.70,10
245,-152.45,-294.29,4000,502,150.32,9
246,-99.01,-192.83,4000,502,168.18,9
247,145.13,-56.66,8000,501,132.30,9
248,203.19,-167.11,16000,501,42.10,7
249,259.21,-241.89,4000,501,95.59,8
250,-483.82,345.12,3200,500,421.86,10
251,100.76,-178.52,4000,501,143.26,9
252,26.83,348.00,8000,500,91.35,8
253,-243.77,-426.76,4000,502,230.84,9
254,389.81,111.41,4000,503,172.17,9
255,321.33,458.96,4000,503,216.79,9
256,-156.04,-140.06,16000,502,124.89,8
257,-476.14,-494.92,8000,502,363.83,10
258,-207.11,208.26,3200,500,187.92,9
259,7.41,-32.53,16000,501,260.40,10
260,-309.02,-16.35,3200,502,185.54,9
261,-456.61,-415.59,16000,502,289.19,10
262,211.35,111.24,16000,503,151.98,9
263,461.57,367.47,16000,503,216.84,9
264,-24.05,257.28,3200,500,80.43,8
265,-493.02,78.61,4000,502,356.43,10
266,243.73,422.57,16000,503,180.95,9
267,287.64,446.44,16000,503,200.77,9
268,-225.10,-260.68,3200,502,76.22,8
269,-404.96,246.73,8000,500,352.16,10
270,-326.70,437.71,3200,500,286.24,10
271,-403.32,481.11,3200,500,373.80,10
272,-158.46,192.46,8000,500,166.20,9
273,-65.60,154.03,8000,500,174.03,9
274,100.49,-370.02,16000,501,262.53,10
275,-122.00,-363.04,4000,502,220.46,9
276,-385.54,380.68,4000,500,327.50,10
277,-289.14,168.33,4000,500,277.41,10
278,-187.66,443.22,3200,500,170.24,9
279,-377.91,-461.74,4000,502,286.88,10
280,-100.70,-288.43,8000,502,189.85,9
281,-339.84,-191.75,8000,502,72.89,8
282,-494.57,149.79,16000,502,414.80,10
283,-38.05,-415.82,3200,502,316.73,10
284,285.93,184.68,3200,503,61.18,7
285,367.20,-437.33,16000,501,315.66,10
286,27.07,-322.87,3200,501,276.05,10
287,-390.48,-112.00,4000,502,149.84,9
288,138.41,200.34,4000,503,150.71,9
289,-93.38,322.43,4000,500,31.58,7
290,421.55,-278.27,3200,501,222.78,9
291,-125.80,-118.11,16000,502,161.92,9
292,307.96,-112.68,4000,501,75.97,8
293,434.18,349.27,3200,503,183.96,9
294,214.43,135.20,4000,503,129.62,9
295,124.66,2.40,4000,501,190.08,9
296,171.84,-470.52,3200,501,329.71,10
297,99.71,-361.00,16000,501,255.38,10
298,-304.10,277.41,3200,500,247.04,9
299,235.31,-315.97,4000,501,167.96,9
300,-187.01,-394.42,3200,502,212.97,9
301,-397.77,-20.22,8000,502,219.89,9
302,-300.28,-212.26,4000,502,36.43,7
303,447.00,-278.08,4000,501,243.79,9
304,278.46,436.35,16000,503,190.64,9
305,-205.40,61.01,4000,502,265.40,10
306,373.41,-267.15,4000,501,178.25,9
307,129.36,332.55,3200,503,175.70,9
308,273.30,-471.55,4000,501,325.08,10
309,117.58,263.76,3200,503,165.52,9
310,-215.71,-423.25,3200,502,231.91,9
311,-327.28,-321.01,8000,502,137.73,9
312,-56.96,-121.29,4000,502,223.44,9
313,-399.31,-174.29,3200,502,134.13,9
314,107.60,-395.83,3200,501,281.24,10
315,249.72,-101.22,8000,501,47.73,7
316,-105.76,-227.81,4000,502,164.28,9
317,-431.77,401.55,8000,500,376.70,10
318,381.23,174.85,8000,503,121.86,8
319,-28.36,-207.57,16000,502,239.01,9
320,-253.93,76.72,8000,502,274.15,10
321,-373.92,249.44,8000,500,321.37,10
322,-14.13,-307.51,3200,502,276.05,10
323,-366.61,-206.83,16000,502,99.94,8
324,-497.17,400.77,8000,500,440.91,10
325,308.62,150.49,4000,503,98.87,8
326,-324.59,-455.27,3200,502,264.48,10
327,275.06,-387.04,3200,501,241.39,9
328,-292.74,494.20,4000,500,284.10,10
329,167.91,-34.17,3200,501,135.23,9
330,392.32,211.91,8000,503,115.28,8
331,-306.51,337.99,16000,500,244.41,9
332,173.65,-176.15,8000,501,72.73,8
333,32.51,-42.76,4000,501,233.37,9
334,217.09,-39.93,4000,501,110.73,8
335,-494.16,-231.32,16000,502,229.58,9
336,193.37,-55.90,16000,501,103.66,8
337,153.09,-280.85,8000,501,159.08,9
338,14.35,-73.59,8000,501,238.35,9
339,-449.53,-405.68,3200,502,277.07,10
340,379.01,486.64,4000,503,259.66,10
341,-215.72,-319.86,8000,502,133.09,9
342,-61.01,353.78,4000,500,25.79,7
343,286.19,-113.70,16000,501,56.99,7
344,-73.45,-396.61,4000,502,278.07,10
345,467.69,-390.77,3200,501,332.25,10
346,-340.68,302.60,8000,500,279.53,10
347,-104.32,-44.31,4000,502,223.29,9
348,245.01,470.04,3200,503,227.35,9
349,-411.47,-479.49,16000,502,317.13,10
350,397.88,399.52,16000,503,192.48,9
351,-80.86,-316.20,16000,502,221.10,9
352,278.39,122.79,16000,503,123.01,8
353,-38.51,-91.02,8000,502,252.05,10
354,101.83,335.53,4000,500,164.30,9
355,-297.77,303.23,4000,500,236.77,9
356,-428.68,462.55,8000,500,390.29,10
