ID,X,Y,Channel,UF,Connected EDs
500,-140.09,-181.29,0,0.03,208
501,338.93,-24.18,1,0.02,157
502,-105.21,425.92,2,0.02,135
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3600,501,81.45,8
1,298.44,411.65,3600,502,403.90,10
2,-164.78,268.23,3600,502,168.57,9
3,53.97,-22.60,3600,500,250.68,10
4,-135.22,13.40,3600,500,194.75,9
5,416.20,135.71,3600,501,177.58,9
6,-358.40,106.97,3600,500,361.60,10
7,-257.11,-362.77,3600,500,215.94,9
8,-343.32,-99.06,3600,500,219.24,9
9,-391.19,498.92,3600,502,295.15,10
10,12.93,339.11,3600,502,146.61,9
11,-203.97,137.55,3600,502,304.81,10
12,-6.42,472.78,3600,502,109.34,8
13,271.36,26.74,3600,501,84.61,8
14,-99.77,391.53,3600,502,34.82,7
15,-147.54,307.72,3600,502,125.55,9
16,-430.24,449.33,3600,502,325.87,10
17,-413.94,-307.79,3600,500,301.66,10
18,390.23,-151.11,3600,501,136.91,9
19,-479.98,-42.30,3600,500,367.21,10
20,-261.72,470.63,3600,502,162.77,9
21,350.92,-233.33,3600,501,209.50,9
22,-124.79,260.25,3600,502,166.83,9
23,167.72,31.61,3600,501,180.07,9
24,-62.36,431.84,3600,502,43.25,7
25,220.95,-215.71,3600,501,224.95,9
26,139.98,-145.95,3600,501,233.27,9
27,-334.03,-59.90,3600,500,228.80,9
28,329.20,-169.66,3600,501,145.81,9
29,393.37,-149.64,3600,501,136.77,9
30,456.47,88.64,3600,501,162.92,9
31,358.68,-60.44,3600,501,41.29,7
32,-101.56,314.77,3600,502,111.22,8
33,410.97,-17.51,3600,501,72.35,8
34,450.25,420.13,3600,501,458.04,10
35,381.06,141.08,3600,501,170.54,9
36,119.60,-218.94,3600,500,262.40,10
37,-192.54,-52.97,3600,500,138.63,9
38,-312.47,-223.77,3600,500,177.54,9
39,-83.50,-330.39,3600,500,159.48,9
40,-396.83,-373.92,3600,500,320.97,10
41,260.48,484.75,3600,502,370.39,10
42,184.45,-116.81,3600,501,180.13,9
43,-131.34,-205.84,3600,500,26.06,7
44,84.49,-255.59,3600,500,236.55,9
45,232.15,-374.53,3600,501,366.26,10
46,-335.90,245.07,3600,502,293.13,10
47,450.10,-447.47,3600,501,437.65,10
48,-323.79,-259.94,3600,500,199.83,9
49,232.65,156.56,3600,501,209.67,9
50,139.46,259.73,3600,502,295.77,10
51,-365.10,20.21,3600,500,302.05,10
52,-430.09,-295.34,3600,500,311.63,10
53,319.68,73.32,3600,501,99.38,8
54,-448.06,-342.19,900,500,347.47,10
55,-295.67,389.96,3600,502,193.83,9
