ID,X,Y,Channel,UF,Connected EDs
504,-362.89,-494.45,0,0.01,66
502,-459.23,-174.07,1,0.01,67
500,-203.47,309.34,2,0.01,85
501,23.96,239.23,3,0.02,99
503,270.48,-2.09,4,0.03,183
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3600,503,124.81,8
1,298.44,411.65,3600,501,324.14,10
2,-164.78,268.23,3600,500,56.46,7
3,53.97,-22.60,3600,503,217.48,9
4,-135.22,13.40,3600,501,276.29,10
5,416.20,135.71,3600,503,200.56,9
6,-358.40,106.97,3600,500,254.87,10
7,-257.11,-362.77,3600,504,168.91,9
8,-343.32,-99.06,3600,502,138.06,9
9,-391.19,498.92,3600,500,266.80,10
10,12.93,339.11,3600,501,100.49,8
11,-203.97,137.55,3600,500,171.79,9
12,-6.42,472.78,3600,501,235.51,9
13,271.36,26.74,3600,503,28.85,7
14,-99.77,391.53,3600,500,132.32,9
15,-147.54,307.72,3600,500,55.95,7
16,-430.24,449.33,3600,500,266.50,10
17,-413.94,-307.79,3600,502,141.17,9
18,390.23,-151.11,3600,503,191.17,9
19,-479.98,-42.30,3600,502,133.40,9
20,-261.72,470.63,3600,500,171.49,9
21,350.92,-233.33,3600,503,244.84,9
22,-124.79,260.25,3600,500,92.74,8
23,167.72,31.61,3600,503,108.14,8
24,-62.36,431.84,3600,500,186.86,9
25,220.95,-215.71,3600,503,219.28,9
26,139.98,-145.95,3600,503,194.23,9
27,-334.03,-59.90,3600,502,169.44,9
28,329.20,-169.66,3600,503,177.56,9
29,393.37,-149.64,3600,503,192.03,9
30,456.47,88.64,3600,503,206.94,9
31,358.68,-60.44,3600,503,105.75,8
32,-101.56,314.77,3600,500,102.05,8
33,410.97,-17.51,3600,503,141.34,9
34,450.25,420.13,3600,503,458.90,10
35,381.06,141.08,3600,503,180.91,9
36,119.60,-218.94,3600,503,264.18,10
37,-192.54,-52.97,3600,502,292.89,10
38,-312.47,-223.77,3600,502,154.94,9
39,-83.50,-330.39,3600,504,324.00,10
40,-396.83,-373.92,3600,504,125.21,9
41,260.48,484.75,3600,501,340.91,10
42,184.45,-116.81,3600,503,143.40,9
43,-131.34,-205.84,3600,502,329.42,10
44,84.49,-255.59,3600,503,314.41,10
45,232.15,-374.53,3600,503,374.40,10
46,-335.90,245.07,3600,500,147.20,9
47,450.10,-447.47,3600,503,480.24,10
48,-323.79,-259.94,3600,502,160.36,9
49,232.65,156.56,3600,503,163.10,9
50,139.46,259.73,3600,501,117.30,8
51,-365.10,20.21,3600,502,215.88,9
52,-430.09,-295.34,3600,502,124.72,8
53,319.68,73.32,3600,503,90.04,8
54,-448.06,-342.19,900,502,168.49,9
55,-295.67,389.96,3600,500,122.47,8
56,497.80,-445.94,3600,503,498.68,10
57,-427.67,-495.84,3600,504,64.79,8
58,93.89,-319.63,3600,503,363.34,10
59,-108.31,413.03,3600,500,140.73,9
60,-140.90,52.49,3600,501,249.11,9
61,-47.42,187.39,3600,501,88.23,8
62,30.81,257.29,3600,501,19.31,7
63,492.23,76.97,3600,503,235.42,9
64,247.81,128.91,3600,503,132.95,9
65,247.80,333.24,3600,501,242.78,9
66,373.27,331.04,1800,503,348.63,10
67,243.81,403.37,900,501,274.36,10
68,166.88,-2.74,3600,503,103.60,8
69,330.01,388.95,3600,501,340.71,10
70,149.71,-251.96,3600,503,277.52,10
71,-270.86,200.62,3600,500,127.92,9
72,-171.22,-268.57,3600,504,296.24,10
73,133.07,-276.34,3600,503,306.75,10
