ID,X,Y,Channel,UF,Connected EDs
512,-417.85,-410.39,0,0.02,27
519,-350.96,-197.09,1,0.03,23
511,-222.14,-323.14,2,0.02,19
508,-413.09,-23.07,3,0.02,14
518,-133.39,-151.51,4,0.01,13
525,-59.55,-320.21,5,0.01,9
531,-56.12,-245.58,6,0.01,9
516,-46.76,-467.74,3,0.02,15
533,-49.89,-52.84,7,0.01,7
510,-285.12,93.91,8,0.02,19
501,83.41,-326.39,8,0.02,23
527,16.36,-78.36,9,0.01,10
524,-442.30,168.50,2,0.01,11
521,-87.24,79.57,10,0.02,14
520,190.12,-436.02,1,0.01,10
529,-153.09,199.55,5,0.02,15
522,86.65,24.64,3,0.01,9
523,-304.86,263.92,6,0.01,14
502,184.18,-114.29,11,0.02,20
517,243.99,-266.39,12,0.01,15
534,193.68,22.86,2,0.01,11
509,-52.23,276.99,1,0.02,14
507,-429.07,377.76,4,0.01,12
515,116.54,202.55,13,0.02,20
504,344.86,-105.51,14,0.01,11
526,-229.82,415.59,7,0.01,10
535,379.32,-172.42,4,0.01,10
514,274.52,114.62,15,0.01,12
500,423.92,-302.08,7,0.01,12
528,445.17,-414.61,2,0.01,7
530,83.36,353.49,4,0.01,9
503,-62.96,439.16,9,0.02,16
532,481.89,-137.20,5,0.00,1
506,408.69,103.68,6,0.02,20
513,252.10,399.30,8,0.02,25
505,415.71,384.58,0,0.01,14
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,320,504,4.67,7
1,298.44,411.65,1600,513,47.96,7
2,-164.78,268.23,800,529,69.66,8
3,53.97,-22.60,400,522,57.44,7
4,-135.22,13.40,320,521,81.74,8
5,416.20,135.71,400,506,32.90,7
6,-358.40,106.97,1600,510,74.43,8
7,-257.11,-362.77,320,511,52.86,7
8,-343.32,-99.06,1600,519,98.33,8
9,-391.19,498.92,1600,507,126.95,9
10,12.93,339.11,400,530,71.88,8
11,-203.97,137.55,400,529,80.21,8
12,-6.42,472.78,800,503,65.78,8
13,271.36,26.74,320,534,77.78,8
14,-99.77,391.53,800,503,60.20,7
15,-147.54,307.72,320,509,100.14,8
16,-430.24,449.33,400,507,71.58,8
17,-413.94,-307.79,400,512,102.68,8
18,390.23,-151.11,1600,535,23.95,7
19,-479.98,-42.30,1600,508,69.60,8
20,-261.72,470.63,320,526,63.62,8
21,350.92,-233.33,400,535,67.21,8
22,-124.79,260.25,400,529,66.97,8
23,167.72,31.61,1600,534,27.39,7
24,-62.36,431.84,320,503,7.35,7
25,220.95,-215.71,400,517,55.67,7
26,139.98,-145.95,400,502,54.37,7
27,-334.03,-59.90,320,508,87.22,8
28,329.20,-169.66,1600,535,50.19,7
29,393.37,-149.64,400,535,26.77,7
30,456.47,88.64,400,506,50.09,7
31,358.68,-60.44,320,504,47.14,7
32,-101.56,314.77,400,509,62.13,7
33,410.97,-17.51,1600,504,110.07,8
34,450.25,420.13,1600,505,49.57,7
35,381.06,141.08,800,506,46.50,7
36,119.60,-218.94,320,501,113.38,8
37,-192.54,-52.97,1600,518,114.93,8
38,-312.47,-223.77,400,519,46.83,7
39,-83.50,-330.39,320,525,26.03,7
40,-396.83,-373.92,800,512,42.09,7
41,260.48,484.75,320,513,85.87,8
42,184.45,-116.81,400,502,2.54,7
43,-131.34,-205.84,1600,518,54.37,7
44,84.49,-255.59,1600,501,70.81,8
45,232.15,-374.53,320,520,74.49,8
46,-335.90,245.07,1600,523,36.31,7
47,450.10,-447.47,400,528,33.23,7
48,-323.79,-259.94,320,519,68.47,8
49,232.65,156.56,320,514,59.26,7
50,139.46,259.73,1600,515,61.60,7
51,-365.10,20.21,1600,508,64.62,8
52,-430.09,-295.34,800,512,115.69,8
53,319.68,73.32,320,514,61.20,7
54,-448.06,-342.19,320,512,74.59,8
55,-295.67,389.96,1600,526,70.67,8
56,497.80,-445.94,320,528,61.25,7
57,-427.67,-495.84,320,512,86.01,8
58,93.89,-319.63,1600,501,12.47,7
59,-108.31,413.03,320,503,52.34,7
60,-140.90,52.49,400,521,60.12,7
61,-47.42,187.39,1600,509,89.74,8
62,30.81,257.29,800,509,85.35,8
63,492.23,76.97,320,506,87.71,8
64,247.81,128.91,1600,514,30.29,7
65,247.80,333.24,320,513,66.20,8
66,373.27,331.04,320,505,68.32,8
67,243.81,403.37,320,513,9.24,7
68,166.88,-2.74,1600,534,37.06,7
69,330.01,388.95,1600,513,78.59,8
70,149.71,-251.96,400,517,95.38,8
71,-270.86,200.62,800,523,71.85,8
72,-171.22,-268.57,1600,511,74.63,8
73,133.07,-276.34,400,501,70.50,8
74,10.69,471.47,800,503,80.42,8
75,46.11,219.27,1600,515,72.39,8
76,-28.52,92.54,320,521,60.13,7
77,-49.08,-163.65,320,531,82.23,8
78,-65.49,-496.77,800,516,34.54,7
79,98.48,333.24,1600,530,25.27,7
80,175.48,-17.05,800,534,43.86,7
81,-195.04,212.09,1600,529,43.79,7
82,121.82,-459.14,800,520,72.10,8
83,195.98,173.94,400,515,84.44,8
84,-152.88,-315.38,400,511,69.69,8
85,127.16,230.73,800,515,30.11,7
86,240.44,-297.79,320,517,31.60,7
87,184.76,153.13,800,515,84.24,8
88,32.44,-412.36,800,516,96.65,8
89,377.38,186.12,1600,506,88.19,8
90,-388.72,-138.40,400,519,69.79,8
91,93.21,166.56,800,515,42.90,7
92,275.77,-211.62,800,517,63.32,8
93,-310.25,484.36,1600,526,105.82,8
94,327.39,-168.52,1600,535,52.07,7
95,-63.50,458.64,320,503,19.49,7
96,264.87,199.08,1600,514,85.00,8
97,185.79,-116.17,320,502,2.47,7
98,443.05,416.27,320,505,41.86,7
99,-296.45,293.66,400,523,30.90,7
100,-202.71,404.93,320,526,29.13,7
101,373.98,-1.86,400,504,107.67,8
102,-337.24,-226.09,320,519,32.08,7
103,-7.60,-36.34,320,533,45.39,7
104,-4.02,-208.95,1600,531,63.69,8
105,184.18,227.55,1600,515,72.11,8
106,103.11,-7.58,320,522,36.18,7
107,224.25,-321.79,1600,517,58.82,7
108,-1.47,-378.74,1600,525,82.45,8
109,-139.56,-175.19,320,518,24.48,7
110,408.48,122.10,320,506,18.42,7
111,318.13,-3.93,800,504,105.05,8
112,-105.67,158.83,400,529,62.50,8
113,-241.09,-348.77,1600,511,31.88,7
114,-392.15,147.21,800,524,54.48,7
115,-211.73,-168.61,1600,518,80.19,8
116,-72.67,434.49,400,503,10.78,7
117,-234.54,158.75,320,510,82.24,8
118,-12.57,-342.73,320,525,52.09,7
119,125.67,17.71,1600,522,39.62,7
120,57.56,-73.80,320,527,41.45,7
121,-105.61,-255.67,800,531,50.51,7
122,229.36,138.65,320,514,51.15,7
123,-161.76,397.56,1600,526,70.41,8
124,-89.21,-494.59,320,516,50.23,7
125,274.39,-206.32,1600,517,67.32,8
126,365.53,221.01,1600,506,125.01,9
127,-50.89,486.47,400,503,48.82,7
128,-289.12,-26.11,320,510,120.08,8
129,-406.08,-400.44,800,512,15.41,7
130,-198.24,157.12,320,529,61.96,7
131,-368.30,-448.49,1600,512,62.51,8
132,-42.28,280.87,400,509,10.68,7
133,-57.44,-380.89,400,525,60.72,7
134,78.63,29.90,400,522,9.59,7
135,-138.08,-195.71,320,518,44.46,7
136,-23.42,-330.18,400,525,37.48,7
137,25.75,118.93,400,522,112.25,8
138,-266.34,329.81,1600,523,76.32,8
139,-401.16,423.73,1600,507,53.77,7
140,-18.27,-274.51,320,531,47.65,7
141,-209.17,-142.81,320,518,76.28,8
142,-155.75,314.91,400,509,110.24,8
143,-463.67,-242.53,320,519,121.53,8
144,125.96,336.10,800,530,46.02,7
145,-278.99,-301.98,400,511,60.66,7
146,-390.27,174.61,320,524,52.39,7
147,219.46,-299.65,800,517,41.32,7
148,-184.34,-65.99,1600,518,99.54,8
149,-114.25,32.85,1600,521,53.98,7
150,55.40,-485.42,800,516,103.68,8
151,-117.83,-194.59,400,518,45.81,7
152,-239.56,149.66,400,510,72.00,8
153,419.59,185.99,320,506,83.02,8
154,197.85,-188.05,400,502,75.02,8
155,-494.00,32.96,320,508,98.41,8
156,118.45,142.69,400,515,59.89,7
157,-99.29,-137.85,400,518,36.73,7
158,301.90,177.81,1600,514,68.87,8
159,-467.11,-436.44,400,512,55.72,7
160,-312.38,118.96,400,510,37.02,7
161,67.83,-498.87,1600,516,118.74,8
162,-194.76,-238.43,400,511,89.02,8
163,357.56,-318.84,800,500,68.45,8
164,167.34,379.01,400,513,87.15,8
165,-186.77,385.01,1600,526,52.80,7
166,-342.86,3.46,320,508,75.07,8
167,175.65,404.17,1600,513,76.60,8
168,-105.48,206.07,320,529,48.05,7
169,47.40,238.96,320,515,78.14,8
170,-266.88,426.58,400,526,38.66,7
171,433.42,-5.59,400,506,112.04,8
172,439.13,299.65,320,505,88.10,8
173,94.50,157.20,320,515,50.43,7
174,435.85,-175.46,320,535,56.62,7
175,89.16,137.77,320,515,70.33,8
176,275.42,294.91,800,513,106.96,8
177,104.38,-29.44,1600,522,56.91,7
178,295.49,365.09,320,513,55.25,7
179,164.41,-87.52,400,502,33.28,7
180,96.90,145.60,400,515,60.24,7
181,-351.66,79.02,1600,510,68.18,8
182,200.91,18.15,320,534,8.63,7
183,15.05,-387.35,800,501,91.60,8
184,10.35,-451.50,320,516,59.37,7
185,-115.34,137.66,800,521,64.52,8
186,-356.02,-86.92,1600,508,85.64,8
187,-93.23,-482.54,400,516,48.77,7
188,73.72,312.95,400,530,41.68,7
189,-53.26,-22.64,320,533,30.39,7
190,-441.28,-425.74,400,512,28.01,7
191,97.28,-277.40,1600,501,50.92,7
192,130.24,423.51,400,530,84.27,8
193,-37.15,-61.44,320,533,15.37,7
194,452.66,448.91,320,505,74.19,8
195,267.01,-166.43,400,502,97.88,8
196,-280.86,-22.45,320,510,116.44,8
