ID,X,Y,Channel,UF,Connected EDs
51,323.98,18.72,0,0.00,24
50,-218.33,49.77,1,0.00,26
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3200,51,125.39,9
1,298.44,411.65,16000,51,393.76,10
2,-164.78,268.23,8000,50,224.93,9
3,53.97,-22.60,4000,51,273.15,10
4,-135.22,13.40,3200,50,90.72,8
5,416.20,135.71,4000,51,148.97,9
6,-358.40,106.97,16000,50,151.30,9
7,-257.11,-362.77,3200,50,414.36,10
8,-343.32,-99.06,16000,50,194.35,9
9,-391.19,498.92,16000,50,481.27,10
10,12.93,339.11,4000,50,370.40,10
11,-203.97,137.55,4000,50,88.95,8
12,-6.42,472.78,8000,50,473.12,10
13,271.36,26.74,3200,51,53.23,7
14,-99.77,391.53,8000,50,361.74,10
15,-147.54,307.72,3200,50,267.49,10
16,-430.24,449.33,4000,50,452.28,10
17,-413.94,-307.79,4000,50,407.57,10
18,390.23,-151.11,16000,51,182.29,9
19,-479.98,-42.30,16000,50,277.37,10
20,-261.72,470.63,3200,50,423.09,10
21,350.92,-233.33,4000,51,253.49,10
22,-124.79,260.25,4000,50,230.32,9
23,167.72,31.61,16000,51,156.79,9
24,-62.36,431.84,3200,50,412.67,10
25,220.95,-215.71,4000,51,256.06,10
26,139.98,-145.95,4000,51,246.92,9
27,-334.03,-59.90,3200,50,159.41,9
28,329.20,-169.66,16000,51,188.45,9
29,393.37,-149.64,4000,51,182.10,9
30,456.47,88.64,4000,51,149.81,9
31,358.68,-60.44,3200,51,86.43,8
32,-101.56,314.77,4000,50,289.58,10
33,410.97,-17.51,16000,51,94.23,8
34,450.25,420.13,16000,51,420.80,10
35,381.06,141.08,8000,51,135.02,9
36,119.60,-218.94,3200,51,313.45,10
37,-192.54,-52.97,16000,50,105.92,8
38,-312.47,-223.77,4000,50,289.28,10
39,-83.50,-330.39,3200,50,403.37,10
40,-396.83,-373.92,8000,50,459.76,10
41,260.48,484.75,3200,51,470.34,10
42,184.45,-116.81,4000,51,194.52,9
43,-131.34,-205.84,16000,50,270.01,10
44,84.49,-255.59,16000,51,364.14,10
45,232.15,-374.53,3200,51,403.82,10
46,-335.90,245.07,16000,50,227.96,9
47,450.10,-447.47,4000,51,482.95,10
48,-323.79,-259.94,3200,50,327.17,10
49,232.65,156.56,3200,51,165.35,9
