ID,X,Y,Channel,UF,Connected EDs
50,208.37,-118.31,0,0.00,21
51,-21.61,350.80,1,0.00,14
52,-270.58,-22.67,2,0.00,15
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3600,50,132.43,9
1,298.44,411.65,3600,51,325.78,10
2,-164.78,268.23,3600,51,165.27,9
3,53.97,-22.60,3600,50,181.65,9
4,-135.22,13.40,3600,52,140.08,9
5,416.20,135.71,3600,50,328.21,10
6,-358.40,106.97,3600,52,156.58,9
7,-257.11,-362.77,3600,52,340.37,10
8,-343.32,-99.06,3600,52,105.49,8
9,-391.19,498.92,3600,51,398.16,10
10,12.93,339.11,3600,51,36.47,7
11,-203.97,137.55,3600,52,173.51,9
12,-6.42,472.78,3600,51,122.92,8
13,271.36,26.74,3600,50,158.14,9
14,-99.77,391.53,3600,51,88.14,8
15,-147.54,307.72,3600,51,133.09,9
16,-430.24,449.33,3600,51,420.34,10
17,-413.94,-307.79,3600,52,319.14,10
18,390.23,-151.11,3600,50,184.80,9
19,-479.98,-42.30,3600,52,210.32,9
20,-261.72,470.63,3600,51,268.35,10
21,350.92,-233.33,3600,50,183.17,9
22,-124.79,260.25,3600,51,137.28,9
23,167.72,31.61,3600,50,155.33,9
24,-62.36,431.84,3600,51,90.71,8
25,220.95,-215.71,3600,50,98.21,8
26,139.98,-145.95,3600,50,73.76,8
27,-334.03,-59.90,3600,52,73.57,8
28,329.20,-169.66,3600,50,131.29,9
29,393.37,-149.64,3600,50,187.64,9
30,456.47,88.64,3600,50,323.08,10
31,358.68,-60.44,3600,50,161.06,9
32,-101.56,314.77,3600,51,87.69,8
33,410.97,-17.51,3600,50,226.30,9
34,450.25,420.13,3600,51,476.93,10
35,381.06,141.08,3600,50,311.62,10
36,119.60,-218.94,3600,50,134.19,9
37,-192.54,-52.97,3600,52,83.71,8
38,-312.47,-223.77,3600,52,205.42,9
39,-83.50,-330.39,3600,52,360.13,10
40,-396.83,-373.92,3600,52,373.26,10
41,260.48,484.75,3600,51,312.28,10
42,184.45,-116.81,3600,50,23.97,7
43,-131.34,-205.84,3600,52,230.09,9
44,84.49,-255.59,3600,50,184.91,9
45,232.15,-374.53,3600,50,257.32,10
46,-335.90,245.07,3600,52,275.59,10
47,450.10,-447.47,3600,50,408.39,10
48,-323.79,-259.94,3600,52,243.17,9
49,232.65,156.56,3600,50,275.94,10
