ID,X,Y,Channel,UF,Connected EDs
53,79.30,126.73,0,0.00,19
51,-298.85,239.26,1,0.00,12
50,-247.30,-234.23,2,0.00,12
52,388.73,-478.35,3,0.00,7
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3600,53,349.35,10
1,298.44,411.65,3600,53,359.44,10
2,-164.78,268.23,3600,51,137.17,9
3,53.97,-22.60,3600,53,151.46,9
4,-135.22,13.40,3600,53,242.61,9
5,416.20,135.71,3600,53,337.01,10
6,-358.40,106.97,3600,51,145.07,9
7,-257.11,-362.77,3600,50,128.92,9
8,-343.32,-99.06,3600,50,165.80,9
9,-391.19,498.92,3600,51,275.60,10
10,12.93,339.11,3600,53,222.51,9
11,-203.97,137.55,3600,51,139.09,9
12,-6.42,472.78,3600,53,356.51,10
13,271.36,26.74,3600,53,216.52,9
14,-99.77,391.53,3600,51,250.64,10
15,-147.54,307.72,3600,51,166.08,9
16,-430.24,449.33,3600,51,247.78,9
17,-413.94,-307.79,3600,50,182.16,9
18,390.23,-151.11,3600,52,327.24,10
19,-479.98,-42.30,3600,50,301.62,10
20,-261.72,470.63,3600,51,234.34,9
21,350.92,-233.33,3600,52,247.91,9
22,-124.79,260.25,3600,51,175.32,9
23,167.72,31.61,3600,53,129.87,9
24,-62.36,431.84,3600,51,304.98,10
25,220.95,-215.71,3600,52,311.65,10
26,139.98,-145.95,3600,53,279.35,10
27,-334.03,-59.90,3600,50,194.71,9
28,329.20,-169.66,3600,52,314.37,10
29,393.37,-149.64,3600,52,328.74,10
30,456.47,88.64,3600,53,379.08,10
31,358.68,-60.44,3600,53,336.28,10
32,-101.56,314.77,3600,51,211.24,9
33,410.97,-17.51,3600,53,361.67,10
34,450.25,420.13,3600,53,472.96,10
35,381.06,141.08,3600,53,302.10,10
36,119.60,-218.94,3600,53,348.01,10
37,-192.54,-52.97,3600,50,189.35,9
38,-312.47,-223.77,3600,50,66.00,8
39,-83.50,-330.39,3600,50,189.94,9
40,-396.83,-373.92,3600,50,204.63,9
41,260.48,484.75,3600,53,401.25,10
42,184.45,-116.81,3600,53,265.27,10
43,-131.34,-205.84,3600,50,119.39,8
44,84.49,-255.59,3600,50,332.47,10
45,232.15,-374.53,3600,52,187.87,9
46,-335.90,245.07,3600,51,37.50,7
47,450.10,-447.47,3600,52,68.70,8
48,-323.79,-259.94,3600,50,80.70,8
49,232.65,156.56,3600,53,156.23,9
