ID,X,Y,Channel,UF,Connected EDs
57,225.37,101.49,0,0.00,3
55,397.89,108.78,1,0.00,3
62,288.20,361.34,2,0.00,0
58,408.52,-31.19,3,0.00,2
52,336.39,438.84,4,0.00,3
54,122.01,-123.29,2,0.01,4
60,332.74,-171.75,4,0.01,6
50,-81.05,351.17,1,0.01,8
53,-206.78,99.64,3,0.00,4
64,-63.41,-220.15,1,0.00,1
61,-0.56,-295.53,5,0.00,2
51,341.83,-409.86,0,0.00,2
59,-324.51,-135.13,4,0.00,3
63,-356.89,410.38,0,0.00,4
56,-291.93,-287.74,0,0.01,5
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,320,60,66.56,8
1,298.44,411.65,1600,52,46.68,7
2,-164.78,268.23,800,50,117.86,8
3,53.97,-22.60,400,54,121.52,8
4,-135.22,13.40,320,53,112.06,8
5,416.20,135.71,400,55,32.57,7
6,-358.40,106.97,1600,53,151.80,9
7,-257.11,-362.77,320,56,82.72,8
8,-343.32,-99.06,1600,59,40.69,7
9,-391.19,498.92,1600,63,94.95,8
10,12.93,339.11,400,50,94.75,8
11,-203.97,137.55,400,53,38.01,7
12,-6.42,472.78,800,50,142.68,9
13,271.36,26.74,320,57,87.75,8
14,-99.77,391.53,800,50,44.49,7
15,-147.54,307.72,320,50,79.43,8
16,-430.24,449.33,400,63,83.06,8
17,-413.94,-307.79,400,56,123.65,8
18,390.23,-151.11,1600,60,61.09,7
19,-479.98,-42.30,1600,59,181.08,9
20,-261.72,470.63,320,63,112.63,8
21,350.92,-233.33,400,60,64.21,8
22,-124.79,260.25,400,50,100.90,8
23,167.72,31.61,1600,57,90.59,8
24,-62.36,431.84,320,50,82.80,8
25,220.95,-215.71,400,60,120.12,8
26,139.98,-145.95,400,54,28.92,7
27,-334.03,-59.90,320,59,75.83,8
28,329.20,-169.66,1600,60,4.11,7
29,393.37,-149.64,400,60,64.54,8
30,456.47,88.64,400,55,61.94,7
31,358.68,-60.44,320,58,57.79,7
32,-101.56,314.77,400,50,41.79,7
33,410.97,-17.51,1600,58,13.90,7
34,450.25,420.13,1600,52,115.39,8
35,381.06,141.08,800,55,36.43,7
36,119.60,-218.94,320,54,95.68,8
37,-192.54,-52.97,1600,53,153.27,9
38,-312.47,-223.77,400,56,67.19,8
39,-83.50,-330.39,320,61,89.97,8
40,-396.83,-373.92,800,56,135.77,9
41,260.48,484.75,320,52,88.72,8
42,184.45,-116.81,400,54,62.77,8
43,-131.34,-205.84,1600,64,69.42,8
44,84.49,-255.59,1600,61,93.96,8
45,232.15,-374.53,320,51,115.23,8
46,-335.90,245.07,1600,63,166.64,9
47,450.10,-447.47,400,51,114.62,8
48,-323.79,-259.94,320,56,42.28,7
49,232.65,156.56,320,57,55.56,7
