ID,X,Y,Channel,UF,Connected EDs
54,114.16,147.79,0,0.00,1
90,363.54,105.16,1,0.00,4
88,143.40,24.31,2,0.00,1
79,215.53,-22.30,3,0.00,1
81,387.71,279.37,4,0.00,0
53,127.94,386.39,5,0.00,0
59,270.10,-113.32,5,0.00,0
66,135.83,-101.32,6,0.00,0
51,49.91,-73.80,7,0.00,1
61,305.30,450.37,6,0.00,3
91,178.77,-144.79,8,0.00,2
82,16.47,-107.55,4,0.00,0
71,-11.57,396.79,8,0.00,4
60,384.99,-155.32,9,0.01,5
78,124.96,-180.00,10,0.00,2
57,-136.46,225.56,1,0.00,4
65,312.89,-231.64,11,0.00,1
80,-160.04,-3.85,9,0.00,1
55,21.24,-228.69,12,0.00,1
58,481.25,-221.23,13,0.00,0
70,-190.04,-67.65,11,0.00,1
67,-241.87,33.99,5,0.00,1
83,-204.57,386.61,2,0.00,0
77,-123.43,-196.27,13,0.00,1
75,-146.06,-178.83,14,0.00,0
73,-218.96,385.31,3,0.00,1
62,-101.82,-230.52,15,0.00,1
84,344.31,-347.15,14,0.00,0
85,-121.83,-221.40,16,0.00,0
76,-162.17,-216.83,17,0.00,0
74,262.30,-404.02,1,0.00,1
86,264.51,-405.13,18,0.00,0
68,-249.45,-136.38,18,0.00,2
87,-333.73,133.25,6,0.00,2
89,-330.21,280.43,4,0.00,1
52,-245.65,-197.80,19,0.00,2
50,415.54,-483.34,2,0.00,1
56,-31.96,-470.85,3,0.00,0
63,-437.34,399.40,0,0.00,2
64,-213.13,-456.46,2,0.00,1
92,-247.05,-497.61,1,0.00,0
72,-476.33,-368.20,4,0.00,2
69,-481.64,-439.73,0,0.00,0
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,320,60,66.92,8
1,298.44,411.65,1600,61,39.33,7
2,-164.78,268.23,800,57,51.21,7
3,53.97,-22.60,400,51,51.35,7
4,-135.22,13.40,320,80,30.23,7
5,416.20,135.71,400,90,60.87,7
6,-358.40,106.97,1600,87,36.05,7
7,-257.11,-362.77,320,64,103.50,8
8,-343.32,-99.06,1600,68,101.02,8
9,-391.19,498.92,1600,63,109.70,8
10,12.93,339.11,400,71,62.67,8
11,-203.97,137.55,400,67,110.28,8
12,-6.42,472.78,800,71,76.16,8
13,271.36,26.74,320,79,74.31,8
14,-99.77,391.53,800,71,88.36,8
15,-147.54,307.72,320,57,82.91,8
16,-430.24,449.33,400,63,50.43,7
17,-413.94,-307.79,400,72,86.85,8
18,390.23,-151.11,1600,60,6.73,7
19,-479.98,-42.30,1600,87,228.49,9
20,-261.72,470.63,320,73,95.44,8
21,350.92,-233.33,400,65,38.07,7
22,-124.79,260.25,400,57,36.60,7
23,167.72,31.61,1600,88,25.40,7
24,-62.36,431.84,320,71,61.71,7
25,220.95,-215.71,400,91,82.51,8
26,139.98,-145.95,400,78,37.21,7
27,-334.03,-59.90,320,68,114.03,8
28,329.20,-169.66,1600,60,57.61,7
29,393.37,-149.64,400,60,10.12,7
30,456.47,88.64,400,90,94.38,8
31,358.68,-60.44,320,60,98.47,8
32,-101.56,314.77,400,57,95.79,8
33,410.97,-17.51,1600,90,131.52,9
34,450.25,420.13,1600,61,148.07,9
35,381.06,141.08,800,90,39.96,7
36,119.60,-218.94,320,78,39.31,7
37,-192.54,-52.97,1600,70,14.89,7
38,-312.47,-223.77,400,52,71.69,8
39,-83.50,-330.39,320,62,101.54,8
40,-396.83,-373.92,800,72,79.71,8
41,260.48,484.75,320,61,56.49,7
42,184.45,-116.81,400,91,28.55,7
43,-131.34,-205.84,1600,77,12.42,7
44,84.49,-255.59,1600,55,68.73,8
45,232.15,-374.53,320,74,42.18,7
46,-335.90,245.07,1600,89,35.81,7
47,450.10,-447.47,400,50,49.82,7
48,-323.79,-259.94,320,52,99.84,8
49,232.65,156.56,320,54,118.82,8
